day	Anno	celltype	UMAP_1	UMAP_2	marker:Ttr	marker:Gata4	marker:Rhox5	marker:Sox7	marker:Sox17	up:Klf5	down:Arid3c	down:Arid3b	down:Tgif1	down:Dpf3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.2	-1.55	5.3	3	4.8	1.5	0	1.5	3.1	3.9	3.2	0.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.01	0.79	6	2	4.9	1.2	1.1	1.1	2.2	3.4	3.1	1.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.98	-0.87	6.4	2.5	5.3	1.6	3	1.8	0	2.9	1.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.92	-1.94	5.6	2.9	5	2.6	3.3	0.6	2.2	3.5	3.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.07	1.06	5.9	2.9	4.6	1.2	1.7	1.4	3.2	3.7	3	0.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.91	-0.25	5.9	2.8	5	1	1.5	0.5	3.4	3.6	3.2	0.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.12	-0.76	5.7	2.9	4.3	1.1	2.7	0.4	2.9	3.5	3.2	0.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.46	-1.61	5.2	3.3	5.1	0.5	2.7	1	2.4	3.2	2.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.64	-0.2	5.8	2.5	5	1.5	1.7	0.9	3.5	4	2.7	1.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.9	1.32	5.8	1.6	4.6	1.4	0	0.2	1.4	3.3	2.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.59	1.34	6.1	2.4	4.7	1.2	0	0.7	2.7	3.2	3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.93	-1.56	6	3.7	5.1	1.6	3.8	2.6	3.1	3	2.1	0.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.93	1.06	4.5	3.1	5.1	1.9	2.6	1.8	0	2	2.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.46	-2.64	5.5	3.5	5	2.6	3.5	1.7	2.5	3.3	2.9	0.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.57	-2.2	5.9	3.3	4.9	2.1	1.7	1.9	1.9	4	3.3	1.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.37	-2.01	5.7	3.2	4.5	1.8	2.6	0.3	2.7	3.5	3.2	1.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.4	0.26	5.8	2.8	4.5	1.2	2.1	0.7	2.4	3.6	3.4	0.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.15	-0.18	6.2	3.5	5.2	3	1.9	1.5	2.3	3.4	2.8	1.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.19	-1.71	5.9	2.8	4.8	0.2	3.7	0.8	1.2	3	2	0.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.76	-2.08	5	3.1	4.6	2.8	1.6	0.4	2.4	3.4	3.1	1.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.97	0.87	6	3.4	4.5	1.8	1.8	0.6	2.8	2.7	2.6	0.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.02	-2.22	5.4	3	4.2	1.9	2.1	1.7	3.4	3.1	3.2	0.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.73	0.73	5.3	3.5	5.7	2	4.2	1.9	0	2.8	1.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.35	-0.81	6.1	2.7	4.6	0	3.8	1.4	2.3	3.1	2.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.63	-2.4	5.3	3.4	4.9	1.3	3.5	0.9	3.4	3.4	2.6	1.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.3	-1.97	6.1	3.5	5.2	0	3.9	1.5	3.3	3.3	3.3	1.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.9	0.96	5.7	2.5	5	0.7	0.8	0.8	3.2	3.2	2.3	1.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.43	-1.55	6.4	3.7	5.1	0.9	1	1.9	3.2	2.6	2.5	2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.04	-2.14	6.1	3	5.2	2.1	3.1	1.4	2.3	3.2	2.5	0.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.92	-2.22	6.1	3.3	5	2.1	3.4	1.4	2.6	3	3.1	1.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.13	0.82	5.7	2.4	5.1	0	0.7	0.8	3.1	3.7	2.7	1.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.46	0.6	5.8	2.9	4.8	0	1.4	1.1	2.7	3.8	2.2	1.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.5	-1.84	5.9	3.7	5	1.7	4.4	0.7	2.6	3.4	2.3	0.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.39	0.76	6	2.4	3.3	2.1	0	0.7	3.2	3.3	3.1	0.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.36	-1.57	5.5	2.9	4.9	2.6	3.3	1.5	2.5	2.8	0	0.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.17	-1.19	6.3	3.1	5.2	2.1	3.5	2.3	3	3.1	1.8	0.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.14	-0.88	5.4	3.2	4.9	0.2	1.4	0	2.1	3.8	3	1.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.98	-1.21	5.3	3.4	4.4	0	2.3	0.9	2.4	3.3	2.9	1.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.13	0.58	5.2	3.6	2.4	2.7	1.7	1	1.4	3.5	2	1.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.63	-1.08	5.5	3.4	5	1.9	4.3	1.4	1.8	2.8	2.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.45	-0.29	5.7	3.3	4.9	0.9	2.9	0	2.7	3.1	2.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.4	0.33	5.8	3.5	5.2	2.2	3.2	2.1	0.6	2.3	1.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.82	-1.62	5.6	3.4	4.6	2	1.3	0.9	2	3.1	3.3	0.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.79	-0.34	5.9	3.9	4.2	0.9	3.7	2.2	2.6	1.5	1.6	0.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.88	0.44	6	2.3	4.6	0	3.1	2.1	2.5	2	2.3	0.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.07	-0.21	5.4	2.9	4.5	2.6	1.1	0.5	2.5	3.4	3.6	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.23	0.43	5.3	3.7	5.2	3.2	3.5	2.1	1.6	1.9	2	1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.02	2.29	5.5	3.2	4.7	2.6	2.6	2	1.8	2.9	1.8	1.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.45	1.07	5.8	2.7	4.7	2.6	3.7	2.1	0	2.9	1.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.98	-1.18	4.8	2.7	4.6	2.8	2	1.4	1.9	3.2	3.3	0.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.43	-1.39	6.4	1.8	4.6	1.9	2.9	0	3	2.8	1.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.62	-1.02	5.5	3.2	4.7	2.3	2.5	0.1	3.3	3.6	2.9	1.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.13	-0.56	5.2	3.2	3.7	1.6	3.3	1.5	3.1	2.9	2.6	0.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.42	0.75	5.1	3.7	5.1	2.5	0.8	2.3	3	3	2.9	1.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.74	-1.14	5.9	3.8	4.8	2.8	4.6	2.1	3	0.2	2.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.35	-0.49	5.8	3.4	5.1	2.3	2.6	1.3	3.1	3.2	2.3	0.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.64	-1.54	5.7	3.1	5.4	3.3	4.6	2.3	2.4	2.8	1.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.85	-0.86	6.5	3	5.4	1.2	3.8	0.1	2.1	2.9	2.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.32	-2.73	5.7	3.4	4.7	1.9	2.4	1.7	2.9	2.4	2.2	0.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	5.02	-1.3	5.5	3	5.3	2.4	4.2	1.9	1	2.7	1.1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.07	-1.36	5.7	2.7	5.3	1.6	4.6	1.4	1.8	2.4	1.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.22	-0.65	4.9	3.7	4.4	2.1	3.5	1.6	3.6	3.2	2.8	1.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.22	0.56	4.7	3.3	4.8	2.7	1.1	0.9	3	3.3	3	1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.44	-0.3	5.6	3.7	5.5	1.6	3.8	2.3	4	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.63	-2.44	5.7	2.6	4.9	2.5	2.5	1.1	1.2	3.2	2.1	1.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.52	-2.1	7.3	2.9	4.9	0.8	3.3	1.2	2.7	3.5	1.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.3	-0.58	5.8	3.5	5.3	1.9	3.9	2	2.8	2.7	1.9	0.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.3	-0.09	3.9	3.5	5.5	2.7	4.1	2.8	2.5	2.7	2.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.03	0.42	5.7	3.5	5.1	0	1.6	0.5	2.7	3.6	3.4	1.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.52	-0.72	5.7	3.5	5.2	2.3	3.6	1.3	3.1	2.6	2.9	1.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.59	-2.41	5.3	3.2	5	2.7	3.6	0.3	2.6	2.6	2.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.5	-0.89	6.2	3.1	4.8	2.3	1.3	0.8	2.6	3.7	3	2.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.65	0.82	5.6	3.7	5.5	2.5	3.3	2.4	2.2	2	2.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.99	-1.22	5.5	3.3	5.3	1.2	4.2	2.7	3.2	0.9	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.72	-1.46	5.7	3.3	4.8	0.4	1.2	1.1	3.1	3.9	3	1.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.74	-0.56	5.6	3.6	5.1	2.5	4.3	1.7	0.8	1.9	0.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.31	-1.87	6.5	3.7	4.8	2.9	2.5	1.3	3.5	2.1	2.8	0.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.68	-1.51	5.9	3.7	4.8	0.8	2.6	0.6	3.3	3.7	3	1.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.73	-0.14	6.3	3.4	5	1.9	0.8	0	3.4	3.4	2.7	1.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.74	-1.5	5.9	2.9	5	2.1	4	2.7	2.8	1.8	2.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.03	-0.09	5.3	3.7	5.3	2.8	3.2	1.8	2.7	1.2	1.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.05	-2.25	5.2	3.4	4.5	0.9	2.1	2.4	2.4	3.3	3.1	1.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.88	-0.65	5.1	2.9	4.7	2.4	3.3	2	3	3.3	1.9	0.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.57	0.89	5.2	3.6	2.5	3.3	1.5	1.3	2.5	2.6	1.4	0.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.97	-0.31	5.3	3.4	4.9	0	2.9	1.1	1.9	3.7	3	2.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	5.37	0.47	5.3	3.5	5.1	2	2.8	3	1.5	1.3	2.1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.54	-0.05	6.5	3.6	4.9	2.5	3.1	2	3.2	2.7	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.05	1.05	5.8	3.3	5.2	2	4.2	0.9	0	2	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.35	-0.82	5.4	3.8	4.9	1.3	3.5	1.2	2.5	2.6	1.6	1.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.45	0.25	5.9	3.4	5.4	2.7	3.1	1.3	2.1	3	2.2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.07	0.25	5.7	3.4	5.2	3.4	3.8	2	2.6	2.8	2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.79	0.48	5.5	3.9	5.4	2.5	4	2	2.1	2.1	2.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.89	1.01	5.8	3.4	4.9	2.6	2	1.8	1.8	3.1	3.5	0.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.19	2.24	4.8	3.3	5	2	3.3	2.2	1.5	3	2.3	1.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.16	1.79	5.3	2.3	4.9	1	3	1.8	2.6	3.2	2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.7	0.11	5.3	3.6	5.2	3.1	4.4	2.4	2.7	2.8	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.33	0.31	4.5	3.6	5.4	1.7	4.2	3.2	0	2.2	0	0
E5.5	E55_EmVE	EmVE	0.12	2.15	4.9	3.7	4.4	1.9	2.3	1.8	1.8	3	2.6	1.8
E5.5	E55_ExVE	ExVE	0.96	2.9	4.7	3.5	5	2.8	3.3	2.2	0	2.2	1.9	0
E5.5	E55_ExVE	ExVE	0.43	2.32	4.3	2.9	4.7	1.6	3	2	0	2.1	2.8	0
E5.5	E55_EmVE	EmVE	-3.55	1.53	4.7	3.2	4.6	1.5	1.1	1.6	1.9	2.9	3.2	0.8
E5.5	E55_ExVE	ExVE	1.01	-0.12	5.7	3.6	5.1	2.9	3	1.6	2.8	2.5	2.3	0.6
E5.5	E55_EmVE	EmVE	-4.12	-1.52	5.1	3.6	3.5	2	1	0.6	1.3	3.8	2.8	0
E5.5	E55_ExVE	ExVE	3.47	1.95	4.4	3.7	4.9	3.3	3.7	2.6	0.8	2	1.7	0
E5.5	E55_ExVE	ExVE	1.1	-0.31	5.5	3.6	4.7	3.5	3.6	2.1	2.3	1.6	1.5	0
E5.5	E55_ExVE	ExVE	3.91	-0.08	5.1	3.4	4.9	2.4	3.9	2.4	0	0	0	0
E5.5	E55_ExVE	ExVE	5.35	-0.22	4.7	2.6	5.2	2.1	4	2.1	0	2.3	1.1	0
E5.5	E55_ExVE	ExVE	3.75	0.64	4.7	3.7	5	3.4	3.7	2.5	0	2.3	1.7	0
E5.5	E55_EmVE	EmVE	-2.19	0.05	5	3.1	4.6	3.1	1.8	2.4	2.4	3.3	2.4	0.8
E5.5	E55_EmVE	EmVE	-1.81	-1.05	5	3.8	4.3	2.4	3.1	2.4	2.1	3.1	3	0.9
E5.5	E55_EmVE	EmVE	-4.57	-0.69	4.9	3.1	4.3	2.6	2.5	0.8	0.9	3.2	2.8	1.7
E5.5	E55_ExVE	ExVE	4.55	0.14	5.1	3.3	4.9	2.5	3.9	2.3	0	2.6	0	0
E5.5	E55_ExVE	ExVE	4.94	0.07	4.6	3.8	5	2.7	3.7	1	1.3	2.1	2.2	0
E5.5	E55_ExVE	ExVE	5.11	0.42	4.2	3.2	4.8	2.9	3.7	2.6	0	2.6	2.1	0
E5.5	E55_ExVE	ExVE	0.24	3.22	4.7	3.3	5.1	2.9	3.1	2	2.3	1.7	2.4	0
E5.5	E55_EmVE	EmVE	-0.87	2.63	5.2	2.9	5	2.6	2.8	1.8	1.8	3	2.7	0.5
E5.5	E55_ExVE	ExVE	1.33	3.06	5.1	3.3	4.2	2.2	2.5	1.8	2.6	2.2	1.9	0.6
E5.5	E55_ExVE	ExVE	3.42	-1.21	5.2	3	5.2	2.1	3.9	2.2	2.1	2.1	0.2	0
E5.5	E55_ExVE	ExVE	1.65	-1.88	5.3	3.2	5.1	1.9	4.2	1.8	2.3	2.4	1.9	0.4
E5.5	E55_ExVE	ExVE	0.93	-1.46	5.7	3.5	4.8	2.9	4	1.3	1.9	2.8	1.4	0
E5.5	E55_ExVE	ExVE	3.65	-1.36	5	3.8	5.4	2.9	2.7	2.1	0.2	2.8	1.2	0
E5.5	E55_EmVE	EmVE	-2.57	1.54	5.8	2.6	4	1.5	0.4	0.3	2.5	3.6	3.4	1.1
E5.5	E55_EmVE	EmVE	-3.62	-1.76	5.6	2.8	4.7	1.2	1.2	1.5	2.7	3.9	3	0
E5.5	E55_EmVE	EmVE	-2.8	2.19	5.6	3	4.7	1.5	2.5	2.2	1.2	3.4	2.2	0.7
E5.5	E55_EmVE	EmVE	-4.11	-0.12	6	4	4.7	2.7	0	0.9	3.2	3.2	3.3	1.7
E5.5	E55_ExVE	ExVE	-0.76	2.88	4.9	3.5	4.5	2.8	3	2.3	2.2	2	2.1	1.1
E5.5	E55_EmVE	EmVE	-3.76	-0.97	4.7	3	4.6	0	2.6	0	2.7	3.8	3.6	1.3
E5.5	E55_ExVE	ExVE	3.64	-0.72	4.9	2.8	5	0	4.3	2.1	0	2.1	2	0.4
E5.5	E55_ExVE	ExVE	-1.52	2.88	4.4	3.3	4.6	2.5	2.9	2.4	0	2.6	2.2	0
E5.5	E55_EmVE	EmVE	-2.61	0.24	5.8	3.9	4.6	1.1	1.5	1	2.6	2.8	2.1	0.7
E5.5	E55_EmVE	EmVE	-1.85	-1.28	5.8	2.9	4.4	0.9	2	1.7	2.7	3.1	2.8	1.3
E5.5	E55_EmVE	EmVE	0.05	-2.02	6	3.4	4.3	2	2.5	1.2	3.3	3.1	3.1	2.1
E5.5	E55_ExVE	ExVE	-2.03	0.98	5.5	4.1	4.8	3.7	3.8	3.2	0.7	3.6	3.8	0
E5.5	E55_EmVE	EmVE	-0.66	-1.94	5.4	3.4	4.9	2.1	3.7	1.3	2.2	3.1	2.6	2
E5.5	E55_ExVE	ExVE	4.53	-0.57	5.6	3.1	5.2	2.7	2.2	1.8	1.9	2.3	0	0
E5.5	E55_ExVE	ExVE	3.48	-1.97	5.6	3.2	5.2	2.8	3.5	1.3	1.9	2.1	2.1	0.2
E5.5	E55_EmVE	EmVE	-4.57	0.21	5.8	2.9	4.3	2	1.9	1	2.6	3.1	3.4	0.7
E5.5	E55_ExVE	ExVE	4.36	1.15	5.4	3.3	3.8	3.2	3.6	1.7	0	2.9	1.3	0
E5.5	E55_EmVE	EmVE	-1.37	-1.76	4.7	3.2	4.7	2	3.7	1.2	2.6	1.9	0.2	0
E5.5	E55_EmVE	EmVE	-4.9	0.41	5.5	3.2	4.7	1.4	2.4	0	3.4	3	2.3	0.5
E5.5	E55_EmVE	EmVE	-4.21	1.68	6	2.8	4.5	1.8	1.8	0.8	2.9	3	2.7	0
E5.5	E55_EmVE	EmVE	-4.7	-1.67	5.5	3.3	4.4	2.7	2	1.7	2.2	3.1	3.1	2
E5.5	E55_EmVE	EmVE	-3.5	-0.38	5.7	3.3	3.8	1	1.8	2	3.3	2.8	3	0.9
E5.5	E55_ExVE	ExVE	1.86	-2.48	5.9	3.2	4.2	1.7	2.6	1.6	2.4	2.3	2.3	0.2
E5.5	E55_ExVE	ExVE	2.39	2.42	2.8	3.8	5.2	3.9	3.4	3.3	0	1.2	2.1	0
E5.5	E55_ExVE	ExVE	0.69	2.49	3.9	4	4.9	3.6	2.9	3.1	2	0	0.6	0
E5.5	E55_ExVE	ExVE	1.21	1.53	3.4	4.3	5	3.8	3.2	2.6	0	2.1	2	0
E5.5	E55_ExVE	ExVE	3.53	1.31	5	3.1	5	2.5	1.7	2.1	0.9	2	2.6	0
E5.5	E55_ExVE	ExVE	0.41	0.68	5.1	3.3	4.9	3.1	1.4	1.4	0.5	2.9	2.1	0.6
E5.5	E55_ExVE	ExVE	0.78	1.58	5	3.5	4.8	2.7	0	3	1.4	2.7	1.7	0.9
E5.5	E55_ExVE	ExVE	3.22	1.55	3	3	5	1.7	3.2	3.3	1.4	3.1	1.4	0
E5.5	E55_ExVE	ExVE	2.31	1.81	3.3	3.8	5.1	3.5	2.2	3.1	0	1.8	1.5	0
E5.5	E55_ExVE	ExVE	1.91	1.52	3.6	3.3	4.8	4	3.1	1.5	0	1.3	1.4	0
E5.5	E55_ExVE	ExVE	1.6	0.88	4.3	3.6	4.1	3.4	1.9	0	0	2.3	2.4	0.8
E5.5	E55_ExVE	ExVE	2.74	1.26	2.7	3.8	5.2	3	2.2	1.8	0	1.5	2	0
