day	Anno	celltype	UMAP_1	UMAP_2	marker:Tbx5	marker:Hcn4	marker:Gata4	up:Nkx2-5	up:Mef2c	up:Casz1	up:Arid3b	up:Gata5	up:Fos	up:Tbx20	up:Srf	up:Atf3	up:Irx2	up:Tsc22d1	up:Zbtb20	up:Irx4	up:Hoxb8	up:Mafg	up:Bbx	up:Prox1	down:Mycn	down:Id3	down:Hmgb1	down:Cnbp	down:Litaf	down:E2f5	down:Trp53	down:Lyar	down:Tgif1	down:Tfap4	down:Terf1	down:Tcf3	down:Hmgb3	down:Foxc2	down:Tcf15
E7.75	E775_First_heart_field	First_heart_field	-2.79	-2.51	2	0	2	4	4.3	0	2	0	0	2	0	0	2	3.5	0	0	2	3	2	2	0	4.4	5.9	4.8	2	0	2	3.9	0	0	0	0	3.9	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.35	1.15	0	0	0	0	0	0	0	2.5	0	0	0	0	0	1.9	0	0	0	0	3.6	0	0	4.7	5.7	4.8	1.9	1.9	3.4	4.2	0	0	1.9	2.5	4.1	0	1.9
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.64	2.39	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0	0	2.1	0	0	2.1	5.6	5.5	0	0	3.7	4.1	0	0	0	3.2	4	4.3	5.3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.26	-1.32	0	0	2	0	2	0	0	2	3.3	0	2	0	2	2	0	0	0	0	2	0	4	6.1	5.8	5.2	2	3	3.5	4.1	3	2	2	3	4.4	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.98	1.56	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	3.1	4.5	5.1	5	0	2.8	3.1	4.1	3.1	2.1	3.1	2.1	2.8	3.4	4
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.02	-1.37	0	0	2	2	0	0	0	0	0	2	0	0	0	2.6	0	0	0	0	2.6	0	2.6	5.4	5.7	5	2	0	0	4.1	0	2	2.6	0	3.6	0	2
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.89	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	2.3	3.6	5.3	5.3	2.9	2.3	2.9	3.8	2.3	0	0	2.3	3.8	2.9	4.6
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	2.4	-3.29	0	0	2.9	1.9	1.9	0	1.9	0	1.9	0	0	0	0	3.4	0	0	0	1.9	2.9	0	2.5	5.6	5.7	5	2.5	0	3.4	3.6	2.9	0	0	1.9	3.2	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.45	-4.03	0	0	0	0	0	0	1.8	0	1.8	0	1.8	0	0	3.1	1.8	0	0	1.8	3.1	0	0	4.8	5.8	4.4	0	1.8	2.8	3.7	2.8	1.8	2.4	2.4	4.1	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.04	-0.7	0	0	0	3.2	2.8	0	0	0	3.9	0	0	0	0	3.2	0	0	0	2.2	0	0	2.8	4.9	5.5	5	2.2	2.8	3.5	3.2	0	0	0	2.2	4.6	2.2	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.73	1.77	0	0	0	0	1.7	0	0	0	1.7	0	0	0	0	2.9	0	0	0	1.7	1.7	0	3.3	3.1	5.5	4.5	1.7	2.3	3.6	4	0	0	1.7	3.1	3.6	2.3	4.4
E7.75	E775_First_heart_field	First_heart_field	-6.29	-2.84	2.1	0	1.5	3.5	2.5	0	2.5	2.1	0	0	0	0	1.5	3.4	0	0	2.1	2.9	3.1	1.5	2.7	4	4.9	4.5	0	0	1.5	3.9	2.1	1.5	0	2.5	3.1	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.74	1.32	0	0	2.6	3	3.2	0	3.2	2	2.6	2	0	0	0	0	0	0	0	3	2	0	2.6	4	5.8	4.8	2.6	2	3.5	4.3	2	0	2.6	3.6	4	2	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.45	0.21	0	0	0	0	0	0	2.5	0	0	0	0	0	0	2.9	0	0	0	1.9	0	0	2.5	1.9	5.3	5.2	1.9	1.9	3.3	3.8	2.9	0	2.9	3.5	4	1.9	4.3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.5	0.76	0	0	0	2	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	3.9	5.9	4.3	2.6	3.3	2.6	4.3	2.6	2	3	3.3	4.4	2	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.52	-1.39	0	0	0	4.2	3.8	0	0	0	0	0	2.1	0	0	3.8	0	0	0	2.1	0	0	3.1	4.2	5.7	4.8	2.1	3.1	2.8	4.3	2.8	0	0	0	3.8	0	0
E7.75	E775_First_heart_field	First_heart_field	-5.04	-2.88	2.1	0	2.8	3.1	4.4	0	0	3.1	2.1	2.1	2.1	0	0	2.8	0	2.1	0	2.8	2.1	2.1	2.1	4.2	5.4	4.5	0	0	2.8	3.1	0	0	0	3.1	3.1	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.41	-0.3	0	0	0	3.4	3.4	0	2.1	0	2.1	0	0	0	0	2.8	0	0	0	2.8	2.8	0	2.8	5.2	5.7	4.4	0	2.8	3.2	4.2	0	0	2.1	2.1	4.5	0	0
E7.75	E775_First_heart_field	First_heart_field	-4.21	-1.87	0	0	0	2.6	3.9	0	2.9	2.9	1.9	1.9	0	0	0	2.6	2.9	0	0	2.6	1.9	0	2.6	4.2	5.6	4.6	0	0	0	4.1	2.6	0	1.9	2.6	3.2	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.27	-1.97	0	1.9	0	3.6	3.6	0	2.6	1.9	0	0	2.6	0	0	1.9	0	0	0	0	0	0	0	4.1	5.7	5	1.9	0	2.6	4.4	0	1.9	1.9	2.6	3.8	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.86	-3.2	0	0	0	0	0	0	1.8	0	0	0	1.8	0	0	3.1	0	0	0	1.8	1.8	0	3.6	5.2	5.8	4.6	2.4	2.4	3.5	3.3	3.3	0	2.4	3.1	4.6	3.1	3.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.15	4.46	0	0	0	0	0	0	0	0	2.2	0	0	0	0	2.2	0	0	0	2.2	0	0	3.2	5	6	4.5	2.8	2.8	2.8	4.1	2.2	0	2.8	2.2	4.5	3.5	3.2
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.83	-3.17	0	0	0	2.9	1.9	0	2.5	0	0	0	0	0	0	2.5	0	0	0	1.9	0	0	3.1	5.5	5.8	4.8	2.9	1.9	2.9	3.3	1.9	0	0	1.9	2.9	2.9	0
E7.75	E775_First_heart_field	First_heart_field	-6.65	-2.49	1.9	0	0	2.9	2.9	2.5	1.9	0	2.5	2.9	2.5	1.9	0	1.9	1.9	1.9	0	0	2.9	0	0	4.5	5.4	4.7	1.9	2.9	2.5	4.3	0	0	0	1.9	4.1	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.39	0.79	0	0	0	0	2.8	0	0	2.2	0	0	0	0	0	2.2	0	0	0	2.2	3.2	2.2	0	4.8	5.2	4.6	0	2.2	0	3.2	0	2.2	2.8	2.2	4	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.52	0.18	0	0	0	0	0	0	1.9	0	0	0	0	0	1.9	3.2	0	0	0	2.9	2.6	0	2.6	3.4	5.8	4.8	3.2	2.9	2.9	4.4	0	1.9	1.9	0	3.8	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.44	-0.01	0	0	0	3	1.8	0	0	0	1.8	0	1.8	0	0	3	0	0	0	1.8	1.8	0	2.7	3.6	5.5	4.7	0	2.4	2.7	4.4	1.8	2.4	1.8	3	3.4	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.91	-3.82	0	0	0	2.5	1.9	0	2.5	0	2.5	0	0	0	0	3.2	0	0	0	0	1.9	0	1.9	4.6	5.7	5.3	1.9	2.5	3.9	4.1	2.9	2.5	2.5	2.5	3.7	2.9	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.09	-2.18	0	0	0	4.4	2.5	0	2.5	0	3.2	0	0	0	0	2.5	0	0	0	0	0	0	0	4.1	5.6	4.7	3.2	0	0	3.9	0	2.5	2.5	2.5	4.4	0	0
