day	Anno	celltype	UMAP_1	UMAP_2	Cdx2	Dnd1	Dppa3	Gsc	Hhex	Ifitm3	Lhx1	Mesp1	Msx1	Msx2	Otx2	Sox17	Sp5	T
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.54	4.32	0	0	0	2.4	0	0	0	0	1.8	0	3.2	0	1.8	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.98	4.52	0	0	0	0	0	2.5	0	0	0	0	2.5	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.83	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.33	-0.32	0	0	0	0	0	2.5	0	0	0	2.5	2.5	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	0.35	2	0	0	0	0	0	2.5	0	0	0	0	2.5	0	0	2.5
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.09	3.25	0	0	0	0	0	2.4	0	0	2.4	0	2.4	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	0.28	2.33	0	0	0	1.5	0	2.7	0	2.1	0	0	0	0	1.5	0
E6.75	E675_Primitive_Streak	Primitive_Streak	1.13	3.8	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-5.65	1.53	0	0	0	0	0	2.1	0	0	0	0	2.7	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.21	-0.77	0	2.7	0	2.7	0	0	0	2.7	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	0.55	1.23	0	0	0	2.8	0	0	0	0	0	0	1.8	0	0	2.4
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.8	-1.84	0	0	0	0	0	2.7	0	0	0	0	0	0	0	2.7
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.56	2.34	0	0	0	0	0	2.8	0	0	0	0	3.2	0	2.2	2.2
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.13	3.58	0	0	0	0	0	0	0	0	0	0	2.3	0	0	2.3
E6.75	E675_Primitive_Streak	Primitive_Streak	0.95	-1.97	0	0	0	0	0	2.3	2.3	4.2	0	0	0	0	3.6	4.7
E6.75	E675_Primitive_Streak	Primitive_Streak	-5.83	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	0.11	1.18	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	2.66	0.58	0	0	0	3.7	0	2.4	0	0	0	0	0	0	2.4	2.4
E6.75	E675_Primitive_Streak	Primitive_Streak	1.27	-1.73	0	0	0	2.4	0	3.4	0	5.1	2.4	0	0	0	2.4	3.9
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.05	-0.31	0	2.5	0	0	0	3.6	0	3.6	2.5	0	0	0	0	4.3
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.43	-6.07	3.8	2.5	0	0	0	3.1	0	0	0	4	0	0	0	4
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.29	-0.3	0	0	0	3.1	0	3.1	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-4.26	2.27	0	0	0	2.4	0	0	0	0	0	0	2.4	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	0.48	-2.68	0	0	0	3	0	0	2	3.5	0	0	2	0	3.6	3
