day	Anno	celltype	UMAP_1	UMAP_2	marker:Slc2a3	marker:Postn	up:Msx1	up:Pitx2	up:Hoxb6	up:Tsc22d1	up:Peg3	up:Klf6	up:Hoxb8	up:Jun	up:Cdx4	up:Twist1	up:Rarg	up:Sp5	up:Prrx1	up:Hoxd4	down:Foxf1	down:Hlx	down:Lin28a
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.03	-4.68	3.1	0	0	2.5	2.5	2.5	0	0	0	0	0	0	2.5	0	0	0	3.8	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-2.91	-6.49	0	0	3.4	2.4	0	3	3	3.4	0	2.4	0	0	0	0	0	0	4.4	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.84	4.4	3	0	0	0	0	0	3.7	3	2.4	3.9	0	0	0	2.4	0	0	3.9	2.4	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.68	-3.14	1.8	0	0	0	0	3.1	0	1.8	0	0	0	0	0	0	0	0	4.3	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.38	-0.89	2.9	0	1.9	0	0	3.4	3.5	1.9	0	3.5	0	1.9	0	1.9	1.9	0	3.5	0	1.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-2.85	3.31	3.6	0	2.5	0	0	2.5	3.8	3.2	0	0	0	0	0	0	0	0	4.5	0	2.5
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.36	4.23	4.1	0	3.6	0	2.9	2.9	3.8	2.9	0	0	0	0	2.3	0	0	0	3.3	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.7	-6.28	0	0	4.1	0	1.8	3.2	3	3.2	0	2.4	0	0	0	0	0	0	2.8	0	1.8
E8	E8_Somatic_mesoderm	Somatic_mesoderm	0.11	-1.15	0	0	2.4	0	2.4	3.3	3.8	3	0	0	0	0	0	0	0	0	4.2	1.8	2.8
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.97	-2.66	0	0	2.4	2.4	0	2.4	2.4	0	0	0	0	0	2.4	0	0	0	4.1	2.4	3.5
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.68	6.06	4	3.4	2.8	3.8	0	4	4.3	2.8	0	0	0	0	0	0	0	0	2.1	0	2.8
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.45	5.22	3.3	0	3.6	0	2.6	2	2.6	2.6	2	0	0	0	0	0	0	0	3.5	3	2
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.19	-2.52	2.5	0	0	0	0	3.5	3.5	0	0	0	0	2.5	0	0	0	0	4	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.7	-5.28	2.5	0	3.1	2.5	0	0	2.5	3.1	0	2.5	0	2.5	2.5	0	0	0	3.1	0	2.5
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.63	-6.51	0	0	0	0	0	3.9	3	3	0	0	0	3.7	0	0	0	0	0	0	3
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.95	3.73	3.3	1.7	4.2	2.3	2.9	3.8	3.5	2.6	2.9	2.3	2.6	1.7	2.3	0	0	2.3	2.9	0	2.3
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.57	-1.18	2.8	0	1.8	0	0	3.6	2.8	2.4	1.8	0	0	2.4	0	0	2.4	0	3.8	1.8	2.4
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.6	3.22	5.1	0	4.1	3.4	0	4.6	3.4	0	2.7	3.4	0	2.7	0	2.7	0	0	3.8	0	2.7
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.19	2.07	2.5	0	3.5	0	2.5	3.1	3.8	0	0	0	3.5	0	2.5	0	0	2.5	4.3	2.5	2.5
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.76	-4.7	1.9	0	2.9	1.9	0	3.6	3.6	0	0	0	0	0	0	0	0	0	3.6	0	3.2
E8	E8_Somatic_mesoderm	Somatic_mesoderm	6.07	2.57	5.3	2.9	3.6	0	2.9	3.8	2.9	2.3	2.3	3.6	0	0	2.3	0	0	0	2.9	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.61	-1.27	3.8	0	3.4	3.3	0	3.6	3.4	2.8	2.8	2.4	0	0	1.8	1.8	0	0	3.1	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.24	-1.05	3.1	0	3.3	2.7	2.7	3.9	4.1	2.7	2	0	2	2.7	2	0	0	0	4.4	0	3.1
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.15	7.4	3.8	0	4.2	3.6	1.8	3.8	4	4	1.8	3.6	0	1.8	0	1.8	0	0	2.8	0	2.8
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.6	4.69	2.9	0	5	0	4.3	2.9	2.9	2.2	2.2	2.9	2.9	0	2.2	0	0	0	4.2	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.25	2.88	4.1	0	2.1	3.7	3.7	3.7	2.8	2.1	2.8	0	0	0	0	2.1	0	0	3.7	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.26	-3.17	3.3	0	2.3	2.3	0	3.8	2.3	2.3	0	2.3	0	0	0	0	0	0	4	3.3	2.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.23	-4.75	3.6	0	2.6	3.2	3.6	0	3.2	0	0	0	0	2.6	2.6	0	0	0	3.2	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	5.3	2.02	4.6	0	4.6	2.8	3.4	3.4	3.9	3	3	2.8	1.8	3	0	1.8	0	0	3.7	0	1.8
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.32	-1.73	1.8	0	0	2.4	1.8	3	2.7	2.7	0	1.8	0	0	1.8	0	0	0	4	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.82	-1.46	3.3	0	3.9	3.3	0	3.5	3.8	0	0	2.9	0	2.2	0	0	0	0	2.2	0	3.3
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.76	-3.47	2.1	0	2.1	0	2.1	2.1	3.1	3.4	0	2.1	0	0	0	0	0	0	4.3	0	2.1
E8	E8_Somatic_mesoderm	Somatic_mesoderm	5.31	2.9	3.9	3	3.7	4.1	2.4	4.4	3	3.7	0	0	0	0	0	0	0	0	3.4	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.53	1.52	4.7	0	4.3	2.9	3.6	3.6	4	0	2.9	0	0	0	2.3	2.9	0	0	2.9	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.1	3.49	3.9	0	3.3	4.2	0	2.7	3.7	2.7	2	3.3	0	0	0	3.1	0	0	3.5	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.87	3.16	2	0	3.2	2.6	3	3.8	3.6	3.2	2	2	0	0	2.6	0	0	0	3.9	2	2
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.96	-5.33	0	0	3.3	3.3	0	4.2	4.1	3.6	0	4.1	0	0	0	0	0	0	3.6	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.86	0.05	4.1	0	3.8	2.9	2.3	3.3	3.3	2.9	0	0	0	0	2.9	0	2.9	2.3	4	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.35	2.23	4.3	0	3.2	3.4	3.5	3.7	3.8	1.9	0	0	0	3.4	0	0	1.9	0	3.4	0	1.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.05	-0.61	0	0	0	3	0	3.7	3.4	0	0	0	0	0	0	0	0	0	5	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-6.23	-4.51	0	0	0	0	1.9	3.4	2.9	3.1	0	0	0	0	0	0	1.9	0	3.1	0	1.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.35	-3.65	3.2	0	0	0	0	2.6	0	2.6	0	0	0	0	0	0	0	0	4.5	0	2.6
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.37	2.31	3.5	1.7	2.6	2.3	1.7	2.9	2.3	1.7	1.7	0	0	0	0	0	0	0	3.7	0	1.7
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.77	8	4.2	0	2.9	3.8	2.5	3.3	3.8	3.1	1.9	3.3	0	0	0	1.9	0	0	1.9	0	1.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.45	3.63	3.1	0	4.3	2.4	3.7	2.4	2.4	0	0	0	0	0	2.4	0	0	0	3.1	0	2.4
E8	E8_Somatic_mesoderm	Somatic_mesoderm	0.81	-0.09	2.5	2.2	2.2	2.2	2.2	3.7	2.8	2.5	0	0	0	0	0	0	0	0	3.7	1.6	2.5
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.77	2.05	3.4	0	0	0	2.4	2.4	3	0	0	0	3.4	0	0	0	0	0	4.3	2.4	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.57	-1.53	4	0	3.6	0	3.3	3.1	4.2	0	2.1	2.7	0	0	0	0	0	0	3.6	2.1	2.7
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-6.16	3.29	2.9	0	2.9	2.3	4.2	2.9	2.9	2.3	2.3	0	0	3.3	2.9	0	0	0	4.1	0	2.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.5	6.73	4.1	0	4.1	4.5	0	4.6	3.8	3.4	0	2.7	0	2.7	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.5	3.1	3.6	0	4	2.9	3.6	3.8	3.8	2.6	1.9	1.9	1.9	0	1.9	0	0	0	3.6	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.58	7.58	4.6	2.5	0	3.2	0	4.3	3.2	3.8	0	2.9	0	0	2.5	0	0	0	2.5	0	1.9
