day	Anno	celltype	UMAP_1	UMAP_2	marker:Gata6	marker:Pdgfra	marker:Sox17	up:Foxq1	up:Tfec	up:Hnf1b	up:Gata4	up:Sox7	up:Xbp1	up:Creb3l2	up:Hesx1	up:Runx1	up:Nfxl1	up:Zfp37	up:Meis3	down:Pou5f1	down:Nanog	down:Rest	down:Sox2	down:Mybl2	down:Zfp57	down:Klf2	down:Esrrb
E3.5	E35_ICM	ICM	-6.51	7.6	0	1.7	0	0	0	0	0	0	0	1.1	2	0	0	0	0	5.4	3	3.2	2.2	3	0	1.4	3
E3.5	E35_ICM	ICM	-8.95	5.22	3.8	2.8	3.4	0	0	2.5	2.4	0	0	2.4	1.1	1.7	2.4	0	0	4.9	2.2	3.6	0.2	3.3	0	2.5	1.4
E3.5	E35_ICM	ICM	-5.82	3.01	1.8	0.8	0	0	0	0	0	0	3.2	0	0.1	0	0	0	0	5.2	2.6	3.9	0	3.5	1.3	0	0.4
E3.5	E35_ICM	ICM	-5.01	7.4	4.4	3.7	3	1.5	0	0	0.9	0	1.4	0	2.3	0.2	0.4	0	0	5.1	0	3.8	2	2.3	1.9	0.8	2.2
E3.5	E35_ICM	ICM	-6.56	5.06	0.3	0.3	0	0	0	0	0	0	3.2	0	2.3	0	0	0	0	5.3	3.9	3	2.2	3.6	1.6	1.3	2.1
E3.5	E35_ICM	ICM	-6.84	7.11	2.4	0.9	0	0	0	0	0	0	2.8	0	2.4	0	0	0	0	5.7	3.9	2.7	2.5	4.2	1.5	3.5	2.3
E3.5	E35_ICM	ICM	-5.31	3.3	0	0	0	0	0.1	0	0	0	3	0	3.5	0	0	0.4	1.2	5.2	4	3.8	2.2	3.5	1.4	3.2	1.3
E3.5	E35_ICM	ICM	-7.65	7.57	2.3	2.1	0	0	0	0	0	0	0.4	0	0	0	2	0	0	5.3	3.9	3.1	2.6	4	2.2	3.2	2.3
E3.5	E35_ICM	ICM	-7.39	6.38	1.1	0	1.3	0	0	0	0	0	2.5	2.2	2.8	0	0	1.5	0	5.7	3.3	3.8	0.4	2.8	2.5	2.4	0
E3.5	E35_ICM	ICM	-4.76	5.96	2.5	3.1	0	0	0	0	0	0	3.2	1.6	2.1	2.1	0	0	0	5.4	2.8	3.9	2.2	3.9	0.9	2.8	2.9
