day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hes3	up:Nkx1-2	up:Hoxb9	up:Sox2	up:Foxb1	up:Nr6a1	down:T	down:Tbx6	down:Msx2	down:Mixl1	down:Mesp1	down:Hes7	down:Klf5	down:Snai1	down:Hand1
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.05	-0.74	3.8	2.3	3.3	3.3	2.3	3.6	0	0	3.3	2.9	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.84	-0.06	3	0	3.6	3.6	0	3.6	0	3	3	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.17	-1.23	2	2.6	0	0	4.2	2.6	2	0	3.5	0	0	0	0	0	2	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.71	-4.21	2.3	2.3	2.3	2.3	4.1	2.3	2.3	0	2.3	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.37	-0.39	2.1	2.1	0	0	4.1	0	0	2.8	0	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.66	3.35	2.2	3.7	0	0	2.9	3.7	2.2	2.2	3.2	0	0	0	0	0	2.9	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.94	0.68	0	0	2.5	2.5	3.2	3.2	0	0	2.5	2.5	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.38	1.08	3.8	3.3	3.3	3.3	3.3	3.3	0	0	3.3	2.9	0	0	0	0	0	0	0	2.9
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.45	0.55	2.3	0	3	3	4	0	3.4	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.74	-2.57	0	2.1	3.6	3.6	2.1	2.1	2.1	2.8	3.1	0	0	0	0	0	0	2.1	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.77	-3.51	0	0	4.4	4.4	2.2	0	0	2.2	2.8	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.79	2.29	0	0	2.3	2.3	3.3	0	0	0	0	2.3	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.6	0.38	2.2	0	2.2	2.2	2.8	0	0	0	2.2	2.8	0	0	0	0	2.2	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.79	-0.48	3.8	3.5	0	0	3	2	0	0	0	3.3	2	0	0	0	3	2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.02	-5.02	0	0	2.6	2.6	3.9	0	0	3.2	3.2	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.53	-0.16	3.5	2.2	2.8	2.8	3.9	3.5	0	0	2.8	2.2	0	0	0	0	2.2	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.29	-2.63	3.4	3.2	3.4	3.4	4	2.8	2.1	0	0	2.1	0	0	0	0	2.1	0	0	2.1
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.1	-0.03	3.1	0	3.1	3.1	0	0	0	2.4	0	0	0	0	0	0	2.4	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.77	-2.15	3.1	0	2.4	2.4	3.1	0	2.4	3.1	0	0	0	0	0	0	0	0	0	0
