day	Anno	celltype	UMAP_1	UMAP_2	marker:T	marker:Noto	up:Foxj1	up:T	up:Noto	up:Jund	up:Mterf4	up:Meox1	up:Rfx3	up:Ebf1	up:Rfx2	up:Dmrtb1	down:Sox17	down:Gsc	down:Lhx1	down:Gata6	down:Otx2	down:Pa2g4	down:Hhex	down:Zfp706
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	2.55	-1.86	1.8	0	0	1.8	0	0	0	0	0	0	0	0	0	3.2	4.2	1.8	3.2	5	2.8	3.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.59	1.16	2.6	0	0	2.6	0	4.2	0	0	0	0	0	0	2	3.5	3	0	2	4.2	3	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.12	2.06	1.9	0	0	1.9	0	3.4	0	0	0	0	0	0	2.9	3.4	2.9	2.6	2.6	4.1	2.6	3.2
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.64	-0.85	2.3	0	1.7	2.3	0	1.7	1.7	0	0	0	0	0	0	4.1	2.7	3	3.7	4.3	3	3.2
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.48	1.78	0	0	0	0	0	1.8	1.8	0	0	0	0	0	4.4	4.5	2.8	3.2	3	4.4	3.9	3.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	5.77	0.73	0	0	0	0	0	2.2	2.2	0	0	0	0	0	1.6	3.9	3.1	0	2.2	3.9	1.6	3.8
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.72	1.1	2.6	0	0	2.6	0	2	0	0	2	0	0	0	4.1	3	3.6	0	0	4.5	3	3.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.45	-4.25	2.2	0	1.3	2.2	0	2.2	1.3	0	0	1.3	0	0	0	3.2	3	2.2	3.7	4.2	2.2	3.1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.91	1.35	0	0	0	0	0	2.6	0	0	2.6	0	0	0	3.9	4.3	3.9	3.2	2	4.5	3.2	3.6
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.57	1.51	0	2	0	0	2	0	2	0	2	0	0	0	2	3.3	2	0	2	4.9	2.6	3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	5.21	3.8	2	0	2.6	2	0	3.5	2	0	2	0	0	0	0	3	0	0	2	4.3	0	3.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.57	-5.8	3.3	0	1.7	3.3	0	0	1.7	0	0	0	0	0	0	2.9	2.3	1.7	2.6	4.6	1.7	3.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.12	3	0	2	0	0	2	2	2.7	0	2	0	0	0	0	2.7	2	2	2.7	3.7	2	3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.91	-0.52	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	3.4	0	3.9	4	2.7	3.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	5.16	-1.46	2.8	0	0	2.8	0	2.8	1.8	0	0	0	0	0	0	3.3	2.8	1.8	2.4	4.6	0	3.1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.08	0.89	0	0	0	0	0	3.5	2.2	0	0	0	0	0	3.7	4.7	4	2.8	2.2	3.7	3.7	3.2
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.63	-1.59	2.3	0	0	2.3	0	2.7	0	0	0	0	0	0	0	3.8	3.4	2.3	2.7	5	3.4	3.8
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.49	-1.24	2.5	0	0	2.5	0	1.9	0	0	0	0	0	0	0	3.2	3.6	2.5	2.5	4.3	0	2.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.98	2.84	0	0	0	0	0	0	0	0	0	0	0	0	3.4	3.8	3.6	2.1	2.7	4.7	0	3.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-4.89	1.23	0	0	0	0	0	0	0	0	0	0	0	0	4.3	3	3.5	2.8	2.6	4	1.6	3.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.81	0.49	0	0	3.3	0	0	2	2	0	0	0	0	0	0	3.3	3	0	2.6	4.5	0	3.7
