day	Anno	celltype	UMAP_1	UMAP_2	Apoa2	Apoe	Arid3c	Creb3l3	Gli3	Hand1	Lamb1	Lhx1	Myc	Sparc	Srebf2	Tfap2c	Ttr	Zic3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.4	1.37	2.3	7.5	3.3	3.1	0	0	4	1.7	0	5	3.6	0.9	6.1	3.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.03	-0.07	2.9	6.8	3.2	0.2	0.6	0	3.6	3.3	0.5	5.1	3.4	0	5.7	3.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.65	1.39	3.2	7.1	3.2	3.6	0	0	3.7	3.1	0	5.2	3.6	0	6.4	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.19	1.78	2.3	7	2.3	3.6	0	0	3.3	0.9	0	5.2	3.4	0	6.1	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.52	-1.19	3.9	7.1	2.6	1.8	0	0	3	3.2	0	4.7	3.6	0.1	6.1	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.34	-1.05	0.6	6.8	3.1	1.3	0	0	3.5	3.6	0.3	5.1	2.9	0	5.7	3.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.54	-0.85	2.1	7	2.7	0.2	0	0	3.4	2.4	0.1	5	3.2	0	5.8	2.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.65	0.97	2.9	7	2.6	3	0	0	3.4	0.5	1.8	4.8	3.7	0	5.9	3.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.9	-0.48	2.8	7	3.2	2.2	0	0	3.6	3.6	0	5.2	3.6	0	6	4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.4	2	2.4	7.3	2.5	3.7	0	0.4	2.9	1.8	1.2	4.9	3.8	0	5.5	2.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.02	1.12	1	7.2	3	3.3	0	0	3	0	1.4	4.8	3.5	0	6.3	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.4	-0.76	1.6	6.8	2.1	0	0	0	2.6	3.1	0	4.9	3.8	0.1	5.4	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.9	-2.56	1.4	6.1	2.4	0	1	2.6	2.9	3.9	1.9	4.7	3.8	1.4	5.3	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.14	-0.8	0	6.5	1.4	1.3	0.2	0	3.7	3.6	0.9	5.6	4	0	5.2	2.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.49	2.49	3.4	7.2	1.8	4.2	0	1.5	2.4	0	2.3	5.5	4	0.1	5.5	2.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.84	-2.49	1.5	6.8	2.7	1.5	0	1.3	3.5	4.2	0	5.2	3.3	0.6	5.7	4.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.11	0.23	2.6	6.9	0.6	2.1	0	1.7	3	1.2	0	5.2	4	0	5.8	2.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.54	-2.85	1.5	6.7	2	0.8	0	0	2.7	3.5	0.7	4.8	3.3	0	5.6	3.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.74	1.55	3.4	7	2.6	3.5	0	1.5	2.8	0.4	0	5.5	3.9	0.9	5.9	3.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.54	1.76	1.8	7.5	2.5	1.5	0	0	4.2	0	0	5.9	4.2	0	6	0.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.49	-1.77	0.6	6.6	2.5	1	0	0	3.9	3.6	2.4	5	3.1	0	5.4	3.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.2	2.26	3.1	7.2	1.6	3.4	0	0	3.4	1.5	0	5.7	3.6	0	5.3	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.81	-0.72	0.8	6.5	1.8	0.9	0	2.9	3.4	3.1	1.8	5	4	1.9	5.5	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.5	1.23	2	7.1	0	3.3	0	0	2.6	0.5	1.7	5.3	3.4	2.3	5.8	3.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.57	-2.77	1.1	6.5	1.9	1.4	0	1.1	4	2.7	2.1	4.7	2.4	1.3	4.8	3.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.38	2.13	2.5	7.8	3	3.9	0	0	3.7	1.9	0	5.5	4.3	0	6.4	1.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.07	-0.93	2.4	6.9	3.3	1.3	0	0	3.2	2.9	0.4	4.8	3.4	0	5.5	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.3	1.49	0.9	7.1	3.1	2.9	0.1	1.4	3	3.1	0	4.8	4.1	1.3	5.2	4.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.46	0.53	2.2	7.1	3	3	0	0	3.4	3.4	0	5.4	3.8	0	5.1	2.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.05	3.25	2.7	7.8	3	3.6	0	0	3.9	0.8	0	5.7	4.4	0	5.9	2.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.8	0.27	3.2	6.9	3.1	2.8	0	0	2.9	3.9	0	5.1	4.3	0	5.8	2.9
