day	Anno	celltype	UMAP_1	UMAP_2	marker:Ttr	marker:Apoa2	marker:Apoe	up:Zic3	up:Arid3c	up:Creb3l3	up:Nfia	up:Srebf2	up:Hmg20b	up:Mlxipl	up:Prdm6	up:Lhx1	up:Hnf4a	up:Stat6	up:Zfp280b	up:Tfcp2l1	down:Egr1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.22	-0.79	5.7	3	6.9	2.9	2.7	1.3	1.1	3.8	2	0	2.4	3.3	2.7	2.2	2.2	2.1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.19	1.97	5.8	1.5	7.1	3	2.4	0	1.8	3.5	3	1.5	1.5	4	2.3	2.2	2.6	2.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.33	-0.06	6.2	2.2	7	4.1	2.3	1.2	0.6	3.5	1.7	1	2.5	2.4	2.7	2.1	2.7	2.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.84	-2.9	5.9	4	7.8	2.1	1.2	4.1	0	3.7	2.4	2	1.9	1.5	2.6	3.1	2.2	2.2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.53	0.72	5	1.5	6.6	3.5	2.4	0.9	1.7	3.3	3.3	0.2	2.3	3.1	2.2	1	2.4	1.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.57	1.61	6	3	6.6	3	2.8	2.3	0.9	3.8	2.9	0.4	1.5	2.8	2.6	1.8	2.7	2.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.36	0.13	5.4	2.2	6.7	3.7	3.4	0.8	1	3.4	3	0.4	2.6	2.9	2.6	1.1	2.7	1.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.39	-1.5	5.3	2	6.8	1.8	0	3.8	0.1	4	2.2	0.2	0	1.1	3.7	1.7	3	0.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.13	-2.8	6.1	2.8	7	2.9	2.3	2.8	0.6	3.9	3.1	0.7	2.3	1.5	3.3	3	3	2.1	0.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4	-1.39	5.3	1.6	7	4.2	3.4	0	2	4	2.7	1.4	2.5	2.9	2.5	2.7	2.4	2.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.01	-1.92	6.1	2.3	7.5	3.6	3.3	3.1	0.2	3.6	2.8	0.6	2.6	1.7	2.4	2.2	2.4	2.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.79	1.11	5.7	2.9	6.8	3.6	3.2	0.2	1.5	3.4	2.9	1	0.7	3.3	1.9	1.7	3.1	2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.5	-1.59	6.4	3.2	7.1	3.2	3.2	3.6	2	3.6	2.9	0	1.2	3.1	3.4	2.7	2.6	1.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.47	-2.72	6.1	2.3	7	3.1	2.3	3.6	0.5	3.4	3	0.8	2.2	0.9	2.6	2.4	2.5	1.6	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.21	-1.25	6.1	3.9	7.1	3.4	2.6	1.8	1	3.6	2.5	2	2.4	3.2	3.1	2.6	2.6	2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.01	1.31	5.7	0.6	6.8	3.7	3.1	1.3	0.7	2.9	3	0	2.1	3.6	2.5	2.1	1.8	0.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.24	0.58	5.8	2.1	7	2.9	2.7	0.2	2.5	3.2	2.4	1.3	2.5	2.4	2.4	2.1	2.4	1.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.15	-1.78	5.9	2.9	7	3.3	2.6	3	1.9	3.7	2.7	1	2.6	0.5	3.5	1.8	2.2	1.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.28	1.58	6	2.8	7	4	3.2	2.2	0.3	3.6	2.9	0	1.1	3.6	2.7	2.1	2.7	2.6	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.15	-3.01	5.5	2.4	7.3	2.6	2.5	3.7	1.1	3.8	3.2	1.1	1.7	1.8	2.2	2.7	2.2	2.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.04	-2.32	6.3	1	7.2	3.4	3	3.3	1	3.5	3.2	1.1	2.5	0	2.4	2.7	1.7	2.6	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.86	-1.12	5.4	1.6	6.8	3.2	2.1	0	1	3.8	2.7	0	1.8	3.1	3.8	2.3	2.5	2.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.1	0.42	5.3	1.4	6.1	3.4	2.4	0	1.6	3.8	2	0	1.7	3.9	2.7	2.2	2.3	0.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.07	0.27	5.2	0	6.5	2.8	1.4	1.3	0.5	4	3.4	0	3	3.6	3.1	2.6	3	1.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.72	-2.03	5.5	3.4	7.2	2.7	1.8	4.2	1.7	4	3.1	1.3	0	0	2.3	3.1	1.5	2.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.94	2	5.7	1.5	6.8	4.3	2.7	1.5	0.5	3.3	3.1	1.2	2.2	4.2	2.9	2.7	2	2.6	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.05	-0.96	5.8	2.6	6.9	2.8	0.6	2.1	0.3	4	2.9	2.5	2.3	1.2	3.1	3	3.1	2.2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.5	-0.38	5.6	1.5	6.7	3.9	2	0.8	0.9	3.3	2.8	1.5	2.2	3.5	2.6	0.7	2.7	1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.89	-1.87	5.9	3.4	7	3.6	2.6	3.5	0	3.9	3	2.2	2.6	0.4	3.9	2.5	3.1	1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.05	-2.11	6	1.8	7.5	0.1	2.5	1.5	1.1	4.2	3.2	2.5	2.5	0	2.2	1.1	2.2	1.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.77	1.73	5.4	0.6	6.6	3.3	2.5	1	0.9	3.1	2.8	2	2.1	3.6	2.8	2.1	3	2.1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.32	-2.16	5.3	3.1	7.2	3.4	1.6	3.4	0.1	3.6	3.4	1	2.4	1.5	3.4	3.2	2.7	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.15	0.57	5.5	0.8	6.5	3.1	1.8	0.9	1	4	2.6	0.5	1.4	3.1	2.7	1.9	2.8	2.5	0.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.3	-0.66	5.8	2	7.1	3.8	0	3.3	1.1	3.4	3.4	0	1.7	0.5	3.4	2.2	3	2.2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.02	1.38	4.8	1.1	6.5	3.8	1.9	1.4	1.5	2.4	3	0.5	1.7	2.7	2.5	2.2	3.2	2.2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.26	-3.67	6.4	2.5	7.8	1.8	3	3.9	0.1	4.3	3.3	0	2.7	1.9	0	3	2	0.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.87	0.56	5.5	2.4	6.9	3.4	3.3	1.3	1.1	3.4	2.8	1.5	1.6	2.9	2.5	2.6	3	2.6	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.96	-0.81	5.2	0.9	7.1	4.5	3.1	2.9	0.9	4.1	2.9	0.8	1.7	3.1	2.6	2.7	2	2.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.79	-0.44	5.1	2.2	7.1	2.8	3	3	1.7	3.8	3.4	0.6	1.8	3.4	3.1	2.6	2.5	1.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.46	-3.75	5.9	2.7	7.8	2.7	3	3.6	1.6	4.4	3.5	1.3	2.6	0.8	3.2	3	1.8	1.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.23	-0.37	5.8	3.2	6.9	2.9	3.1	2.8	0.8	4.3	2.7	1.5	2.4	3.9	3.2	1.9	2.6	2.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.98	-3.63	5.7	3.2	7.6	1.6	2.4	4.3	0.9	4.2	2.9	2.1	1	0	2.2	2.7	0.9	2.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.27	-3.35	6.5	3.1	7.9	3.2	2.1	4.6	1.5	3.8	2.3	0.5	1.3	0.1	2	3	1	2.2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.41	-2.31	5.7	3.2	7.1	3.2	2.9	3.2	0.5	3.9	3	0.5	2.1	2.4	2.8	1.1	2.2	2.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.79	-2.63	5.5	2.7	7.3	1.5	1	4.2	0	3.6	2	0	2	0.9	3.3	2.9	2.7	2.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.97	-3.16	5.7	3.7	8	0	1.8	4	0.4	4	3.6	2.8	2	1.2	2.9	1.8	3	0.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.64	-1.18	4.9	2.4	7.2	3.7	3.6	2.4	1.8	3.7	3.3	2.2	1.8	1.9	3	2	1.6	1.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.44	-0.01	4.7	2.3	7.1	2.8	3	2.2	1.4	4.1	2.9	1.3	2.7	3.2	2.8	2.1	3.2	1.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.77	-1.52	5.6	0	6.6	3	4	3.8	0	3.5	3.7	0	2.3	0.8	3.9	2.6	2.6	1.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.19	-1.97	5.7	3.9	7.1	2.7	1.2	3.3	1.7	4.2	2.7	1.3	3.1	2.7	2.3	2.1	2.8	1.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.81	-3.43	7.3	0.7	7.9	3.3	2.7	4.2	1.8	3.9	2.8	0	0.5	0.2	2.9	2.5	2.3	1.6	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.45	-2.08	5.8	2.3	7.3	3.6	2.8	3.8	0.9	4	3.3	0	2.2	1	3.3	2.7	2.3	1.4	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	1.07	-0.62	5.2	0.8	6.7	2.6	1.7	3	0	3.2	2.4	1.2	1.6	0.2	2.1	2.7	2.2	1.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.98	-0.75	3.9	0	5.8	3.3	2.5	3.7	2.3	4	3.3	1.5	1.9	1.9	3.9	3.6	2.5	3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.8	-0.19	5.7	3.8	7	2.3	2.7	1.9	1	4	2.5	1.5	1.8	3.8	2.7	0.4	2.9	1.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.1	-2.15	5.7	2.6	7.2	3.3	3.1	2.9	0.5	4	2.8	0.3	2.2	1.4	2.7	3.2	2.6	2.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.42	-2.42	5.3	2.3	7	3.1	2.6	3.1	0	4.4	3	0	1.4	3.3	3	1.9	2.3	2.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.06	-0.63	6.2	1.6	7	3.5	2.6	2.5	0.5	4	3.2	1.8	2.4	3.8	3.1	2.1	2.6	2.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.15	-1.38	5.6	0.5	7.2	2.9	2.2	3.2	0	3.9	3.5	0.5	2.5	1.6	4.2	2.2	2.7	2.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.31	-3.08	5.5	1.8	7.6	3.6	3.2	3.4	1.6	3.4	2.7	0	2.5	2	2.7	2.5	2.8	1.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.78	-0.34	5.7	2.1	6.9	3.7	3.1	1.9	0.1	3.6	2.6	1.6	2.2	3.8	3.5	2.1	2.9	3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.28	-2.34	5.6	3.5	7.3	0.3	0.8	4.3	0.6	3.8	2.3	1	1.3	0	3.2	2.1	2.6	2.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.08	-2.3	6.5	3.7	7.5	3.5	3.5	3.5	0	4.2	3.1	1.7	1.8	2.3	3.3	3	1.9	2.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.25	-0.08	5.9	3.3	6.7	4.1	3.3	2.4	1.2	3.9	2.7	1.2	2	4.2	3.3	1.7	2.3	2.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.35	-1.21	6.3	3.9	7.1	2.4	3.4	2.7	1.4	3.6	3	1.7	2.1	2.8	3.4	2.7	2.4	1.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.14	-3.54	5.9	1.4	7.7	3.5	2.8	3.7	1.2	4	2.9	0	0.5	1.6	2.6	0	3.1	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.98	-2.44	5.3	0.2	7.2	3.4	2.7	3.4	1.3	3.7	3	1.7	2.1	0.6	3.4	2	1.9	1.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.89	-0.53	5.2	1.5	6.6	2.6	2.4	2.4	1.6	3.6	2.5	1.4	2.5	2.6	2.4	2.6	2.4	2.1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.83	-1.25	5.1	1.2	7.2	3.5	3	2.4	0	4.1	2.9	0.8	1.6	2.8	2.1	2.6	1.6	2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.5	-0.76	5.2	1	6.8	2.6	2.5	1.9	0.5	3.8	3	1.1	2.2	0.8	2.8	1.9	2.5	0.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.03	0.32	5.3	1.9	7.2	3.4	1.9	1.4	2.1	4.1	3	1.1	2.1	3.4	2.7	2.6	1.7	2.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.63	-2.53	5.3	1.6	7.3	0	1.5	4.1	0.4	3.7	3.4	1	0.8	0	2.9	3.2	2.1	1.6	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	1.63	3.19	2.7	0	6	0	0	0	0	3.9	3.1	0	0	0	3	2	2.2	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.66	-2.89	6.5	3.8	8.1	0	3.2	4.9	1.5	4.5	3	2.7	2.2	0	3.5	2.1	2.4	2.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.86	-3	5.8	2.6	7.4	3.1	0	3.4	1.2	3.9	3.3	1.8	1.4	1.3	2.8	2.8	2.7	1.2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.61	-1.74	5.4	1.9	7.1	3.4	2.5	1.8	1.1	3.6	3.2	1.8	2.1	1.9	2.9	2.7	2.2	2.2	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	1.16	-0.48	4.3	0	5.2	3.7	2	0	0.7	3.7	3.3	0	2	2.7	3.5	1.7	2.5	1.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.79	-2.17	5.9	2.1	7.4	0	2.1	4.7	0.6	3.2	3.1	1.8	1.4	0	2.6	2.9	1.9	1.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.3	-1.92	5.7	2.9	7.2	2.8	2.6	3.8	0.3	3.9	3.3	1.9	1.6	1.1	2.8	3	2.2	2	0
