day	Anno	celltype	UMAP_1	UMAP_2	marker:Bmp4	marker:Fzd4	up:Hand1	up:Foxf1	up:Msx2	up:Msx1	up:Etv2	up:Fos	up:Prdm6	up:Cdx2	up:Hoxb2	up:Hoxd1	up:Isl1	up:Prrx2	up:Irf1	up:Zfp703	down:Sp5	down:Lhx1	down:Mesp1	down:Mesp2	down:Pou5f1	down:Gsc	down:Sox4	down:Mixl1	down:Otx2	down:Eomes	down:Zic5	down:Irx5
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	3.48	-2.51	0	0	2.7	0	0	1.7	2.7	0	0	0	0	0	1.7	0	0	0	1.7	4	4.7	2.7	3.6	1.7	2.3	2.7	2.7	3.7	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.22	-0.89	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4.2	3	5	3.4	3	3.4	3	4.7	2.4	3.4	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-1.05	-2.35	0	0	2.7	0	2.1	0	0	0	2.1	0	0	0	0	0	2.1	0	0	2.7	5.1	0	3.4	3.1	3.6	3.1	2.1	3.6	2.1	2.1
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.81	-0.37	0	0	3.4	3.5	1.7	1.7	2.7	0	0	0	0	0	1.7	1.7	0	0	2.7	3.4	5	0	3.6	1.7	3.4	2.7	1.7	3.5	1.7	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.54	-4.11	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	4	4	0	3.6	2.9	4	2.9	0	3.6	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	3.62	-0.62	0	0	0	0	0	0	4.2	0	0	0	0	0	0	0	0	0	0	0	2.5	0	3.5	0	0	3.2	0	2.5	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	5.07	-1.16	0	0	4	3.7	2.2	3.4	2.2	0	0	0	0	0	0	0	0	2.2	0	3.2	4.5	0	3.2	2.2	0	3.7	2.8	3.8	0	2.2
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.1	-3.54	0	0	0	0	0	2.6	2	2	0	0	0	0	0	0	0	0	2.6	3	4.3	0	3.8	2.6	2.6	3.5	0	3.5	0	2
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.45	4.08	0	0	2.1	0	0	0	0	0	0	0	2.1	2.1	0	0	0	0	3.1	2.7	5.1	2.7	4	0	3.1	4.3	0	3.6	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.13	-3.98	0	0	2.2	0	0	0	3.2	0	0	0	0	2.2	0	0	0	0	2.8	2.8	4	2.8	3.7	0	2.2	0	0	2.2	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.47	2.09	0	0	0	0	0	2.6	1.9	0	0	0	0	0	0	0	0	0	3.6	3.4	5	0	3.8	3.2	2.9	4.6	2.6	3.6	2.6	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.35	1.98	0	0	0	0	0	2.1	0	2.1	0	0	0	0	0	0	0	0	3.4	3.7	5	2.1	4.3	2.1	4	3.4	0	3.8	0	2.1
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.74	-1.21	0	0	0	0	2.7	2.1	0	0	0	0	0	0	0	0	0	0	3.1	3.6	4.9	3.3	4.3	2.1	3.3	4.2	2.1	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	1.31	2.94	0	0	3.1	4	3.1	3.6	0	0	0	0	0	0	2.1	0	0	0	0	2.1	4.7	0	3.8	2.1	2.7	3.8	0	4	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.77	3.25	0	0	2.9	2.9	2.3	3.6	2.3	0	0	0	0	0	0	0	2.9	0	2.3	0	4.5	2.3	4.1	2.3	3.3	2.3	2.3	3.6	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-1.7	0.85	0	0	0	1.5	1.5	3.1	1.5	0	1.5	0	0	0	0	0	0	0	3.2	3.7	4.9	2.4	4.2	2.7	2.7	3.8	1.5	3.1	2.1	1.5
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.66	-2.17	0	0	2.8	1.5	1.5	2.1	1.5	0	0	0	0	0	0	1.5	0	1.5	2.5	2.1	5	2.5	3.9	0	3	3.4	0	3	2.1	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.87	1.17	0	0	2.7	0	0	2.1	0	0	2.1	0	0	0	0	0	0	0	3.8	3.8	4.7	0	4.1	0	3.4	3.1	2.7	4	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	1.19	0.67	0	0	4.3	2.5	2.9	4.1	0	0	0	0	0	0	0	1.9	0	0	1.9	2.5	5.1	0	4.3	1.9	3.2	4.2	0	2.9	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.71	1.15	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	2.1	3.4	5	0	4.3	0	3.6	3.4	2.1	2.1	2.8	2.1
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.11	2.87	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	2.7	0	3.4	0	4.4	2.7	4.3	0	3.4	3.8	0	2.7	2.7	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.07	2.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	4.6	0	4.2	1.9	3.2	3.9	1.9	2.6	2.9	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.62	1.73	1.9	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2.5	4.7	3.2	4.3	2.5	3.4	4.1	1.9	3.7	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	1.96	-1.45	0	0	0	2.6	3.2	1.6	3.6	0	1.6	0	1.6	0	0	0	0	0	0	2.9	4.8	0	3.9	1.6	2.9	3.8	1.6	3.2	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.17	-3.45	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	3	4.4	2	3.8	3	3.3	3	2	2	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.79	0.31	0	0	0	1.9	0	0	1.9	0	0	0	0	0	0	0	0	0	2.6	2.6	5.1	2.6	4.2	3.2	3.8	4.1	2.9	3.6	1.9	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.18	2.39	0	0	3.5	2.4	1.8	2.8	1.8	0	1.8	0	0	0	0	0	0	0	3.1	2.4	5.4	1.8	4.4	1.8	3.1	4	0	3.3	1.8	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.51	-3.46	0	0	0	0	0	2	2.6	0	0	0	0	0	0	0	0	0	2	3.8	3.8	0	3.8	2.6	3.3	2.6	2.6	2	2.6	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	5.08	0.97	1.8	0	3.7	3.5	3.3	1.8	4.5	0	1.8	0	1.8	0	0	0	0	0	1.8	0	3.3	0	3.8	0	2.8	3.6	0	2.8	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-5.49	2.43	0	0	0	1.9	0	2.6	0	2.9	0	0	0	0	0	0	0	0	3.4	1.9	4	0	4.1	3.2	2.6	3.4	0	1.9	2.6	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.05	-1.86	0	0	3.8	0	0	3.6	0	0	0	0	0	0	0	0	2.1	0	2.7	3.4	5	2.1	3.6	0	3.6	3.8	2.1	3.4	2.7	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-5.27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	2	3.5	0	4.3	2.7	3.5	2	2	3	0	0
