day	Anno	celltype	UMAP_1	UMAP_2	marker:Tnnt2	marker:Myl4	marker:Myl7	up:Bcl11a	up:Nfib	up:Nfia	up:Mecom	up:Tox	up:Foxp2	up:Sox5	up:Npas3	up:Nr3c1	up:Gli3	down:Nr6a1	down:Arid3b	down:Gata4	down:Lin28b	down:Lef1	down:Mef2c
E9.5	E95_First_heart_field	First_heart_field	7.02	-0.6	0	3.5	4.4	0	4.2	3.5	0	0	3.5	4.4	3.5	0	0	0	3.9	5.4	3.9	3.9	4.4
E9.5	E95_First_heart_field	First_heart_field	-0.74	0.84	0	4.3	0	0	0	4.3	0	0	0	5.4	4.3	0	0	0	0	0	4.3	0	0
E9.5	E95_First_heart_field	First_heart_field	7.16	1.43	4.5	0	3.1	0	5	3.8	0	3.1	3.1	0	0	0	3.8	5	0	4.7	4.5	0	0
E9.5	E95_First_heart_field	First_heart_field	6.15	-0.98	4	5.1	0	0	0	0	0	0	0	0	0	0	0	4.7	0	4.4	0	0	4
E9.5	E95_First_heart_field	First_heart_field	-1.45	4.49	0	0	0	0	0	0	5.2	0	0	6.7	4.5	0	0	4.5	0	0	0	0	4.5
E9.5	E95_First_heart_field	First_heart_field	-0.78	-1.88	4.9	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9	0	0	0	4.2
E9.5	E95_First_heart_field	First_heart_field	6.47	1	3.9	0	0	0	3.9	0	4.3	0	0	0	3.3	0	0	3.9	0	5.7	3.3	0	0
E9.5	E95_First_heart_field	First_heart_field	0.53	-3.2	5	4.7	3.6	0	4.7	0	0	0	0	3.6	2.9	0	2.9	2.9	2.9	5.8	0	0	4.7
E9.5	E95_First_heart_field	First_heart_field	-2.98	-1.31	0	4.1	0	0	0	0	0	0	0	0	4.1	0	0	3.4	0	6.2	0	0	4.5
E9.5	E95_First_heart_field	First_heart_field	6.39	2.09	4.1	4.8	0	0	4.1	0	0	0	0	0	4.1	0	0	6.2	0	4.1	0	0	4.1
E9.5	E95_First_heart_field	First_heart_field	-3.67	3.73	0	0	4.3	0	0	0	6.7	0	3.6	4.7	3.6	0	4.7	5.3	0	3.6	3.6	3.6	0
E9.5	E95_First_heart_field	First_heart_field	6.14	0.56	4.2	4.2	0	0	4.2	4.2	0	0	0	0	0	0	0	5.2	4.2	0	0	0	4.8
E9.5	E95_First_heart_field	First_heart_field	4.61	1.01	4.3	0	0	0	0	4.3	0	0	0	0	0	0	0	0	0	4.3	0	0	4.3
E9.5	E95_First_heart_field	First_heart_field	3.65	-3.95	4.7	0	0	0	0	3.6	0	0	3.6	0	0	0	0	3.6	5.2	5.2	0	0	3.6
E9.5	E95_First_heart_field	First_heart_field	3	-2.46	5	3.8	5.3	0	0	4.4	3.8	0	3.1	0	0	3.8	0	0	3.1	4.7	0	4.4	4.2
E9.5	E95_First_heart_field	First_heart_field	-1.34	-2.33	0	0	0	0	0	4.5	0	0	0	0	0	0	0	4.5	4.5	0	0	0	5.6
E9.5	E95_First_heart_field	First_heart_field	-1.16	4.76	4.3	4.7	5.2	0	0	5	0	4.3	5	0	0	0	4.7	0	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-0.67	1.89	4.3	4.3	6.3	0	0	0	4.3	0	0	4.3	0	0	0	5	0	0	0	4.3	0
E9.5	E95_First_heart_field	First_heart_field	3.73	1.09	5.1	0	0	0	5.5	0	0	0	0	0	0	0	0	4.4	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-6.46	-2.13	0	2.9	0	0	4.5	5.5	0	0	4.3	2.9	4	0	4.8	4.3	0	5.4	4.5	0	5.3
E9.5	E95_First_heart_field	First_heart_field	2.83	1.34	5.5	5.9	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-6.44	-3.08	0	0	0	0	0	4.8	0	0	6.4	4.8	5.5	0	0	0	5.5	0	0	0	0
