day	Anno	celltype	UMAP_1	UMAP_2	marker:Lamb1	marker:Sparc	up:Hand1	up:Tfap2c	up:Myc	up:Gli3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.23	-0.37	2.9	5.1	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.98	-3.63	3.5	5.9	0	0	2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.27	-3.35	4.7	5.8	0	0	2.1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.41	-2.31	3.2	5	1.2	2.1	0.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.79	-2.63	3.7	6	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.97	-3.16	3.3	5.9	0	0	1.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.64	-1.18	2.9	4.9	0	0.9	0.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.44	-0.01	3.3	5.2	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.77	-1.52	3.5	5.2	0	0	1.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.19	-1.97	3.5	4.9	0	0.3	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.81	-3.43	4	6.1	0	1.1	1.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.45	-2.08	3.6	5.7	0.4	0.3	1.3	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	1.07	-0.62	3.1	5.1	0.4	0	2.2	0.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.98	-0.75	0	4.4	0	0.1	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.8	-0.19	2.8	4.7	0	0.6	1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.1	-2.15	2.7	5.5	0	0	0.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.42	-2.42	2.7	4.8	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.06	-0.63	3.2	5.1	1.1	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.15	-1.38	3.4	4.6	1.9	2	2.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.31	-3.08	3.6	5.6	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.78	-0.34	3.4	4.8	0	0.4	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.28	-2.34	3.5	6	0.3	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.08	-2.3	2.3	5.5	0	0.7	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.25	-0.08	3.6	4.9	1.2	0.6	1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.35	-1.21	4	5	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.14	-3.54	3.8	5.7	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.98	-2.44	3.3	5.7	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.89	-0.53	3.9	5	0.4	0.8	0.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.83	-1.25	3.7	4.7	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.5	-0.76	3.8	5.7	0.9	0.2	1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.03	0.32	3.2	5.5	0	0	0.2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.63	-2.53	4.1	6.5	1.4	0.6	0.1	0.6
E5.25	E525_Parietal_endoderm	Parietal_endoderm	1.63	3.19	6.1	7.1	0	1.6	1.6	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.66	-2.89	4.2	6.5	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.86	-3	3.3	5.6	2.4	0	2.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.61	-1.74	3.4	4.9	0.7	0	0	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	1.16	-0.48	0	3.8	2.8	1.9	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.79	-2.17	3.2	5.7	0	0.3	1.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.3	-1.92	3.4	5.2	1.3	1	0.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.82	-1.49	1.5	5.2	0.3	0.7	0.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.47	0.59	3.1	5.1	1.1	1.8	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.42	0.77	3.1	5.5	2	1.4	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.37	0.58	3.8	5.4	1.5	1.9	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.04	-1.09	3	4.9	1.5	1.4	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.44	-0.98	3.8	4	1.8	0	2.4	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	1.05	0.1	1.4	5.7	3.5	0.9	3.5	0
E4.5	E45_Hypoblast	Hypoblast	-1.95	1.94	5.4	6	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	2.83	3.18	5.8	6.4	0	0	2.1	0
E4.5	E45_Hypoblast	Hypoblast	-0.28	1.6	5.2	5.7	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	-1.04	2.09	5.4	6.5	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	2.71	3.18	5.6	6.1	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	-0.17	0.21	5.7	5.5	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	0.78	-1.2	4.6	5.9	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	1.92	2.68	5.8	6.5	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	2.74	1.79	5.1	6.3	0	0	1.8	0
E4.5	E45_Hypoblast	Hypoblast	-0.2	-0.35	5.6	5.8	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	3.06	-1.68	4	5.9	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	0.37	-3.84	5.5	6.1	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	-0.51	0	5.2	5.7	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	-0.81	0.81	5.3	5.8	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	1.55	1.92	5.2	6.1	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	1.54	1.14	5.6	5.4	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	-1.31	1.35	5.1	5.6	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	1.16	3.65	5.9	6.4	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	2.4	-0.11	5.4	5.6	0	0	1	0
E4.5	E45_Hypoblast	Hypoblast	-0.5	1.93	5.4	6.3	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	0.69	2.18	5.6	5.7	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	3.52	0.16	5.3	6.2	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	2.25	2.94	5.7	6.2	0	0	1.9	0
E4.5	E45_Hypoblast	Hypoblast	-2.8	-0.9	5.2	5.5	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	3.69	0.24	5.3	5.8	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	1.08	0.26	4.2	4.9	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	-0.41	-1.42	4.9	5.5	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	3.4	1.36	4.8	5.9	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	2.57	0.65	4.6	5.6	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	0.54	0.25	4.4	5.3	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	0.08	-0.35	5	5.8	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	1.71	0.49	5.3	5.5	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	1.11	1.19	5.3	6	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	-0.63	1.39	5.2	5.6	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	0.36	-0.43	3.5	5.6	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	2.79	0.83	5.2	5.8	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	1.04	2.91	5.3	6	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	-2	1.29	4.7	5.2	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	0.84	2.2	6.2	5.6	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	3.05	-0.28	4.8	5.9	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	3.17	1.19	5.6	5.8	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	1.82	2.26	5.6	5.9	0	0	0.7	0
E4.5	E45_Hypoblast	Hypoblast	1.63	-0.11	5	5.5	0	0	0	0
E4.5	E45_Hypoblast	Hypoblast	3.52	1.7	5.7	6	0	0	0.7	0
