day	Anno	celltype	UMAP_1	UMAP_2	Alx1	Bmp4	Dll1	Etv2	Foxc2	Foxf1	Fzd4	Gata4	Hand1	Hes7	Hoxa1	Hoxb1	Irx1	Irx5	Isl1	Meis2	Meox1	Msx1	Msx2	Mycn	Pax3	Tbx1	Tbx6	Tcf15	Tcf21
E7.5	E75_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-1.23	2.81	0	0	3	0	2.7	2.7	0	2	0	3.3	3	3.3	2.7	2	0	0	2	0	0	3	0	0	2	0	0
E7.5	E75_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-3.5	3.7	0	0	0	0	0	0	0	0	0	4	3.6	4	0	0	0	2.9	2.9	0	0	4	0	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	4.69	0	0	0	0	0	0	2	0	0	3.6	0	0	2	0	0	0	2	0	3.4	2	3.2	2	0	0	0	0
E7.5	E75_Paraxial_mesoderm_A	Paraxial_mesoderm_A	-3.08	-0.43	0	0	0	0	1.9	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	3.4	0	1.9	0	4.1	0
E7.5	E75_Paraxial_mesoderm_A	Paraxial_mesoderm_A	5.17	3.75	4.3	0	0	0	3.1	0	0	0	0	0	0	0	1.8	2.8	0	0	0	0	0	3.3	0	0	0	2.8	1.8
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	0.02	-2.89	0	0	0	0	0	2.4	0	0	4.2	3	3	0	0	0	3	3.4	0	0	3	3.4	0	0	2.4	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	6.14	0.53	2.3	0	0	0	0	0	0	0	0	0	0	0	2.3	0	3	0	0	0	2.3	3.4	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	0.39	2.29	0	0	0	2.2	0	2.2	0	0	0	0	0	0	0	0	0	2.9	0	0	0	2.2	0	0	0	0	0
E7.5	E75_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.4	2.22	4.5	0	2.2	0	3.2	0	0	0	0	0	0	0	2.2	2.2	0	0	0	0	0	3.7	0	0	0	2.2	0
E7.5	E75_Paraxial_mesoderm_A	Paraxial_mesoderm_A	5.14	3.34	4.1	0	0	0	2.9	0	0	0	0	0	0	0	1.9	1.9	0	0	0	1.9	1.9	2.9	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	3.23	-0.49	0	2	0	0	0	3.6	0	2	4.1	0	0	2	0	0	0	2.6	0	2	3.6	0	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-4.71	-0.9	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	2.2	0	0	2.8	0	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-3.98	2.33	0	0	0	0	3.2	0	0	0	0	0	1.7	3.6	0	1.7	0	2.7	0	1.7	0	2.9	0	0	2.9	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	2.18	-4	0	0	0	0	0	4.2	0	0	3.9	0	3.1	3.3	0	0	2.7	3.3	0	0	2.7	3.1	0	0	0	0	0
E7.5	E75_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-4.04	2.73	0	0	3.2	0	0	0	0	0	0	4.6	0	4.8	0	0	0	3.7	0	0	0	2.9	0	0	3.7	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	0.26	-4	0	2.4	0	0	0	3	0	0	4	0	0	2.4	0	1.8	2.7	2.7	0	3.4	1.8	2.4	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-3.5	1.76	0	0	2.1	2.1	0	0	0	0	0	0	0	3.8	0	0	0	0	0	0	0	2.8	0	0	2.1	0	0
E7.5	E75_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.12	3.73	0	0	2.2	0	3.7	0	0	0	0	0	0	2.2	0	2.8	0	2.8	0	0	0	2.2	0	0	2.2	2.2	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	2.54	1.87	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-6.4	-1.45	0	0	0	0	0	0	0	0	0	2.9	3.8	3.2	0	0	0	2.9	0	0	0	2.9	0	0	1.9	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	4.03	-1.16	0	1.7	1.7	0	0	2.3	0	0	2.6	0	0	1.7	0	0	2.3	2.6	0	2.3	2.3	3.3	0	0	1.7	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-3.05	0.93	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0	2.2	0	0	0	3.2	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-4.33	0.32	0	0	0	0	0	0	0	0	0	3.4	2.4	1.8	0	0	0	2.4	0	1.8	0	2.8	0	0	0	1.8	0
E7.5	E75_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.1	3.43	3.8	0	2.8	0	4.1	0	0	0	0	0	0	0	2.1	3.2	0	2.8	2.1	0	0	3.4	0	2.1	0	4.1	2.1
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-2.94	-1.85	0	0	0	0	0	0	0	0	0	2.3	3	3.4	0	0	1.7	2.3	0	2.7	2.3	3.2	0	0	1.7	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	3.51	1.73	0	0	0	0	0	2.1	0	2.1	2.7	0	0	0	2.1	0	0	0	0	2.1	0	2.7	0	0	2.1	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	5.81	0.11	0	0	0	0	0	2.1	0	2.1	4.1	0	0	0	2.1	0	0	0	0	3.2	3.4	3.4	0	2.1	0	0	2.1
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-3.3	2.47	0	0	2.3	0	0	2.3	0	2.3	0	3.4	2.3	3.7	0	0	2.3	3.9	0	2.3	0	4.1	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-2.62	1.5	0	0	3.1	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	3.1	0	0	2.4	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-3.81	-0.77	0	0	2.7	0	2.1	0	0	0	0	2.1	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-1.35	-0.24	0	0	0	0	0	2.1	0	2.1	0	0	0	2.7	0	2.1	2.1	2.1	0	2.7	3.4	3.1	0	0	0	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	4.27	1.09	0	0	0	0	3.6	0	0	0	2.1	0	2.1	3.4	2.1	0	2.1	2.1	0	0	0	3.7	0	0	0	0	2.1
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	3.96	1.55	0	0	0	0	3.5	0	0	0	0	0	0	3.5	0	0	0	2.6	3.3	0	0	4	0	2	0	2	2.6
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	5.97	0.63	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	2.4	4.1	0	2.4	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-6.83	0.88	0	0	2.5	0	0	0	0	0	0	2.5	3.1	4.2	0	0	0	0	0	0	0	3.8	0	0	2.5	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-0.75	0.56	0	0	0	1.9	0	0	0	0	1.9	0	0	1.9	0	1.9	0	0	0	0	2.5	3.1	0	0	2.5	1.9	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	1.32	0.88	0	0	0	0	3.3	2.9	0	0	0	0	0	2.9	0	0	0	2.9	0	0	0	0	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-2.18	-0.88	0	0	3	0	2.3	0	0	2.3	0	2.3	3	3	0	2.3	0	0	0	0	0	3	0	0	0	2.3	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	1.49	-3.91	0	1.8	0	0	1.8	3.6	0	1.8	3.8	0	0	3.2	0	0	2.4	1.8	0	3	2.8	2.8	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-1.84	-3.74	0	0	0	0	0	2.8	0	0	2.8	0	3.4	0	0	0	2.8	2.8	0	3.8	3.4	2.8	0	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	3.83	-1.28	0	2.5	0	0	0	1.9	0	1.9	3.3	0	0	1.9	1.9	0	1.9	0	0	1.9	2.5	2.8	0	0	1.9	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-7.27	-0.34	0	0	2.3	0	0	0	0	0	0	3.3	3.3	4.5	0	0	0	3.6	0	0	0	2.3	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-3.67	-1.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	2	0	0	2	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	2.82	-3.69	0	0	2	0	0	3.1	0	0	3.3	0	0	0	0	0	2	2	0	3.1	3.3	2.7	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	3.41	-0.58	1.8	1.8	0	3.1	0	3.1	0	1.8	3.7	0	1.8	2.8	0	1.8	3.7	0	0	0	1.8	4	0	0	0	1.8	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-2.17	-3.27	0	0	1.9	0	0	0	0	0	4	0	1.9	3.2	0	0	1.9	0	0	4.3	3.4	1.9	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-2.76	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	1.8	0	1.8	0	3.3	0	0	1.8	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-0.17	-5.06	0	0	2.3	2.3	0	0	0	0	4.6	0	0	0	0	0	0	2.3	0	2.9	2.9	2.9	0	0	2.3	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-7.17	0.53	0	0	3.3	0	0	0	0	0	0	2.9	3.6	4.6	0	0	0	3.3	2.3	2.3	0	2.3	0	0	2.3	0	0
