day	Anno	celltype	UMAP_1	UMAP_2	Atp1a2	Epha7	Itga11	Lamc3	Mkx	Nfia	Zfpm2	Zic1	Zic4
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-5.98	-4.33	0	0	0	0	0	0	4.6	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.61	-1.28	0	5.1	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.33	-2.65	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	0.02	-0.6	0	4.9	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.35	-1.59	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.63	-1.5	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.86	-4.04	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.74	-2.59	0	6.4	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.14	0.21	0	4.6	0	0	0	0	4.6	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2	-3.15	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.37	-1.45	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.72	-3.72	0	0	0	0	0	5.1	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.94	2.85	0	0	0	0	0	0	5.5	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.82	-3.54	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.4	3	0	5	0	0	0	5	5	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.51	-0.71	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.35	-4.78	0	0	0	0	0	0	5.4	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.45	0.04	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.88	-2.38	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.15	-6.32	0	0	0	0	0	5.9	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.82	-1.72	0	0	0	0	0	5.4	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.39	-2.01	0	4.9	0	0	0	4.9	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.46	1.01	0	0	0	0	4	0	4	0	4
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.64	0.53	0	0	0	3.5	0	3.5	4.2	0	3.5
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.86	-1.24	0	5.3	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.92	-1.91	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.35	-1.73	0	5	0	0	0	0	6	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	0.01	-2.7	0	4.4	0	0	0	0	4.4	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3	-1.06	0	5.7	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.85	-0.6	0	4.8	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.67	1.3	0	4.2	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.8	0.03	0	4.5	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.68	3.44	0	6.4	0	0	0	0	4.8	4.1	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.23	2.96	0	5.8	0	0	0	0	4.4	5.1	4.4
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	5.42	-2.27	0	4.5	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.86	-0.7	0	0	0	0	0	0	0	0	0
