day	Anno	celltype	UMAP_1	UMAP_2	marker:Isl1	marker:Tbx1	up:Nkx2-5	up:Nkx2-6	up:Jun	up:Tlx1	up:Maff	up:Mef2c	up:Arid3b	up:Tsc22d1	up:Etv5	up:Sox9	up:Xbp1	up:Irx2	up:Pax6	up:Hey2	down:Lyar	down:Foxf1	down:Mycn	down:Hoxb1	down:Hoxa1	down:Gata6	down:Osr1	down:Alx1	down:Hoxb2	down:Hoxa2	down:Twist1	down:Hoxd1	down:Meox1
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.18	-0.38	2.4	0	3.5	0	2.4	0	2.4	4.4	3.1	3.1	0	0	2.4	0	0	0	3.5	0	3.5	0	0	3.1	0	0	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	3.71	-0.41	3.3	2.9	0	0	2.9	0	0	2.2	2.2	4.1	0	0	2.9	0	0	0	3.3	4.3	4.1	2.2	0	2.2	2.2	2.9	3.3	0	2.2	0	2.2
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	2.38	1.52	0	0	0	0	0	0	0	0	0	2.2	0	0	2.9	0	0	0	4.1	3.2	0	2.2	0	3.7	0	0	3.5	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	5.99	0.31	2.5	2.5	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	4.3	0	2.5	0	0	2.5	0	3.1	3.1	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	3.9	-2.15	2.3	2.9	0	0	0	0	0	0	0	3.3	0	0	2.9	0	0	0	4	2.9	4.2	2.3	2.9	3.6	0	0	2.3	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-8.31	3.95	2.5	0	1.9	0	0	0	1.9	2.5	1.9	3.1	0	1.9	0	0	0	0	3.8	0	3.1	3.7	1.9	2.5	0	1.9	3.1	0	1.9	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.91	-3.65	4.2	1.5	3.1	0	2.5	0	2.1	2.8	0	3.7	0	0	2.8	0	0	1.5	4	0	1.5	0	0	1.5	0	0	1.5	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-6.54	5.23	0	0	3	0	0	0	0	3.3	2	3.8	0	0	2	2	0	0	3.9	0	2.6	3	2	0	0	0	2	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-5.51	4.9	2.2	0	2.2	0	2.2	0	0	3.4	0	4.1	0	0	2.2	0	0	0	4.5	2.8	2.2	2.2	2.2	2.8	3.4	0	0	0	0	2.8	2.2
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	3.15	-1.98	2.1	0	0	0	0	0	0	2.1	2.1	2.7	0	0	0	0	0	0	3.6	2.1	3.1	0	3.4	2.1	0	0	2.7	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	1.02	-2.32	2.3	2.3	2.3	0	3.3	0	0	0	0	3.3	0	2.3	0	0	0	0	4.8	0	0	2.9	0	0	0	0	2.3	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	4.28	1.66	0	0	0	0	0	0	0	0	0	2.3	0	0	0	2.3	0	0	3.8	3.6	4.3	0	0	0	2.3	3.3	2.9	2.3	2.3	2.3	0
