day	Anno	celltype	UMAP_1	UMAP_2	marker:Foxb1	marker:Pax6	marker:Crabp2	up:Hoxa1	up:Cenpa	up:Mis18bp1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.4	-3.55	2.8	2.1	3.1	0	2.1	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.86	2.11	0	0	4.6	3.4	3.6	2.1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.93	-0.52	0	0	3.3	3.8	3.3	2.2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.65	-2.98	0	0	2.8	2.8	3.6	2.4
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.97	-2.46	0	0	3.2	3.4	3.2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.65	3.46	0	2.6	5.1	3.6	3.7	2.6
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.24	1.48	0	0	5	4	2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.23	-1.09	2.4	0	3.6	0	3.1	2.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.4	-2.91	0	0	3	2	3.3	2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.18	0.71	0	0	4.5	4.2	2.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.56	3.5	3	2	5.1	4.2	3	2.6
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.78	-1.48	2.6	0	4	2	3.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.19	0.85	0	0	4.4	3.6	4.3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.38	-0.42	0	0	4.3	2.9	2.2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.29	3.53	1.8	1.8	4.6	3.1	3.3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	4.35	-0.83	0	0	4.2	3.7	2.5	1.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.26	-0.51	0	2	4.2	3	2.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.54	-2.02	0	2.1	4	4	3.1	2.1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.7	1.91	0	0	4.8	3.9	3.2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.47	-0.78	1.7	0	2.3	3.2	3.5	2.3
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.63	5.16	3	0	1.6	3	3.7	2.2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.76	1.52	0	0	4.8	3.7	3.9	2.4
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.47	-2.29	0	0	4.3	4.1	3.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.44	1.51	0	2.1	4.7	3.1	3.4	1.5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.34	2.86	0	0	4.8	3.2	4.3	2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.55	-0.86	0	0	3.9	3.1	3.5	1.7
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	4.43	0.04	0	0	4.1	3.7	4	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.43	-2.61	2	0	4.6	3.5	2	2.6
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.02	0.21	0	0	4.5	4.2	3.9	1.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.6	-2.2	0	0	4.2	4	2.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.12	-2.03	0	1.8	3	3.2	3.7	2.4
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.33	0.89	0	0	4.9	3.4	3.8	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.98	1.38	0	0	4.4	3	3.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.18	-1.44	0	0	4.6	0	2.7	2.1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.55	2.44	2	0	4.5	3.3	3.5	2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.95	-2.52	2	0	3	3.8	4.2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.36	3.34	2.6	2.6	4.3	4.5	3.5	2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.02	-1.83	0	0	3	3.2	3.2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.06	2.77	3.3	3.3	4.9	3	2.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.3	-2.61	1.4	0	3.5	2.6	3.6	2.3
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.62	-2.5	2	0	4	4	2.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.41	0.43	0	0	4	3.2	3.6	1.7
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.61	-2.14	0	0	3.3	3.3	4.1	2.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.66	3.92	2.7	1.7	5	3.7	3.9	2.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.92	1.88	0	0	4.8	3.2	2.8	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.1	-3.59	0	0	3.8	0	3.5	2
