day	Anno	celltype	UMAP_1	UMAP_2	Apela	Hesx1	Krt8	Tal2
E7.25	E725_Def_endoderm	Def_endoderm	-3.93	-0.98	0	0	3.6	0
E7.25	E725_Def_endoderm	Def_endoderm	2.91	1.07	0	0	2.8	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.79	0.1	1.8	0	4.4	0
E7.25	E725_Def_endoderm	Def_endoderm	3.71	2.39	0	0	2	0
E7.25	E725_Def_endoderm	Def_endoderm	1.02	-2.71	2.7	3.3	4.8	0
E7.25	E725_Def_endoderm	Def_endoderm	3.41	-2.1	2.1	0	4.3	0
E7.25	E725_Def_endoderm	Def_endoderm	2.03	1.69	0	0	3.3	0
E7.25	E725_Def_endoderm	Def_endoderm	3.43	2.58	0	0	2.1	0
E7.25	E725_Def_endoderm	Def_endoderm	0.92	-0.48	0	0	3.3	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.55	-0.82	3.3	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.01	-0.66	3.2	2.8	3.5	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.72	1.19	0	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.53	-1.28	0	0	4.4	0
E7.25	E725_Def_endoderm	Def_endoderm	0.68	-0.82	0	2	4	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.97	-1.3	0	0	2.3	0
E7.25	E725_Def_endoderm	Def_endoderm	0.57	-1.55	0	0	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	1.8	-0.45	0	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	0.21	-1.81	0	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	2.08	-2.04	0	0	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	2	0.1	2.8	0	2.2	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.62	-1.91	0	2.1	4.2	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.33	1.79	2.2	0	2.9	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.16	-0.08	0	0	2.8	0
E7.25	E725_Def_endoderm	Def_endoderm	4.38	-2.13	0	2.2	3.5	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.87	-2.26	0	0	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	3.15	3.03	0	0	2	0
E7.25	E725_Def_endoderm	Def_endoderm	3.41	-0.66	2.3	0	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.9	-1.13	2.2	0	4.3	0
E7.25	E725_Def_endoderm	Def_endoderm	3.87	2.91	2.4	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	-5.14	0.95	2.2	0	3.3	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.64	1.7	0	0	3	0
E7.25	E725_Def_endoderm	Def_endoderm	3.11	0.81	0	0	2.6	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.37	-2.93	0	3.4	4.3	0
E7.25	E725_Def_endoderm	Def_endoderm	-5.2	-0.49	2.8	0	4.4	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.6	-2.41	2.2	4.4	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.78	3.47	0	0	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.44	-0.91	0	0	3.3	0
E7.25	E725_Def_endoderm	Def_endoderm	2.12	-2.23	0	0	3.8	0
E7.25	E725_Def_endoderm	Def_endoderm	2.39	0.23	0	0	2.8	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.46	-3.41	2.4	2.4	3.4	0
E7.25	E725_Def_endoderm	Def_endoderm	-5.09	-1.07	2	0	3	0
E7.25	E725_Def_endoderm	Def_endoderm	1.21	2.77	0	0	3.2	0
E7.25	E725_Def_endoderm	Def_endoderm	4.56	-0.68	0	0	4.2	0
E7.25	E725_Def_endoderm	Def_endoderm	3.53	-2.38	0	4	4	0
E7.25	E725_Def_endoderm	Def_endoderm	1.3	-1.81	0	0	3.5	0
E7.25	E725_Def_endoderm	Def_endoderm	4.9	1.33	2.1	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	-5.03	-1.97	0	3	4.5	0
E7.25	E725_Def_endoderm	Def_endoderm	4.93	1.82	0	0	4.2	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.39	-2.41	0	3.4	4.3	0
E7.25	E725_Def_endoderm	Def_endoderm	-5.11	1.09	0	0	3.6	0
E7.25	E725_Def_endoderm	Def_endoderm	3.4	3.07	0	0	3	0
E7.25	E725_Def_endoderm	Def_endoderm	4.04	-2.14	0	0	3.5	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.65	-0.66	0	0	4.1	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.48	-1.35	0	0	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	-5.3	1.16	2.1	0	3.8	0
E7.25	E725_Def_endoderm	Def_endoderm	3.06	-0.3	0	0	4.6	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.87	0.11	0	1.7	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.96	-1.51	0	0	3.8	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.2	-0.94	0	0	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	4.05	-0.24	0	0	3.8	0
E7.25	E725_Def_endoderm	Def_endoderm	5.79	0.73	0	0	3.8	0
E7.25	E725_Def_endoderm	Def_endoderm	2.8	-1.18	0	2.4	2.4	0
E7.25	E725_Def_endoderm	Def_endoderm	1.65	-1.69	0	3.5	4	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.77	-3.36	0	4.5	4.6	0
E7.25	E725_Def_endoderm	Def_endoderm	0.92	-1.31	0	2.4	3.4	0
E7.25	E725_Def_endoderm	Def_endoderm	1.38	2.08	2	2.7	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.7	-0.89	0	2.7	3.3	0
E7.25	E725_Def_endoderm	Def_endoderm	2.87	-0.05	0	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.92	-3.09	2.4	4	4.6	0
E7.25	E725_Def_endoderm	Def_endoderm	4.93	1.41	0	3.2	3.2	0
E7.25	E725_Def_endoderm	Def_endoderm	5.42	0.22	0	0	3.5	0
E7.25	E725_Def_endoderm	Def_endoderm	3.4	-1.2	0	0	3.8	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.38	-2.45	0	2.2	3.5	0
E7.25	E725_Def_endoderm	Def_endoderm	3.47	0.54	2.8	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.5	3.66	2	3.4	3.4	0
E7.25	E725_Def_endoderm	Def_endoderm	4.85	1.34	0	0	4.6	0
E7.25	E725_Def_endoderm	Def_endoderm	4.92	-1.17	0	0	4.6	0
E7.25	E725_Def_endoderm	Def_endoderm	2.22	1.98	0	0	2.8	0
E7.25	E725_Def_endoderm	Def_endoderm	4.52	0.02	2.2	0	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.45	-2.88	0	4.6	4.3	0
E7.25	E725_Def_endoderm	Def_endoderm	0.45	-2.3	0	3	3.3	0
E7.25	E725_Def_endoderm	Def_endoderm	2.85	-1.73	0	0	3.6	0
E7.25	E725_Def_endoderm	Def_endoderm	0.43	1.48	0	2.5	2.5	0
E7.25	E725_Def_endoderm	Def_endoderm	2.07	0.79	0	0	2.1	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.28	-0.39	0	0	4.2	0
E7.25	E725_Def_endoderm	Def_endoderm	6.02	-0.2	0	0	4.4	0
E7.25	E725_Def_endoderm	Def_endoderm	3.33	0.33	0	0	3	0
E7.25	E725_Def_endoderm	Def_endoderm	4.97	-0.27	0	0	3.6	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.3	-3.15	0	3.7	4.1	0
E7.25	E725_Def_endoderm	Def_endoderm	5.22	-0.42	0	0	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	1.83	-2.7	2.2	2.2	3.3	0
E7.25	E725_Def_endoderm	Def_endoderm	3.2	-0.39	1.9	1.9	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.47	1.76	2.1	0	3.7	2.1
E7.25	E725_Def_endoderm	Def_endoderm	-3.76	2.6	2.1	0	2.1	0
E7.25	E725_Def_endoderm	Def_endoderm	-5.86	-0.35	0	0	3.1	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.6	-2.51	0	0	4	0
E7.25	E725_Def_endoderm	Def_endoderm	4.43	-2.1	0	0	3.8	0
E7.25	E725_Def_endoderm	Def_endoderm	3.72	0.37	0	0	2.6	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.71	-2.89	0	2.5	4.1	0
E7.25	E725_Def_endoderm	Def_endoderm	0.17	2.85	0	0	4.1	0
E7.25	E725_Def_endoderm	Def_endoderm	1.32	-1.74	0	2	2.7	0
