day	Anno	celltype	UMAP_1	UMAP_2	Abcb4	Bcl11a	Etv6	Hba-x	Hbb-bs	Kel	Myb	Nr3c1	Runx1	Slc4a1	Snca	Tspan8
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.55	1.55	0	0	0	7.6	0	0	0	0	0	5.5	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	2.19	-0.58	0	0	0	7.8	0	5.1	0	0	0	5.8	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.79	-0.18	0	0	0	6.8	0	0	0	0	0	5.6	5.6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.04	-1.88	0	0	0	6.2	4.8	0	0	0	0	4.8	5.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.29	-0.28	0	0	0	6.8	0	4.7	0	0	0	0	4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.59	0.49	0	0	0	7.9	0	0	0	0	0	5.9	4.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.17	0.75	0	0	0	7.4	0	4.3	0	0	0	4.9	5.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	4.6	-0.42	0	0	0	7.4	0	0	0	0	0	6	6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	0.38	-2.86	0	0	0	7.3	0	4.9	0	0	0	0	4.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.34	-1.16	0	0	0	4.9	0	5.9	0	0	0	5.9	5.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	1.98	2.16	0	0	0	8	0	0	0	0	0	6.2	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.19	-2.49	0	0	0	4.8	0	0	0	0	0	0	5.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.79	-1.82	0	0	0	7.2	0	6.4	0	0	0	6.2	4.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.67	-3.64	0	0	0	6.5	0	5.4	0	0	0	6.5	5.4	0
