day	Anno	celltype	UMAP_1	UMAP_2	E2f4	Hba-a1	Hba-x	Hbb-bh1	Klf1	Klf3	Thra	Ybx3
E7.5	E75_Blood_prog	Blood_prog	5.64	0.12	0	0	0	0	0	0	0	3.2
E7.5	E75_Blood_prog	Blood_prog	5.08	-2.37	0	0	0	4.3	0	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	5.92	-3.28	2.2	0	0	2.2	0	0	0	2.9
E7.5	E75_Blood_prog	Blood_prog	-4.1	-1.71	2.5	0	0	6.2	3.1	0	0	1.8
E7.5	E75_Blood_prog	Blood_prog	1.6	1.36	2.3	0	0	0	0	0	0	3.9
E7.5	E75_Blood_prog	Blood_prog	6.78	-2.04	2	0	0	0	0	0	0	2
E7.5	E75_Blood_prog	Blood_prog	0.09	-2.97	3.3	0	0	0	3.8	0	0	2.9
E7.5	E75_Blood_prog	Blood_prog	4.23	-0.47	0	0	0	0	0	0	0	2
E7.5	E75_Blood_prog	Blood_prog	3.64	1.09	2.6	0	0	0	0	0	0	3.2
E7.5	E75_Blood_prog	Blood_prog	6.41	0.07	2	0	0	0	0	2	0	0
E7.5	E75_Blood_prog	Blood_prog	5.77	2.34	0	0	0	0	0	0	0	3.2
E7.5	E75_Blood_prog	Blood_prog	-5	-3.04	3.1	1.7	0	5.4	1.7	0	0	2.7
E7.5	E75_Blood_prog	Blood_prog	2.08	2.89	2.2	0	0	3.5	0	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	3.97	0.04	2.6	0	0	3	2	0	0	0
E7.5	E75_Blood_prog	Blood_prog	5.74	3.35	0	2	0	0	0	0	0	2
E7.5	E75_Blood_prog	Blood_prog	-2.13	0	2	0	0	4	3	0	0	0
E7.5	E75_Blood_prog	Blood_prog	2.4	1.45	3.4	0	0	0	2.1	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	1.62	4.14	0	0	0	3.9	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	3.07	-2.24	3	0	0	2	0	0	0	2.6
E7.5	E75_Blood_prog	Blood_prog	4.72	2.57	3.3	0	0	2.3	2.3	0	0	3.3
E7.5	E75_Blood_prog	Blood_prog	-4.27	1.08	3.5	2.2	0	6.2	2.2	0	0	2.2
E7.5	E75_Blood_prog	Blood_prog	6.87	1.09	2.9	0	0	0	0	0	0	2.9
E7.5	E75_Blood_prog	Blood_prog	5.32	-2.91	3.5	0	0	4.1	0	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	6.08	0.71	2.8	0	0	1.8	0	0	0	1.8
E7.5	E75_Blood_prog	Blood_prog	-1.5	1.09	3.2	0	0	2	2	0	0	0
E7.5	E75_Blood_prog	Blood_prog	2.15	-1.78	1.9	0	0	0	1.9	0	1.9	2.9
E7.5	E75_Blood_prog	Blood_prog	2.49	-1.49	2.8	0	0	0	0	0	2.8	2.8
E7.5	E75_Blood_prog	Blood_prog	1.93	1.03	2	0	0	0	2	0	2	2.6
E7.5	E75_Blood_prog	Blood_prog	-0.65	1.18	2	0	0	3	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-4.85	-1.23	1.9	0	0	0	3.4	0	1.9	3.2
E7.5	E75_Blood_prog	Blood_prog	-4.43	-2.2	2.3	0	2.3	5.1	3.3	0	1.7	3.1
E7.5	E75_Blood_prog	Blood_prog	-2.77	-0.49	3.5	0	0	4.8	3.5	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	-3.9	-1.46	3.5	0	0	6.1	3.5	0	0	2.2
E7.5	E75_Blood_prog	Blood_prog	-2.88	-2.4	3.2	0	0	0	3.2	1.9	0	2.6
