day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hoxb9	up:Nkx1-2	up:Sox2	up:Nr6a1	up:Foxb1	up:Lyar	down:T	down:Tbx6	down:Mixl1	down:Snai1	down:Hes7	down:Hand1	down:Klf5	down:Mesp1	down:Msx2
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-3.79	2.46	2.5	2.5	2.5	0	2.5	0	0	0	4	3.5	2.5	0	0	0	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.32	1.8	3.4	2.4	0	2.4	3	0	3.4	0	4.1	4.4	0	2.4	0	2.4	0	3	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-3.97	-0.86	4.1	2.8	0	3.4	2.8	0	0	0	4.1	2.8	0	0	0	2.8	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	4.62	4.07	4.5	0	0	0	0	0	0	0	4.3	3.8	0	0	0	0	0	0	4.3	3.8
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.36	-1.2	3.7	2.4	0	2.4	3.5	2.4	0	0	4.5	2.4	0	0	2.4	2.4	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	3.35	-1.58	4.8	0	2.6	2.6	3.3	0	2.6	3.3	4.2	4.5	2.6	0	0	2.6	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	3.35	-2.8	3.7	2.2	0	2.2	2.8	2.2	2.8	0	4	3.5	2.2	2.2	0	3.9	2.2	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-0.08	4.8	3.9	0	3.2	3.2	2.5	2.5	2.5	0	3.9	3.9	2.5	0	0	2.5	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	0.47	5.81	3.3	0	0	0	0	2.3	0	0	3.6	4.2	0	0	0	2.9	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	5.72	4.21	2.7	0	0	4	0	0	2.7	0	3.8	4.3	2.7	0	0	3.8	2.7	0	0	4
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.35	0.56	3.8	0	1.8	2.7	2.7	0	2.4	1.8	3.9	3.8	0	0	1.8	3.2	0	1.8	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-0.17	2.2	4.1	2	2	2	2.6	0	2	2	4.5	2.6	3.3	0	0	3.5	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-3.38	-0.22	3.6	0	0	2.3	2.3	0	2.3	0	4.2	4.5	0	0	0	2.3	2.9	0	0	2.3
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	0.12	4.59	3.3	0	0	2.7	0	0	2.7	0	4.4	3.3	2.7	0	0	4.5	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	3.33	-0.18	3.6	0	0	3.3	0	0	2.3	3.6	3.3	4.6	3.6	0	2.3	2.3	0	3.3	2.3	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	5.19	3.33	4.6	0	0	3.9	0	0	2.4	0	3.7	3.9	2.4	2.4	0	3.7	0	2.4	0	3.1
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	0.74	-0.48	2.6	1.7	0	1.7	2.3	0	3.1	0	3.6	4.3	3.4	0	0	3.3	0	0	1.7	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-0.27	3.88	2.7	0	0	0	2.7	0	3.3	2.7	3.7	3.7	2.7	0	0	2.7	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	4.48	3.58	2.7	0	0	0	0	0	2.7	0	4.3	2.7	0	3.8	0	2.7	0	2.7	0	4.3
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	2.94	-0.94	4.1	0	2.9	2.2	3.3	0	2.2	2.2	4.1	4.2	2.9	0	0	3.9	0	0	2.2	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	1.53	3.33	3.9	0	2.3	2.3	2.3	0	2.3	2.3	4.6	4.4	3	3.4	0	3.4	0	0	2.3	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-0.42	5.41	3.4	0	2.1	0	2.1	0	2.1	3.6	3.8	3.4	2.8	0	2.1	3.4	0	0	2.8	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	0.05	4.88	0	0	0	2.5	2.5	0	0	3.2	4.1	3.6	2.5	2.5	0	3.2	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	4.27	3.32	2.9	0	0	3.3	2.2	0	2.2	0	3.3	5	0	2.9	0	3.3	0	0	2.2	2.9
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	1.82	0.18	2.9	0	0	2.9	4.2	0	2.9	0	3.5	4.2	0	0	2.9	0	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-3.72	1.07	0	2.4	0	0	2.4	0	2.4	2.4	4.5	3.7	0	0	0	2.4	0	0	2.4	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	5.32	2.88	3.6	0	0	0	0	2.1	2.1	0	4.8	3.1	0	2.1	0	0	0	0	3.3	2.1
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	0.82	5.21	4	0	0	3.6	0	0	3.6	0	4.3	4.3	3	3	3	3	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	2.17	1.43	4.5	0	0	3.1	0	0	0	3.1	4	3.1	0	0	0	2.5	0	3.1	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	1.59	1.58	4.2	0	0	0	0	0	2.4	0	4.6	3.7	0	3.4	0	4.1	2.4	2.4	2.4	2.4
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.54	0.07	3	0	0	3	3.9	0	3	3	4.6	4.3	0	0	0	2.3	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	1.5	-0.23	3.5	0	0	0	4	2.2	3.2	2.8	4.2	4	0	0	0	2.8	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	0.24	-0.67	3.1	2.9	2.9	3.1	3.1	0	2.5	1.9	4	2.9	0	0	0	2.5	0	1.9	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	1.02	-2.16	3.1	3.1	3.1	3.1	2.5	0	2.5	0	4.7	2.5	0	0	0	3.3	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	0.37	3.8	3.8	2.9	0	2.9	3.3	0	2.3	0	3.3	3.6	2.3	2.3	0	2.9	0	0	2.3	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	3.94	-1.51	4.9	2.1	3.4	2.8	2.8	2.1	0	2.8	4.2	4	2.1	0	0	2.1	2.1	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	2.22	1.14	4.4	2.8	0	2.1	0	0	2.1	0	4.2	3.6	0	0	0	3.1	0	0	0	0
E8.25	E825_Paraxial_mesoderm_C	Paraxial_mesoderm_C	4.57	4.19	4.3	0	0	2.9	3.3	0	2.9	2.3	4.1	4	2.3	2.3	2.3	0	0	0	0	3.3
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	1.28	-3.77	3.4	3.4	3.1	3.6	2.7	0	2.1	3.4	4.6	0	0	0	0	3.6	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-1.29	1.27	4.3	2.2	0	2.8	2.8	2.2	3.2	0	4.5	0	2.2	0	0	0	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-3.22	-4.02	4.1	2.8	4.5	2.8	2.8	0	3.9	3.9	4.5	0	0	0	0	0	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	4.31	-0.73	4.3	3.4	0	2.8	2.1	0	2.8	0	4.6	4	3.1	0	0	3.6	2.1	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	2.02	-1.64	4.9	3.9	3.3	2	2.7	0	2	2	4.5	2.7	2	0	0	3.3	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-1.04	1.28	4.4	2.9	2.2	2.2	3.2	0	0	2.2	4.2	2.9	0	0	0	0	0	2.2	0	2.2
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-2.98	-2.43	2.8	2.2	2.8	2.2	3.5	2.8	2.8	2.2	4.6	0	0	0	0	3.2	2.2	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-3.21	1.43	3.5	2.8	2.8	2.2	3.2	0	3.5	0	3.9	3.5	0	0	0	4.3	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-2.3	1	4	3.6	3	0	3.4	0	0	0	4.6	3.4	0	0	0	0	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	1.02	2	3.6	3.4	0	2.1	0	2.1	2.1	2.1	4.5	3.1	2.1	0	0	3.8	2.1	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	3.93	-2.09	4.2	3.6	1.8	3.1	1.8	2.4	0	2.4	4.7	2.8	0	0	0	2.8	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-0.44	-0.59	3.5	4.1	0	3.9	0	2.8	0	0	3.9	0	0	0	0	0	0	0	0	0
E8.25	E825_Paraxial_mesoderm_C	Paraxial_mesoderm_C	5.13	4.19	4.7	0	0	2.9	0	0	0	0	2.9	3.8	0	2.2	2.2	3.5	3.3	2.2	0	3.5
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	3.21	-3.44	3.6	3.1	3.9	2.4	1.8	2.4	1.8	2.8	4	1.8	0	0	0	1.8	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-2.81	-0.29	3.6	3.3	3.6	4	3.8	2.3	3.3	0	4.7	2.3	0	0	0	3.6	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-4.13	-2.7	2.1	0	3.6	3.6	2.1	0	3.8	0	4.5	0	0	0	0	0	0	0	0	0
E8.25	E825_Paraxial_mesoderm_C	Paraxial_mesoderm_C	4.15	3.45	4	3.3	0	0	2.7	0	0	0	2.7	2.7	0	0	2.7	4	0	2.7	0	3.7
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	2.17	-3.84	3	3.3	3	2.6	2.6	2.6	2.6	0	4.2	0	0	0	0	3.5	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	2.26	-3.29	4	0	3.1	3.4	2.8	0	3.6	2.1	3.8	0	2.1	0	0	3.4	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-3.08	-1.01	3.6	3	2.3	2.3	3.9	0	3.4	0	4.5	2.3	0	0	0	2.3	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-1.88	-1.45	0	3.1	2.5	0	2.5	0	3.1	2.5	4.2	2.5	0	0	0	2.5	0	2.5	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	3.09	-0.47	3.8	3.5	2.5	3.1	2.9	0	3.1	2.5	3.7	4	0	0	0	4.4	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	3.65	-1.89	3.7	3.5	2.2	0	3.5	0	0	3.2	4.5	3.9	0	0	0	4.2	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-1.27	2.47	2.9	2.9	0	3.3	2.9	0	2.2	0	4.1	2.2	2.2	0	0	3.5	0	0	2.9	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-1.83	1.14	4	4	0	0	2.6	0	0	2.6	4.4	3.3	0	0	0	0	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-2.85	-3.22	2.8	3.2	0	3.7	3.7	2.8	3.2	3.8	3.7	3.2	0	0	0	0	0	0	0	0
E8.25	E825_Paraxial_mesoderm_C	Paraxial_mesoderm_C	4.59	2.64	2.8	0	0	3.9	0	0	0	0	3.5	4.4	0	0	0	0	2.8	0	0	3.9
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	0.99	-3.76	2.5	4.5	3.6	3.6	3.6	3.2	0	0	4.1	3.6	0	0	0	0	0	2.5	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	2.43	-1.71	3.7	2.6	0	3	3.7	2	3.5	3	4.3	3	0	0	0	4.1	0	0	2	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-0.49	-3.05	4.2	3.4	3	3.7	0	0	0	3.7	4.4	0	0	0	0	3	0	0	0	0
