day	Anno	celltype	UMAP_1	UMAP_2	Alx1	Arid3b	Foxc2	Gata5	Irx1	Irx5	Mef2c	Myl4	Myl7	Nkx2-5	Pax3	Tbx1	Tcf15	Tnnt2	Tsc22d1
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	5.38	-0.01	2.2	2.2	2.2	0	2.2	0	2.2	0	0	0	0	0	0	0	2.8
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.42	-2.01	2.1	0	0	0	0	0	0	0	3.1	0	0	0	0	0	2.1
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.05	0.64	0	1.6	0	0	0	0	2.9	1.6	3.5	1.6	0	0	0	0	3.4
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	1.61	0.29	0	0	2	0	0	3	0	0	3.8	0	0	0	2	0	3.3
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.1	2.22	2.8	0	0	0	0	2.8	0	0	4.2	0	0	0	2.8	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.57	3.84	4.1	1.5	1.5	0	0	2.5	0	0	4.3	0	1.5	0	2.5	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.22	-1.13	0	0	0	0	0	0	1.9	0	3.4	0	0	0	0	0	2.6
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.76	0.39	0	0	0	2.3	0	2.3	0	0	4.1	2.3	0	0	2.3	0	3.3
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	-3.7	1.15	3.4	1.4	0	0	1.4	0	0	0	4.8	0	0	0	1.4	0	2.6
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.39	-0.97	0	0	3.1	0	0	0	0	0	3.8	0	0	2.1	2.1	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.82	1.38	0	1.8	2.2	1	0	2.5	2	0	4.7	0	0	1.5	0	0	1.8
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.98	1.63	2.1	0	0	0	0	3.1	0	0	4	0	0	2.1	3.3	0	2.1
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-5.23	-2.65	0	0	0	0	0	0	0	0	4.1	0	0	0	0	0	3.9
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	0.89	2.2	0	3.1	0	0	0	3.4	0	0	3.7	0	0	0	0	0	3.9
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.57	-3.32	0	0	0	2.1	0	0	2.1	0	5.4	3.1	0	0	0	0	2.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.32	1.7	2.4	0	0	1.5	2.4	1.5	0	0	4	0	0	0	2.9	0	2.7
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	-4.87	1.55	3.1	0	1.4	0	2.3	2.6	0	0	2.3	0	0	0	2.8	0	2.6
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.54	0.65	0	0	0	0	0	0	2.6	0	3.7	3	0	0	0	0	3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.94	0.43	0	0	0	0	0	0	3	0	4.1	0	0	0	0	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	0.28	2.12	0	2.2	2.2	0	2.2	3.2	0	0	4.4	0	0	2.2	2.2	0	2.2
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.19	4.44	3.1	2.4	0	0	2.4	0	0	0	4.7	0	0	0	2.4	0	2.4
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.65	-0.5	0	0	0	0	2	3.3	0	0	3.7	0	0	2	3.8	0	2
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.84	-0.85	0	2.1	2.7	0	0	3.6	0	0	3.1	0	2.1	0	3.8	0	3.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	0.91	3.74	4.6	0	2.8	0	0	0	0	0	2.2	0	0	0	3.9	0	2.2
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	0.1	3.81	3.9	2.2	2.2	0	0	3.2	0	0	2.2	0	0	2.2	2.2	0	2.9
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.78	1.75	2.4	0	0	0	0	0	2.4	0	3.4	2.4	0	2.4	0	0	4.3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.34	-0.05	0	3.3	0	2.3	0	0	0	0	4.6	4	0	0	0	0	2.9
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-5.3	-2.53	0	1.7	0	3.2	0	0	3.8	2.7	4.7	1.7	0	0	0	0	3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-6.26	-2.21	0	0	0	3	0	0	4	3.7	5.4	0	0	0	0	4	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.2	-0.55	0	0	0	0	0	0	0	0	4.2	3.3	0	0	0	0	3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.71	-1.21	0	2.7	0	3.6	0	0	3.8	2.7	4.4	4.5	0	0	0	0	3.1
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	1.83	-1.17	0	0	0	0	2.8	2.8	0	0	0	0	0	0	3.5	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.18	-0.3	2.1	2.1	0	0	0	2.1	2.1	0	3.8	2.1	0	0	0	2.1	2.1
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.16	1.28	0	0	0	0	2.4	2.8	2.8	0	3	0	0	0	0	0	3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.24	-1.89	2.1	0	0	0	2.1	2.1	2.1	0	2.7	0	0	2.7	0	0	2.7
