day	Anno	celltype	UMAP_1	UMAP_2	down:Klf6	down:Pitx2	down:Creb3l1	down:Tsc22d1	down:Peg3	down:Snai2	down:Prdm6	down:Tcf4	down:Tead1	down:Zfp711	down:Gata6	down:Hmg20b	down:Zfhx3	down:Purb	down:Tbx20	down:Epas1	down:Pbx1	down:Creb3	down:Myrf	down:Foxp1	down:Mbnl2	down:L3mbtl3	down:Tead4	down:Hlx	down:Dpf3	down:Tcf7l1	down:Gata5	down:Ets1	down:Zeb1	down:Cxxc4	down:Creb3l2	down:Zfp9
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-1.43	-1.2	0	0	0	2.4	3.4	0	3	0	0	0	0	2.4	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-0.75	0.44	2.7	2.7	0	0	4.4	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	2.1	0	0	0	0
E7.5	E75_ExE_mesoderm	ExE_mesoderm	-2.43	1.63	2.8	0	0	2.2	2.8	0	2.2	0	0	2.2	0	2.8	0	0	0	0	0	0	0	2.2	0	0	2.2	0	0	0	0	2.2	0	0	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-7.01	0.39	2	3.5	2.6	0	3.3	0	0	0	2	2.6	2	2.6	0	2.6	0	0	2	0	0	0	2	0	0	0	2	0	0	0	2.6	0	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-4.59	-2.25	2.6	2	0	3.2	2	0	2	2	2	0	0	3	0	0	0	2	2	0	0	3	0	0	0	0	0	2	2	0	0	0	0	0
E7.5	E75_ExE_mesoderm	ExE_mesoderm	0.38	3.88	2.2	0	0	3.2	2.2	0	0	0	2.2	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-5.79	-0.23	3.2	3.2	0	3.2	0	0	3.2	2.6	0	2.6	3.6	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	3.38	-0.81	2.6	0	0	0	3.4	0	1.9	0	0	0	3.2	0	0	2.9	0	0	2.6	1.9	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-4.66	-2.5	0	0	0	3.5	2.9	0	2.9	0	0	0	2.9	0	0	0	0	0	2.9	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_ExE_mesoderm	ExE_mesoderm	1.49	-1.32	0	0	0	2.1	3.1	0	0	2.1	0	0	2.1	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	1.79	-1.4	2.3	0	0	2.9	0	0	2.3	2.3	0	0	0	0	0	2.9	2.3	0	0	0	0	0	2.3	2.3	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-5.62	-0.87	3.5	2.7	2.7	4	3.7	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	1.76	-3.37	2	0	0	3.3	2.6	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-4.3	0.11	2.6	1.9	0	1.9	2.9	0	2.6	2.9	0	1.9	0	2.6	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_ExE_mesoderm	ExE_mesoderm	3.56	3.23	0	0	0	0	2.7	0	2.1	2.1	2.1	0	2.7	0	0	0	2.1	0	0	0	0	2.1	0	0	0	0	0	0	0	2.7	0	0	0	0
E7.5	E75_ExE_mesoderm	ExE_mesoderm	0.87	2.85	2.7	0	0	3.3	3.5	0	2	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0
E7.5	E75_ExE_mesoderm	ExE_mesoderm	0.93	4.04	0	0	0	2.8	3.1	0	2.8	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	4.53	1.47	1.5	0	0	2.5	2.8	0	2.1	0	0	0	2.1	2.8	0	1.5	0	0	3	0	0	2.1	0	1.5	0	0	1.5	0	0	0	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	3.85	3.22	0	0	0	3.3	3.3	0	0	1.8	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-2.83	2.31	2.3	0	0	2.9	3.3	0	2.3	0	2.3	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	3.74	-5.8	0	0	0	2.7	2.7	0	0	0	0	0	3	1.8	0	0	0	0	0	0	0	2.4	1.8	0	1.8	0	0	2.4	0	0	0	0	1.8	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	3.24	-1.69	0	0	0	2.9	1.9	0	0	0	1.9	0	0	1.9	0	0	1.9	0	2.5	0	0	0	0	1.9	0	0	0	1.9	0	0	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	3.46	-1.43	2	0	0	3.9	2.6	0	0	2	3	0	2	2.6	0	0	0	0	3.2	0	0	0	0	0	0	0	2.6	3	0	0	0	0	0	0
E7.5	E75_ExE_mesoderm	ExE_mesoderm	-2.8	3.03	0	0	0	0	3.9	0	0	0	2.2	0	2.2	0	0	0	0	0	0	2.2	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-2.68	1.5	3.2	0	2.2	3.5	3.2	0	2.2	0	2.2	0	2.2	0	0	2.2	2.2	0	2.2	2.2	0	2.2	0	0	0	0	0	2.2	0	0	0	0	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	1.51	-4.18	2.3	0	0	3.6	3	0	0	0	0	0	0	3.4	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	2.3	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-2.48	0.85	2.9	0	0	2.9	3.8	0	2.3	2.9	0	0	0	2.3	0	0	0	0	0	2.3	0	0	0	2.3	2.3	2.3	0	0	0	0	0	0	0	2.3
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-3.17	-2.83	2.1	0	0	2.8	2.8	2.8	0	0	0	0	3.2	2.1	0	0	0	2.1	2.8	0	2.1	0	0	2.1	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-5.7	-0.46	2.7	0	0	0	2.7	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0
E7.5	E75_ExE_mesoderm	ExE_mesoderm	1.57	-1.26	3.1	0	0	3.1	0	0	2.4	0	0	0	0	3.1	2.4	0	0	2.4	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	4.41	0.85	1.7	0	0	2.6	3.4	0	2.3	1.7	0	0	1.7	2.3	0	1.7	0	0	1.7	0	0	1.7	0	0	0	0	0	0	0	0	0	0	1.7	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-0.31	-0.82	3	0	0	2.6	3.3	0	0	3	2	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0
E7.5	E75_ExE_mesoderm	ExE_mesoderm	3.08	-2.05	0	2.4	1.8	3	3.6	0	2.4	0	0	0	0	0	1.8	1.8	0	0	1.8	0	0	0	1.8	0	0	0	1.8	1.8	1.8	0	0	0	0	0
E7.5	E75_ExE_mesoderm	ExE_mesoderm	0.82	-1.41	2.4	0	2.4	3	2.4	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-5.27	-1.57	2.2	0	0	2.8	3.5	2.2	0	0	0	2.2	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	3.73	-2.12	2.1	0	0	2.1	2.1	0	2.1	2.1	0	0	2.7	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	1.37	-3.56	2.8	0	0	3.4	2.1	0	2.1	2.8	0	0	2.1	0	0	0	2.8	0	2.1	0	0	0	0	0	0	0	0	2.1	2.1	0	0	0	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-1.21	2.43	2.1	0	0	2.7	2.7	0	0	0	0	2.1	2.1	0	0	0	2.1	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Somatic_mesoderm	Somatic_mesoderm	-4.35	0.02	3.6	2.9	0	2.9	1.9	0	2.9	1.9	0	0	1.9	1.9	1.9	1.9	1.9	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	4.14	-3.39	2.7	0	0	3.4	2.1	0	0	0	2.1	0	2.1	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
