day	Anno	celltype	UMAP_1	UMAP_2	marker:Apela	marker:Krt8	up:Hesx1	up:Tal2	down:Pou5f1	down:Eomes	down:Lhx1	down:Sp5
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.63	-2.01	0	4.2	0	0	3.6	1.8	0	2.4
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.55	-2.44	0	4.8	2.6	0	0	2	3.5	3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.27	2.87	3	4.1	0	0	4.3	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.76	1.42	0	5.3	0	0	2.3	0	2.9	2.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	2.03	4.88	0	4.4	0	0	4.3	0	0	4.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.27	0.29	0	4.9	0	0	3	0	3.2	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.59	2.04	0	4.9	0	0	2.4	0	0	0
E7.5	E75_Gut	Gut	-2.26	-1.51	2.9	5.1	0	0	3.7	0	0	3.4
E7.5	E75_Definitive_endoderm	Definitive_endoderm	1.08	5.78	2.2	2.8	0	0	4.6	3.9	0	3.5
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	1.05	-2.87	2.1	3.6	2.1	0	3.8	0	2.7	2.1
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-6.25	0.17	2.1	4	3.4	2.1	0	0	0	2.1
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.57	4.16	0	5.2	0	0	4	0	0	4.6
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	-0.84	-4.3	0	4.5	4.3	0	3.1	2.1	2.1	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.86	-0.51	3.6	4	0	0	2.5	1.9	0	3.9
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.65	2.92	3.5	4.6	0	1.8	3.3	0	0	0
E7.5	E75_Gut	Gut	-4.82	-2.31	2.1	4.2	0	0	0	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.52	2.24	1.8	3	2.4	0	3.7	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	2.65	5.42	0	2.4	0	0	4.1	2.4	0	4
E7.5	E75_Gut	Gut	-0.83	1.73	2.1	5.7	2.7	0	0	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-5.89	-0.72	3.5	4.8	0	0	2.8	0	0	3.6
E7.5	E75_Gut	Gut	-2.73	-3.48	4	4.2	0	0	1.9	0	0	1.9
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.41	-3.52	3.5	5	0	0	2.7	0	0	2.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.24	0.06	0	4.3	0	0	3	0	3.4	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-2.33	-3.31	0	4.7	3.8	0	1.9	1.9	1.9	2.9
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-6.01	-0.12	3.5	4.7	0	0	2.7	0	0	3.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.05	-3.39	2.3	4.2	2.3	0	3.4	2.3	0	3.6
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	0.05	-2.15	0	4.2	0	0	2.4	0	2.4	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	1.39	0.12	0	3.9	0	0	3.3	0	3.6	0
E7.5	E75_Gut	Gut	-0.11	1.47	0	5	2.9	2.9	0	0	3.6	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-2.78	-3.14	4.3	4.9	0	0	2.3	0	0	3.6
E7.5	E75_Gut	Gut	-2.32	-3.45	3.5	4.8	2.8	0	0	0	0	0
E7.5	E75_Gut	Gut	-4.52	0.49	0	2.3	0	0	3.7	2.3	3.5	0
E7.5	E75_Gut	Gut	-2.52	-2.33	3.9	4.9	3.7	0	0	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	1.13	3.73	0	4.4	0	0	2.3	0	4	3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.73	-3.42	0	3.6	2.9	0	2.9	0	2.3	2.9
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.31	5.76	2.9	2.6	0	0	4.8	0	0	2
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	1.08	2.46	0	3.3	0	0	3.7	2.1	3.7	4.6
E7.5	E75_Gut	Gut	-2.1	-3.52	3.5	4.4	2.4	0	3.5	0	0	2.4
E7.5	E75_Gut	Gut	-2.6	-4.19	3	4.3	2.3	0	3	0	0	3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-6.13	-0.19	0	4.1	0	0	1.9	1.9	1.9	3.6
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.01	-3.93	3.4	3.9	4.1	0	1.7	1.7	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.89	-2.72	2.6	5.2	0	0	4	0	0	2.6
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	2.56	2.56	0	3.4	0	0	4.3	0	2.5	2.9
E7.5	E75_Gut	Gut	-2.8	-2.46	4.5	5.5	3.2	2.2	2.2	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	2.29	6.11	4.7	2.2	0	0	4.9	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	1.81	6.15	3.4	2.3	0	0	4.6	0	0	3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.39	-3.34	0	4	2.3	0	2.3	3.6	2.3	3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	2.32	3.87	2.6	4.4	0	0	4.6	3.3	0	3.5
E7.5	E75_Definitive_endoderm	Definitive_endoderm	2.89	4.03	4.4	3	0	0	5.2	2	0	3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-5.06	-1.52	3.8	5	0	0	2.4	0	0	2.6
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.38	-4.4	0	4.8	4	0	0	2.3	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	1.97	4.89	4	2.3	0	0	4.9	2.9	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.29	-2.13	3.1	4.7	0	0	0	0	0	2.4
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.26	-3.52	4.1	5.1	0	0	2.6	1.9	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	2.09	-2.56	2.2	2.2	0	0	4.1	0	2.8	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.86	2.16	0	2.8	0	0	3.9	1.8	3	0
E7.5	E75_Gut	Gut	-1.74	-2.71	0	4.9	4.2	0	0	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	1.96	4.93	0	4	0	0	3.3	2.3	0	3.6
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	2.19	-0.55	1.8	2.7	0	0	4.5	2.8	3.2	3.2
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.01	-3.29	4.2	4.9	0	0	0	0	0	4.1
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.36	4.54	0	3.5	0	0	4.5	0	3.5	3.8
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.03	2.48	0	5.2	0	0	2.1	0	0	4.5
E7.5	E75_Gut	Gut	-2.86	-1.89	3.3	4.7	4.2	0	0	0	0	0
E7.5	E75_Gut	Gut	-2.67	-3.76	1.4	4.5	0	0	3.4	1.4	0	3.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.39	5.21	2.5	3.5	0	0	4	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.05	1.82	3.2	3	1.7	0	4.2	0	0	1.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.04	3.19	1.8	0	0	0	4.3	1.8	2.8	2.5
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.08	-3.47	4.5	4.1	0	0	0	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-2.7	0.75	0	3.4	0	0	4.5	3	1.8	1.8
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.68	5.56	0	2.6	3	0	3.8	2	0	2.6
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.99	0.99	0	0	2.9	0	0	0	2.9	3.6
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.37	0.95	0	4.6	0	0	0	0	3.6	0
E7.5	E75_Gut	Gut	-3.23	-3.39	3.7	5	0	2	3.9	2	0	3.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.44	0.23	3.6	3.5	0	0	2.6	0	0	3.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.52	-2.5	0	3.2	2.1	0	4.3	0	0	2.8
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.55	-2.16	2.8	4.2	4.4	0	2.2	2.2	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.42	-2.7	4.4	4.9	0	0	2.8	0	0	2.2
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.7	-1.36	0	4.5	1.9	0	2.5	0	2.5	1.9
