day	Anno	celltype	UMAP_1	UMAP_2	marker:Runx1	marker:Hapln1	marker:Fli1	up:Hoxb2	up:Gata1	up:Gfi1b	up:Lyl1	up:Hoxb4	up:Runx1	up:Ascl2	up:Hoxb5	up:Emx2	up:Bcl11b	up:Hoxb6	down:Etv2	down:Pou5f1	down:Hes1	down:Msx1	down:E2f4
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-4.99	1.2	0	3.4	0	2.3	3	3.4	0	3	0	2.3	3	0	3	0	0	0	0	0	2.3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5.46	2.03	3.1	2.4	0	0	3.8	0	2.4	2.4	3.1	2.4	0	0	0	0	0	0	0	2.4	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-0.69	1.32	0	2.5	3.1	0	0	0	0	0	0	2.5	0	0	0	0	3.5	2.5	2.5	2.5	2.5
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5.21	-0.6	2.5	4.1	3.2	3.6	0	2.5	2.5	2.5	2.5	0	2.5	2.5	0	2.5	3.2	0	0	0	2.5
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	2.32	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	3.2	0	0	3.2
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5.13	0.61	0	3.6	0	0	2.1	0	3.4	0	0	0	2.1	0	0	0	2.1	0	3.8	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-1.74	-0.09	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	3.6	2.6	3.6	0	3.2
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	2.51	0.1	2.6	0	0	0	0	0	0	0	2.6	0	0	0	0	0	5.3	3.3	0	0	3.3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	2.71	-3.47	0	0	2.1	0	0	0	2.1	0	0	0	0	0	0	0	3.9	4.5	2.7	0	3.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5.52	1.62	4.3	0	3	0	3.9	0	0	0	4.3	0	0	0	0	0	0	0	0	0	2.3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	1.74	1.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	2.9	0	3.5
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5.17	-0.19	0	0	0	3.6	0	3	0	0	0	0	0	0	0	0	3	0	0	0	4
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-0.51	1.37	0	0	2.7	2.7	0	0	0	0	0	0	0	0	0	0	4.7	3.3	3.3	2.7	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-4.91	2.91	2.2	0	0	0	3.3	2.9	0	0	2.2	2.2	0	0	0	0	0	0	0	0	3.3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	1.91	3.19	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	3.9	2.6	2.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5.39	1.8	2.9	2.2	0	0	3.3	2.2	0	0	2.9	3.3	0	0	0	0	2.2	2.2	0	0	2.2
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-0.15	0.29	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	5	3.2	2.6	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-0.29	-0.65	2.9	0	0	0	0	0	0	0	2.9	0	0	0	0	0	2.9	0	4.2	2.9	3.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.64	2.13	3.6	3	0	0	0	0	0	0	3.6	0	0	0	0	0	0	0	0	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.27	1.18	3.3	2.3	0	0	2.9	3.3	0	0	3.3	0	0	0	0	0	2.3	0	0	0	2.3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	1.2	-1.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7	3.6	3.3	0	4.3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	3.13	-0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2	0	2.5	2.5	3.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-4.47	-0.55	2.6	4.1	3.2	3.9	0	0	0	0	2.6	2.6	2.6	0	0	0	3.6	0	0	0	2.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-1.64	1.75	0	2.4	0	3	0	0	0	0	0	0	0	0	0	0	3.7	0	3	0	2.4
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-1.67	2.47	0	0	3.6	2.3	0	0	0	0	0	0	0	0	0	0	3.8	2.3	2.3	0	2.3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.03	1.51	3	0	0	0	0	0	0	0	3	0	3	0	0	0	0	2.3	0	0	3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	0.77	-1.41	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	4.4	2.6	3.6	0	3.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-0.78	0.73	0	0	2.8	0	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.9	3.1	0	3.7	0	3.7	3	0	0	3	0	0	0	0	0	0	0	0	0	0	3
