day	Anno	celltype	UMAP_1	UMAP_2	marker:Rorb	marker:Trpm3	marker:Epha6	up:Tox	up:Casz1	up:Vsx2	up:Mecom	up:Pou2f2	up:Meis1	up:Dach1	up:Zbtb16	up:Myb	up:Plagl1	up:Zfpm2	up:Npas3	up:Rax	up:Baz2b	up:Zfhx4	up:Zfp532	up:Tbx3	up:Zeb2	down:Mitf	down:Sox5	down:Pax2	down:Sox6	down:Pbx3	down:Otx2	down:Prdm16	down:Meis2	down:Nr2f2
E10.5	E105_Retinal_primordium	Retinal_primordium	6.71	2.25	0	6.4	0	0	0	0	0	0	6.7	6.6	0	0	0	0	4.8	0	0	0	0	0	0	5.5	0	0	0	0	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-1.7	2.27	0	5.9	4.2	4.8	0	0	4.8	5.2	6.1	5.2	4.8	0	0	0	5.2	4.2	0	0	0	0	5.8	0	0	0	0	4.2	0	0	4.8	4.8
E10.5	E105_Retinal_primordium	Retinal_primordium	3.84	0.58	0	6.5	0	0	0	0	0	0	6.1	5.9	0	0	0	0	0	0	0	0	0	0	4	5.1	0	4.7	4	6.2	4	0	5.6	0
E10.5	E105_Retinal_primordium	Retinal_primordium	0.96	-3.39	5.6	0	0	0	0	0	0	0	4.5	4.5	5.2	0	4.5	0	0	0	4.5	0	0	0	4.5	4.5	0	5.9	0	0	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	5.89	1	4.2	6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9	0	0	0	0	0	0	0	4.9	0	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-4.31	2.45	0	5.4	5.8	4.7	0	0	5.1	0	0	5.4	5.1	0	5.1	0	5.6	0	4	0	0	4	0	0	4.7	0	0	0	0	0	4	0
E10.5	E105_Retinal_primordium	Retinal_primordium	2.35	-1.52	4.4	4.4	0	0	0	0	4.4	0	4.4	5.1	0	0	0	4.4	5.5	0	5.1	0	0	0	0	4.4	6.2	5.5	4.4	5.1	4.4	0	6.8	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-1.33	-0.31	0	0	5.1	5.1	0	0	0	6	5.8	5.8	5.1	0	0	0	5.1	0	0	0	0	4.4	6.6	0	0	0	0	5.5	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	0.92	1.72	0	0	0	5.9	0	0	7.2	0	5.9	4.3	0	0	0	0	0	0	6.1	4.3	0	0	0	0	0	0	0	5.4	0	4.3	4.3	0
E10.5	E105_Retinal_primordium	Retinal_primordium	5.03	2.91	0	6.6	4.6	0	0	0	0	0	0	3.9	0	0	0	0	3.9	0	0	3.9	0	0	3.9	5	3.9	3.9	6.3	5	5.3	4.6	5	3.9
E10.5	E105_Retinal_primordium	Retinal_primordium	2.96	2.88	0	6.7	0	0	0	0	0	0	5.5	6.9	4.1	0	0	0	4.8	0	0	0	0	0	0	4.8	4.1	0	4.1	4.1	4.1	0	5.2	0
E10.5	E105_Retinal_primordium	Retinal_primordium	2.45	-2.25	0	5.5	0	0	0	0	0	0	5.5	0	0	0	3.9	0	0	0	0	0	0	0	0	4.6	5.7	6	4.6	5.7	0	0	6.5	0
E10.5	E105_Retinal_primordium	Retinal_primordium	5.1	1.17	0	7.4	0	0	0	0	0	0	0	5.4	0	0	0	0	0	0	5.4	0	0	0	0	5.8	4.7	0	4.7	6.1	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	6.04	3.91	0	6.9	0	0	0	0	0	0	5.5	4.4	0	0	0	0	4.4	0	0	0	0	0	5.5	5.1	0	0	6	5.8	0	4.4	0	4.4
E10.5	E105_Retinal_primordium	Retinal_primordium	-2.7	-1.54	4.5	5.9	6.5	0	0	4.5	5.6	0	6.3	5.2	5.2	0	0	0	0	0	5.2	0	4.5	0	0	0	5.6	0	0	0	0	0	6.1	0
E10.5	E105_Retinal_primordium	Retinal_primordium	2.76	-0.32	0	6.8	0	0	0	0	0	0	5.9	6.6	4.5	0	0	0	0	0	5.2	0	0	0	5.2	5.2	0	0	5.2	0	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	2.02	2.21	4.1	6.5	4.8	0	0	0	0	0	0	6	4.8	0	0	0	4.1	4.8	4.8	0	0	0	4.8	4.1	0	0	0	4.8	0	0	4.8	0
E10.5	E105_Retinal_primordium	Retinal_primordium	0.17	-0.95	0	5.2	0	0	0	3.4	0	4.5	5.9	6	4.1	0	0	0	5.3	0	5.2	0	0	0	4.1	0	0	4.1	4.5	4.8	4.1	4.1	5.2	3.4
E10.5	E105_Retinal_primordium	Retinal_primordium	-0.9	1.77	4.3	6.2	0	5.2	4.3	3.7	0	0	5.6	6.7	5	0	0	3.7	3.7	0	5.4	0	0	0	0	0	0	3.7	3.7	0	4.3	0	4.7	0
E10.5	E105_Retinal_primordium	Retinal_primordium	2.15	-3.59	4.1	5.5	0	4.1	0	0	0	5.2	0	0	0	0	4.1	0	5.2	0	4.1	0	4.1	0	0	0	6.4	5.5	0	5.5	0	0	6.1	0
E10.5	E105_Retinal_primordium	Retinal_primordium	5.68	3.23	4.8	6.6	4.8	0	0	0	0	0	4.1	4.8	5.2	0	0	0	4.1	0	5.2	0	0	0	4.8	5.8	0	0	5.4	0	5.2	5.4	5.4	0
E10.5	E105_Retinal_primordium	Retinal_primordium	2.86	-2.2	0	0	0	0	0	0	0	0	5.1	4	4	0	0	0	4.7	0	0	0	4.7	0	5.6	5.1	5.4	5.1	0	5.6	0	4.7	5.1	5.1
E10.5	E105_Retinal_primordium	Retinal_primordium	3.55	-3.94	0	0	0	0	4.5	0	0	0	5.4	4.5	0	0	0	0	6.2	0	4.9	0	3.8	0	3.8	4.5	4.5	3.8	3.8	4.9	0	0	4.9	4.9
E10.5	E105_Retinal_primordium	Retinal_primordium	2.31	-2.91	0	0	0	0	0	0	5.3	0	4.2	0	0	0	0	0	5.8	0	4.2	0	0	0	0	0	6	5.3	4.9	4.9	0	0	4.2	4.2
E10.5	E105_Retinal_primordium	Retinal_primordium	-0.73	-3.05	4.8	4.4	0	0	4.8	3.7	4.8	0	0	6	0	0	3.7	3.7	3.7	0	5.5	4.4	4.4	0	4.8	4.4	4.4	5.8	0	5.5	0	0	4.4	0
E10.5	E105_Retinal_primordium	Retinal_primordium	0.67	-0.53	0	6.3	0	0	0	0	0	0	4.5	6.3	0	0	0	0	0	0	5.9	4.5	0	0	0	0	5.9	4.5	0	5.2	0	0	4.5	0
E10.5	E105_Retinal_primordium	Retinal_primordium	5.19	0.9	0	7.1	0	0	0	0	0	0	5.3	6.1	0	0	0	0	3.9	0	5	0	0	0	0	5.8	5.3	0	5.3	6	3.9	5.3	6	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-0.73	-3.57	5.3	4.9	0	4.2	0	0	4.6	0	4.6	5.7	0	0	4.2	3.5	5.6	0	6	3.5	0	0	0	0	5.7	5.3	5.3	4.9	0	0	4.6	0
E10.5	E105_Retinal_primordium	Retinal_primordium	6.2	3	4.7	7.4	0	0	0	0	0	0	4.7	0	0	0	0	0	4.7	0	0	0	0	0	0	5.4	0	0	5.4	4.7	4.7	0	4.7	0
E10.5	E105_Retinal_primordium	Retinal_primordium	1.82	-2.15	4.1	4.8	0	4.1	0	0	4.8	0	4.1	4.8	0	0	0	4.1	5.7	0	0	0	0	0	4.1	0	5.5	5.9	4.1	4.1	0	0	5.2	0
E10.5	E105_Retinal_primordium	Retinal_primordium	4.05	-2.32	0	6.5	0	0	0	0	0	0	4.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5.5	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-2.81	0.97	0	4.3	6	4.7	3.6	4.7	5.8	0	3.6	5.2	3.6	3.6	0	3.6	5.2	0	4.7	3.6	3.6	0	5.7	0	4.7	0	0	0	0	0	4.7	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-5.38	0.84	6.3	0	5.1	6	0	0	0	0	0	6	5.1	0	0	0	5.5	0	0	0	4.4	0	0	0	0	0	0	0	5.1	0	4.4	0
E10.5	E105_Retinal_primordium	Retinal_primordium	4.2	2.57	0	6.6	5.5	0	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	0	0	5.5	0	0	4.8	5.5	5.5	0	0	5.5
