day	Anno	celltype	UMAP_1	UMAP_2	marker:Sim1	marker:Pax2	marker:Mecom	up:Dach1	up:Prdm16	up:Grhl2	up:Hnf1b	up:Tfap2a	down:Tshz2	down:Zeb2	down:Zeb1	down:Meis1	down:Ebf1	down:Nr2f2	down:Osr1	down:Meis2	down:Pknox2	down:Hoxa3	down:Zfhx4	down:Hoxc4	down:Tshz1	down:Foxp2	down:Zfp516	down:Zbtb16	down:Foxn3	down:Bnc2	down:Pbx1	down:Hoxa5	down:9430076C15Rik	down:Wt1	down:Hoxc5	down:Rora	down:Hoxc6
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-2.5	3.12	0	5.5	4.6	4.8	0	0	0	0	4.3	4.3	0	4.3	0	3.2	0	5	3.2	3.2	3.2	3.2	3.2	3.2	0	3.2	0	0	3.2	0	0	0	0	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-2.88	2.72	0	5.6	4.8	5.5	2.9	0	0	0	6.1	0	0	4	0	3.6	2.9	4.8	0	0	2.9	0	2.9	0	0	4	2.9	0	4.5	0	0	0	2.9	3.6	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-3.46	0.77	0	5.4	5.1	0	0	0	0	0	4.3	5.1	3.6	5.1	4	3	3	5.8	0	0	4.5	0	0	0	0	4	3	0	5.3	0	0	0	0	4	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	0.3	-1.82	0	5.3	2.4	4	0	0	0	0	5.9	4.1	4	5	5.4	5	2.4	6	3.5	3.1	3.5	4.5	3.1	2.4	2.4	4.3	3.1	0	5.8	2.4	0	4	0	5	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-0.09	0.9	3.5	6.4	0	4.2	0	0	0	0	4.4	0	0	5.3	0	2.8	0	5.6	0	0	4.4	0	0	2.8	3.9	0	3.5	0	6.6	2.8	0	0	2.8	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	0.7	2.31	0	5.5	5.1	3.7	0	0	0	0	3.7	3.7	0	5.5	0	3.7	3.7	6.2	0	3.7	0	0	4.4	0	0	3.7	3.7	3.7	3.7	0	0	0	0	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-4.47	3.26	3.2	5.5	4.3	4.7	0	0	0	2.6	5.7	2.6	0	2.6	2.6	0	0	3.2	0	0	3.2	2.6	3.2	0	2.6	3.2	2.6	0	4.3	0	0	0	0	3.6	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	3.66	-0.89	2.9	2.9	2.9	4.7	0	0	0	0	6.1	4.3	0	4	5.3	2.9	3.6	6.4	3.6	0	3.6	2.9	4	0	3.6	0	0	0	5.7	2.9	0	0	0	5.1	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	4.71	2.29	2.8	4.9	0	4.1	0	0	0	0	4.6	4.3	3.4	5.1	4.1	4.1	0	5.6	3.8	0	2.8	2.8	0	0	0	0	2.8	0	5.3	0	0	0	0	3.4	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	6.57	1.01	0	0	0	3.8	0	0	0	0	4.1	2.8	3.4	4.9	2.8	2.8	2.8	6	3.8	4.1	4.8	0	3.8	2.8	0	3.8	4.3	0	5.1	0	0	0	0	2.8	0
