day	Anno	celltype	UMAP_1	UMAP_2	Bach2	Cpa2	Dach1	Dll1	Fgf10	Hes7	Hoxa1	Hoxb1	Lmx1b	Mecom	Meis2	Meox1	Msx1	Pax2	Pax8	Prrx1	Sim1	Tbx6	Tshz2	Wnt5a
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	6.45	1.16	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	5.94	3.09	4.4	0	4.4	4.4	0	0	0	0	0	0	5.1	0	0	0	0	0	0	0	0	0
E9.5	E95_Intermediate_mesoderm	Intermediate_mesoderm	-4.17	3.5	0	0	6	0	0	0	0	0	0	0	5.6	0	0	4.9	0	0	0	0	4.9	4.9
E9.5	E95_Intermediate_mesoderm	Intermediate_mesoderm	-1.53	3.3	0	0	5.8	0	0	0	0	0	0	0	5.4	5.4	0	0	4.7	0	0	0	6.1	0
E9.5	E95_Intermediate_mesoderm	Intermediate_mesoderm	-3.46	2.62	0	0	6.1	0	0	0	0	0	0	0	6.8	0	0	5.7	6.1	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-1.13	-6.38	5.8	0	5.5	0	5	0	0	0	5	6.9	6.6	0	3.9	0	0	3.9	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	1.61	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-4.3	-2.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-4.44	-3.23	0	0	0	0	0	0	0	0	0	5.1	0	0	0	0	0	0	0	0	5.8	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-4.75	-4.25	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6.1	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	3.45	3.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-4.29	-2.91	0	0	0	0	0	0	0	0	0	6	5.3	0	0	0	0	5.3	0	0	6	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.15	-1.84	5.5	0	0	0	0	0	0	0	0	0	5.5	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-4.22	-4.57	4.8	0	4.8	0	0	0	0	0	4.8	6.7	0	0	0	0	0	4.8	0	0	5.8	0
