day	Anno	celltype	UMAP_1	UMAP_2	marker:Tcf21	marker:Isl1	marker:Gata4	up:Mycn	up:Hmga2	up:Id2	up:Meis1	up:Mef2c	up:Foxc2	up:Irx1	up:Zic3	up:Irx5	up:Tcf15	up:Meis2	up:Twist1	up:Hmgb1	up:Irx3	up:Foxp1	up:Tbx1	up:Tgif1	up:Gata5	up:Osr1	up:Alx1	up:Sox4	up:Prrx2	up:Prrx1	up:Id3	up:Foxc1	up:Otx2	up:Meox1	up:Gata6	up:Pbx1	up:Id1	up:Rarb	down:Lyar	down:Hand1	down:Mixl1	down:Msx1	down:Evx1	down:Msx2	down:T	down:Cdx2	down:Tbx3	down:Prdm6	down:Cdx1	down:Myc	down:Cdx4	down:Foxf1
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.48	2.44	0	0	0	2.2	2.8	2.8	0	0	0	0	0	0	0	2.2	0	5.6	0	0	0	0	0	0	0	3.2	0	0	4.3	0	0	0	2.2	2.2	4	0	4.4	3.9	0	2.2	0	2.2	0	3.5	0	0	2.2	3.9	2.8	4.1
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-5.04	-4.91	2.1	0	0	3.6	3.1	0	2.1	0	2.1	2.1	0	2.7	4.3	2.1	0	6	3.1	0	2.1	0	0	0	2.1	3.3	3.1	0	4.6	0	2.1	2.7	3.1	2.1	2.1	0	4.2	0	0	0	0	0	0	0	0	0	0	0	0	2.7
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	5.41	-0.19	0	0	2.1	2.1	3.6	2.7	0	0	0	0	0	0	0	2.1	0	5.7	0	0	0	0	0	0	0	0	0	0	5.1	0	0	0	2.1	0	2.1	0	4.3	4.6	0	3.9	0	3.4	0	3.1	2.1	2.1	0	2.7	0	3.4
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	4.46	-2.61	0	0	0	2.8	0	3.2	0	0	0	0	0	0	0	0	0	5.6	0	0	0	0	0	0	0	0	2.2	0	3.8	0	0	0	0	0	2.8	0	3.2	4	0	3.2	0	2.8	0	2.2	0	2.2	0	2.2	0	2.2
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.52	-2.81	2.1	3.2	3.2	0	4	2.8	3.2	4.1	0	0	2.8	0	0	2.8	2.1	5.8	0	0	0	2.8	0	0	0	2.1	0	0	5.1	0	0	0	0	0	4.5	0	3.7	3.4	0	0	0	2.1	0	0	0	0	0	2.8	0	2.8
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-2.48	1.4	0	1.4	2	2.8	3.3	2	0	0	2.4	0	0	0	1.4	0	2	5.7	2	1.4	0	2.6	0	0	0	3.3	0	0	4.3	0	0	0	1.4	0	2	0	4.6	2.4	0	2.6	2.6	3	2.6	0	1.4	1.4	0	1.4	0	2
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	4.49	-1.26	0	0	1.8	2.4	0	2.4	0	0	0	0	0	0	0	1.8	0	5.8	0	0	0	0	0	0	0	1.8	0	0	3.6	0	0	0	1.8	0	0	0	3.9	3.3	0	2.4	0	1.8	0	2.4	0	2.4	0	2.4	0	4.1
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-3.78	5.2	0	1.9	0	2.5	2.5	2.9	0	0	0	0	0	0	0	2.5	0	6	0	2.5	0	0	0	2.5	0	2.9	0	0	4.4	0	0	0	0	0	3.8	0	3.8	4.1	1.9	2.9	2.5	1.9	4.7	2.5	1.9	1.9	0	0	1.9	2.9
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-5.25	-4.14	2.6	2	0	3	2.6	2.6	2.6	0	3.3	2	2	2	2	3	3	5.8	2.6	3.5	0	0	0	0	0	0	0	0	4.6	2	0	0	0	0	3	0	3.7	0	0	0	0	2	2	0	0	0	0	0	0	2.6
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.98	-1.97	2.5	2.5	2.5	2.9	3.8	3.6	0	3.4	1.9	2.5	0	0	3.2	0	0	5.6	0	0	0	2.5	3.4	1.9	0	1.9	0	0	5.4	0	0	0	3.4	2.9	3.8	0	4.1	3.4	0	1.9	0	1.9	0	0	0	1.9	0	0	0	2.5
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.15	-3.26	0	0	2	3.7	4	3	0	0	0	0	0	0	0	2	0	5.9	0	2	0	2	3	0	0	0	0	0	4.8	0	0	0	2.6	2	2.6	0	4.3	3	0	2.6	0	3.5	0	0	0	2.6	0	2	0	3.5
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-1.57	3.9	0	3.1	0	2.8	2.8	2.8	0	0	0	0	2.1	0	0	0	0	6	0	0	0	2.1	0	0	0	3.1	0	0	3.8	0	0	0	0	0	3.4	0	3.4	3.8	3.8	0	0	2.1	2.8	2.1	0	0	0	2.1	3.1	2.8
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	6.19	-0.83	0	0	0	3.2	0	3.2	0	0	0	0	0	0	0	0	0	5.9	0	0	0	3.2	0	0	0	2.5	0	0	3.9	0	0	0	2.5	0	3.2	0	3.2	4.9	0	2.5	0	3.9	0	0	0	2.5	0	0	0	4.1
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-1.79	-0.95	0	0	2.2	3.9	3.9	0	0	0	0	0	0	0	0	0	0	5.8	0	0	0	3.5	0	0	0	0	0	0	5	0	0	0	0	0	3.3	0	3.8	3.3	0	3.8	2.2	3.9	0	0	0	2.2	0	2.2	0	3.8
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.16	2.77	0	2.4	0	1.8	3.1	3.3	0	0	0	0	0	0	0	0	0	5.8	0	0	0	0	0	0	0	2.4	2.4	0	4.4	0	0	0	0	0	3.4	0	4.5	3.6	1.8	3.6	0	2.4	1.8	4.2	0	1.8	1.8	2.4	0	3.9
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.54	-1.84	0	2	2	3.1	3.5	0	0	0	0	0	0	0	0	2	0	6	0	0	0	3.3	0	0	2	2	2	0	3.9	0	0	0	0	0	0	2	4.3	3.3	0	0	0	2.7	0	0	0	2	2	2	0	3.3
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.29	-4.61	0	0	0	2.5	2.5	4.3	0	3.2	0	0	2.5	0	0	0	0	5.5	0	2.5	0	0	2.5	0	0	0	0	0	4.6	0	0	0	3.6	0	3.2	0	3.6	3.2	0	0	0	0	0	0	0	0	0	0	0	2.5
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	5.04	-1.19	3.1	0	2.4	3.5	2.4	0	0	0	0	0	0	0	0	2.4	0	6	0	0	0	3.1	0	0	0	2.4	0	0	3.8	0	0	0	3.5	2.4	2.4	0	3.8	4.2	0	3.5	0	4	0	4.3	2.4	0	0	0	0	3.8
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.71	0.34	0	0	0	0	3.6	4.1	0	0	0	0	0	0	0	2.2	0	5.6	0	0	0	0	0	0	0	0	0	0	5.1	0	0	0	2.2	0	2.9	0	4.2	5	0	3.9	0	4.2	0	2.2	0	2.9	0	2.9	0	3.9
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	6.6	-0.55	0	0	0	0	2.3	0	0	0	0	0	0	0	0	2.9	0	5.7	0	0	0	0	0	0	0	0	0	0	3.6	0	0	0	0	0	2.3	0	3.6	5	0	3.6	2.3	3.6	0	3.3	0	0	0	0	0	2.3
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.38	-3.71	2.8	2.8	2.8	3.8	3.1	4.6	0	3.1	0	0	0	0	0	2.1	0	5.7	2.1	2.1	2.1	0	3.1	0	0	0	3.1	0	5.2	0	0	0	2.1	0	4.2	0	4	0	0	3.1	0	3.4	0	0	0	0	0	0	0	2.1
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-3.87	-0.39	0	0	3	3.5	3.7	2	0	0	0	0	0	0	0	2	0	5.7	0	0	0	3	0	0	0	2	0	0	5	0	0	0	2	2	3.9	0	4.1	4.9	0	3.3	0	3	0	0	2	0	0	2	0	3.5
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	-2.29	4.37	0	2.3	0	3	0	2.3	0	0	0	0	0	0	0	2.3	2.3	5.9	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	2.3	0	4.1	4.1	2.3	2.3	2.3	3.4	3.4	3.9	0	0	0	0	3.4	3.4
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.37	-3.12	0	0	0	2.3	3	1.7	0	1.7	0	0	0	0	0	1.7	0	5.7	0	0	0	2.3	0	0	0	3.4	1.7	0	4.5	0	0	0	1.7	2.7	3	0	4.6	4.7	0	3.2	0	3.6	0	0	0	2.3	0	1.7	0	3
E7.5	E75_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.22	2.77	0	0	0	3.5	3.5	3.5	0	0	0	0	0	0	0	0	0	5.7	0	0	0	2	0	2	0	3.5	2	2	4.7	0	0	0	2	0	3.5	0	4.3	3.8	0	3.5	2	0	3	3.8	2	0	0	2	3.7	3.8
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.27	-4.98	0	2	2	3.5	3.5	2.7	3.3	0	0	0	2	0	0	3.3	0	5.8	2	2	3.3	3	0	2.7	3.5	3.9	0	2	2.7	0	0	0	2.7	3	3.3	0	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.73	-1.11	0	0	0	0	2.9	3.5	0	0	0	0	0	0	0	0	0	5.9	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	2.2	2.9	0	3.5	4.4	0	2.2	0	2.9	0	0	0	2.2	0	2.9	0	3.9
E7.5	E75_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.2	-2.47	0	0	1.6	2.8	3	1.6	0	0	0	0	0	0	0	1.6	0	5.4	0	0	0	2.5	0	0	0	2.1	0	0	4.2	0	0	0	0	2.1	3	0	4.3	3.6	0	2.5	0	3	1.6	0	0	2.5	0	2.5	0	3
