day	Anno	celltype	UMAP_1	UMAP_2	Atf3	Cdh5	Cebpd	Elk3	Kdr	Klf7	Pecam1	Xbp1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.4	-1.82	0	0	0	2.3	2.3	0	0	2.3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.18	-2.95	2	0	0	0	2	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.86	0.84	0	0	0	0	2	2	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.33	3.62	0	0	0	0	2.6	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.1	2.04	0	0	0	0	4	0	2.1	2.8
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	0.57	1.07	0	2.2	0	0	2.9	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-6.41	1.31	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.22	3.75	0	0	0	1.9	2.9	0	0	1.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.39	-1.07	0	0	0	0	1.8	0	1.8	1.8
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.06	-2.8	0	2.1	0	0	2.8	2.1	2.1	2.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.14	3.24	0	0	0	0	2.6	0	2.6	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.38	2.38	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.92	3.08	2.5	0	0	0	1.9	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.59	3.32	0	0	0	0	2.3	0	0	2.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.29	-4.43	0	2.1	0	2.7	2.7	2.1	2.1	3.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.15	1.71	0	0	0	0	0	0	0	0
