day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hoxc8	up:Hoxb9	up:Hoxa7	up:Hoxc6	up:Msx1	up:Hoxa9	up:Hoxc4	up:Sox4	up:Etv4	up:Hoxc9	up:Evx1	up:Hoxb6	up:Hoxb8	up:Hes7	up:Zfp503	up:Hoxa3	up:Tbx6	down:Hoxa1	down:Zic3	down:Meis2	down:Jund	down:Pbx2	down:Tshz1
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.81	0.83	3.5	0	3.9	0	0	2.2	0	3.2	0	2.8	2.2	0	0	0	0	2.8	0	0	2.8	0	4.3	2.2	2.2	3.2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.53	1.63	0	0	3.4	0	2.4	0	0	0	0	0	3.4	3	0	0	0	3	0	0	0	0	2.4	0	2.4	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.64	3.02	2.1	0	0	0	0	0	0	0	0	2.7	3.1	3.1	0	0	0	0	0	0	0	0	4.6	2.7	2.7	2.1	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.43	3.2	3.1	2.7	0	0	3.1	2.1	0	3.8	0	2.1	2.1	2.7	0	2.7	0	4	2.1	0	0	0	3.8	0	2.1	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.09	-3.44	4	2.3	0	0	3.3	0	0	3	0	0	3.3	3.6	0	0	0	4	3	0	2.3	0	3	0	2.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.29	1.85	2.2	2.2	3.6	0	0	0	0	3.3	0	0	2.2	0	0	0	2.2	2.9	0	2.2	0	0	4.3	2.2	2.2	2.2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.8	3.12	2.1	2.1	2.1	0	2.1	2.1	0	2.1	0	0	2.8	2.8	0	0	2.1	3.7	2.1	0	0	0	4	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.22	0.71	3.8	2.3	3.3	2.9	3.6	3.3	0	3.3	0	2.9	2.3	0	0	0	0	4	0	0	2.9	0	3.3	2.3	2.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.2	-0.78	3	0	3.6	0	3.6	0	0	0	0	0	3	3.6	3	3	3	3.6	0	0	3	0	3.6	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0	1.18	2	2.6	0	2	2.6	0	0	3	2	2	2	3.7	2	2	2	2.6	2	0	2.6	0	3.3	0	0	2.6	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.44	4.47	2.3	2.3	2.3	0	2.3	0	0	0	0	0	3.6	2.3	0	0	0	3.3	0	0	0	0	4.6	0	0	0	0	2.3
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.52	0.77	2.1	2.1	0	0	0	0	0	0	0	0	2.8	2.8	0	0	0	3.4	0	2.1	2.1	0	4	2.8	0	3.2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.69	-1.98	2.2	3.7	0	2.9	3.7	0	0	3.2	0	2.2	3.5	3.5	0	2.2	2.9	3.2	2.9	0	0	0	3.5	0	0	2.2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.24	-3.83	0	0	2.5	0	3.2	2.5	0	0	0	0	2.5	3.6	0	0	0	3.2	0	2.5	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.29	-0.2	3.8	3.3	3.3	3.6	3.3	0	2.3	2.9	0	0	2.9	2.9	0	2.3	0	3.3	0	0	0	0	2.9	0	0	2.3	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.5	-2.93	2.3	0	3	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	2.3	2.3	0	3.9	2.3	3.7	2.3	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.45	0.97	0	2.1	3.6	0	2.1	0	0	2.8	0	2.1	3.1	0	0	0	2.8	2.8	0	0	0	0	4.6	0	0	2.1	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-5.07	1.68	0	0	4.4	0	0	0	0	0	0	0	2.8	0	0	0	0	0	0	0	0	0	4.1	2.2	2.8	2.8	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.59	-3.69	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	0	2.3	0	3.6	0	2.9	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.2	-2.67	2.2	0	2.2	0	0	0	0	0	0	2.2	2.8	2.2	0	0	2.2	3.2	2.2	0	0	0	3.9	0	2.2	2.8	2.2	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.37	2.71	3.8	3.5	0	0	2	0	0	2.6	0	2	3.7	3	0	0	0	3.7	3	0	0	2	2.6	2.6	0	2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.43	2.55	0	0	2.6	0	0	0	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	4.3	0	0	3.2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.1	1.57	3.5	2.2	2.8	2.2	3.5	2.2	2.2	2.2	0	0	4.1	3.9	0	0	0	2.8	2.2	2.2	0	0	3.7	2.2	0	2.8	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.37	1.19	3.4	3.2	3.4	0	2.8	0	2.1	2.1	0	2.1	2.8	3.8	0	0	0	2.1	2.1	0	0	0	4	0	2.1	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.17	-1.5	3.1	0	3.1	0	0	0	0	0	0	0	0	2.4	0	0	2.4	3.5	2.4	0	0	0	2.4	3.1	0	2.4	2.4	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-5.79	-0.23	3.1	0	2.4	2.4	0	0	0	0	0	0	3.1	2.4	0	0	0	3.1	0	0	0	0	4.6	0	0	2.4	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.28	-3.07	3.3	2.7	2.7	0	0	0	0	2.7	0	0	3.3	4.2	0	2.7	0	0	0	0	0	0	3.7	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.83	3.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1	2.2	2.8	2.8	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.69	-0.13	2.8	3.9	0	0	0	0	0	0	0	0	0	4.2	0	2.8	0	3.5	0	2.8	2.8	0	2.8	0	0	0	0	2.8
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.84	4.76	3.4	2.1	2.1	0	0	0	0	2.7	0	0	2.7	2.1	0	2.1	2.1	3.1	3.1	0	2.1	0	3.9	2.1	0	2.1	2.1	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.71	-2.58	3.4	3.4	2.7	3.4	2.7	2.7	0	2.7	0	2.7	2.7	4.1	2.7	2.7	3.4	3.4	2.7	0	0	0	3.4	2.7	2.7	2.7	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.78	3.25	3.3	2.9	0	0	2.3	0	0	3.3	0	0	2.3	3.8	0	0	0	4	2.3	2.3	0	0	4	0	2.3	0	0	2.3
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.61	-4.31	3.1	2.5	3.1	0	0	0	0	0	0	2.5	0	3.8	0	2.5	2.5	2.5	2.5	2.5	0	0	3.5	0	0	2.5	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.11	-4.44	2.4	3.5	2.4	3.1	3.5	0	0	4	0	0	2.4	3.7	0	2.4	0	3.1	0	0	0	0	3.5	0	2.4	3.1	0	2.4
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.75	-0.1	3	0	3	0	2.4	0	0	3.7	0	0	3.4	4.3	0	2.4	0	3.4	4.6	0	0	0	3	0	2.4	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-5.55	-2.27	0	2.4	2.4	0	3	0	0	2.4	0	0	3.4	0	0	0	2.4	3	0	0	0	0	3.7	0	0	0	2.4	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.17	0.84	3.6	2.3	4.1	2.3	3.3	0	0	3.3	0	2.3	3.3	3.6	2.3	0	0	3.3	0	2.9	0	0	3.8	2.3	0	2.9	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.36	-3.36	0	2.3	2.9	0	2.3	0	0	0	0	0	2.3	2.3	0	0	0	3.3	2.3	0	0	0	3.3	0	2.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.9	-0.17	0	0	3.6	0	0	0	0	0	0	2.5	0	2.5	0	0	0	3.2	0	0	0	0	3.6	0	0	3.2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.05	0.29	4.1	0	2.1	0	2.8	0	0	3.8	0	0	2.1	3.4	0	0	2.1	3.6	0	2.1	0	0	2.8	0	0	2.1	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.98	2.89	2.2	0	2.8	0	2.2	0	0	2.2	0	0	3.2	2.2	0	0	2.2	2.8	2.2	0	0	0	2.8	0	2.2	0	0	2.2
