day	Anno	celltype	UMAP_1	UMAP_2	Casz1	Epha6	Mecom	Mitf	Oca2	Pou2f2	Rora	Rorb	Sox6	Trpm1	Trpm3	Tyr	Vsx2	Zfp385b	Zmat4
E10.5	E105_Retina_primordium	Retina_primordium	6.22	1.75	0	0	0	6.5	0	0	0	0	5.2	5.8	7.6	5.2	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.84	0.81	0	0	0	0	5.1	0	6.2	0	5.1	0	5.8	5.8	0	5.8	5.1
E10.5	E105_Retina_primordium	Retina_primordium	2.55	-1.28	0	0	5.1	5.1	0	0	5.1	0	5.8	0	5.1	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.91	-2.36	0	0	0	4.9	0	0	3.8	3.8	5.6	5.2	6.4	3.8	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5	-1.51	0	0	0	5.1	0	0	5.8	0	5.1	0	6.5	5.1	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.42	1.06	0	4.7	0	4.7	6.1	0	5.8	0	0	4.7	7	4.7	0	5.4	0
E10.5	E105_Retina_primordium	Retina_primordium	5.74	0.47	0	4.6	0	5.7	4.6	0	5.3	0	6.2	5.3	6.5	5.9	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.3	0.67	0	0	0	5.5	4.8	0	5.9	0	6.2	0	6.6	0	0	0	5.5
E10.5	E105_Retina_primordium	Retina_primordium	4.44	1.76	0	0	0	5.5	5.5	0	6.2	0	0	0	7	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.16	1.4	0	0	0	5	4.3	0	4.3	0	4.3	0	7.2	5.7	0	4.3	5
E10.5	E105_Retina_primordium	Retina_primordium	1.62	-2.45	0	0	0	5.3	0	0	4.6	0	4.6	5.3	6	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.42	1.25	0	5	0	6.1	0	0	5.7	0	5	5	6.9	5.7	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.61	-0.82	0	0	0	6.1	6.5	0	0	0	0	6.1	7.6	6.5	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.35	-3.42	0	0	0	0	0	0	0	0	0	0	5.9	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.51	1.96	0	0	0	6.1	4.1	0	5.5	4.1	5.9	5.2	7.7	0	0	0	4.1
E10.5	E105_Retina_primordium	Retina_primordium	5.54	-0.92	0	0	0	0	5.9	0	5.2	0	5.2	5.2	5.2	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.48	1.82	0	0	4.4	0	0	0	4.4	4.4	5.7	4.4	6.8	0	0	0	5.4
E10.5	E105_Retina_primordium	Retina_primordium	6.85	0.23	0	0	0	5.7	5	0	5.7	0	6.1	0	6.4	6.4	0	0	5
E10.5	E105_Retina_primordium	Retina_primordium	5.02	-1.26	0	0	0	5.9	5.2	0	5.2	0	5.9	5.2	5.9	0	0	0	5.9
E10.5	E105_Retina_primordium	Retina_primordium	1.62	-1.1	0	0	0	5.2	0	0	5.2	0	5.2	5.2	6.3	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.77	-0.91	0	0	0	5.6	0	0	5	0	5	6.1	5.6	5	0	5	0
E10.5	E105_Retina_primordium	Retina_primordium	1.25	-5.08	0	0	0	0	0	0	0	0	6.2	5.1	0	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.14	1.12	0	0	0	6.7	6.4	0	7	4.6	0	6.2	7.7	6.4	0	5.3	4.6
E10.5	E105_Retina_primordium	Retina_primordium	6.36	-0.89	0	0	0	5.9	5	0	6.5	4.3	5.4	6.3	7.1	5	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	4.97	-1.36	0	0	0	4.1	5.2	0	0	0	4.1	4.1	6.9	4.8	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	2.53	-0.64	0	0	0	4.6	0	0	0	0	0	4.6	6.8	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.39	-0.94	0	0	0	6.8	4.6	0	5.7	0	6.2	0	6.6	4.6	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.52	-0.97	5.2	0	0	0	5.9	0	0	0	0	0	6.8	5.9	0	5.2	0
E10.5	E105_Retina_primordium	Retina_primordium	4.47	0.6	0	0	0	5.4	0	0	5.4	0	0	0	6.7	5.4	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	4.14	-0.96	0	0	0	0	0	0	0	0	5.4	0	6.1	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	1.44	-2.84	0	0	0	6.5	0	0	0	0	0	5.4	6.1	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.16	-0.47	0	0	0	4.5	5.2	0	4.5	0	5.2	0	6.3	5.6	0	0	4.5
E10.5	E105_Retina_primordium	Retina_primordium	8.11	0.34	0	4.8	0	5.8	6.5	0	6	0	5.7	5.2	6.9	6.1	0	0	0
