day	Anno	celltype	UMAP_1	UMAP_2	marker:Tbx4	marker:Hoxa11	up:Pitx1	up:Hoxc9	up:Hoxa10	up:Hoxa9	up:Hoxa7	up:Hoxc8	up:Prrx2	up:Smad7	up:Twist1	up:Snai1	up:Twist2	up:Gata5	up:Bbx	up:Hoxc10	up:Smarca1	up:Zfx	up:Hey2	up:Hoxc11	up:Jun	up:Gata4	up:Tcf21	up:Smad6	up:Klf14	up:Tbx2	down:Mesp1	down:Pou5f1	down:T	down:Hoxb1	down:Foxf1	down:Mixl1	down:Evx1	down:Sub1	down:Cdx2	down:Cdx4	down:Irf1	down:Msx2	down:Foxo4	down:Cdx1
E7.75	E775_Allantois	Allantois	-4.36	-0.73	2.1	0	2.1	2.1	2.7	0	2.7	2.7	3.1	2.1	3.4	3.7	0	0	0	0	0	0	0	0	0	2.1	0	3.1	0	0	0	0	0	0	0	0	0	5	3.4	0	0	2.7	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.14	0.47	0	0	0	0	1.9	1.9	1.9	1.9	0	1.9	0	2.5	0	0	2.9	0	1.9	1.9	0	0	0	0	0	2.5	0	0	3.7	2.5	2.9	0	3.2	0	2.5	4.7	3.4	2.5	0	3.7	0	1.9
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.51	-0.84	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	2.4	3.4	0	0	3	4.9	3.7	3.4	0	3.4	0	3.4
E7.75	E775_Allantois	Allantois	-5.26	2.8	0	1.9	3.5	0	1.9	1.9	2.9	1.9	0	3.4	1.9	2.9	3.1	1.9	2.9	0	0	0	0	0	1.9	1.9	0	2.5	3.5	0	0	0	0	0	1.9	0	0	4.3	2.5	0	0	2.9	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.3	1.38	0	2	3.3	0	2.6	2	2	2	0	2	0	3	0	2	3	0	2	0	2	0	0	2	0	0	0	0	0	2.6	2	0	2	0	0	4.5	3.6	2	0	2	0	2.6
E7.75	E775_Allantois	Allantois	-3.04	-0.83	2.3	1.7	3.8	2.3	3.8	2.3	2.7	2.3	0	2.7	2.3	2.3	0	0	2.3	0	1.7	1.7	2.7	0	2.3	0	2.3	1.7	1.7	0	0	0	0	0	1.7	0	0	4	3.5	2.3	0	1.7	0	1.7
E7.75	E775_Allantois	Allantois	-1.91	-0.17	0	0	3.9	2.8	2.8	3.5	0	2.8	3.5	2.8	2.8	2.8	2.8	0	2.8	0	3.5	3.5	0	0	2.8	2.8	0	0	0	0	0	0	0	0	0	0	0	3.9	0	3.5	0	2.8	2.8	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.17	0.38	0	0	0	0	0	0	2.4	1.8	1.8	3.5	1.8	0	1.8	0	1.8	0	1.8	0	0	0	1.8	0	1.8	0	0	0	0	2.8	1.8	0	3.6	0	1.8	4.7	3.1	3.5	0	3.9	0	2.8
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.35	-3.3	2.4	0	0	0	3	0	3	0	0	0	2.4	0	0	0	0	0	0	0	0	0	2.4	0	2.4	0	0	0	3.4	3	0	0	2.4	0	0	3.7	3	3	0	2.4	2.4	0
E7.75	E775_Allantois	Allantois	-3.61	0.19	0	2.6	4.2	0	3	3.3	3	3.5	2.6	0	3.3	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4.5	2.6	2.6	0	2.6	0	0
