day	Anno	celltype	UMAP_1	UMAP_2	marker:Fstl5	marker:Dscaml1	marker:Lhx2	up:Myt1l	up:Uncx	up:Ebf2	up:Aff3	up:Emx2	up:Nfib	up:Tshz1	up:Ncoa1	up:Fezf1	up:Klf12	up:Pbx1	up:Ebf3	up:Tshz3	up:Zfp608	up:Lcorl	up:Mxi1	up:Foxo6	up:St18	up:Mbd2	up:Foxp1	up:Arid5b	down:Zeb2	down:Setbp1	down:Isl1	down:Pou4f1	down:Zeb1	down:Meis2	down:Tcf4	down:Rora	down:Onecut1	down:Foxn3	down:Neurod1	down:Nr2f2
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	1.87	-0.31	0	4.7	0	0	0	5.3	0	0	0	0	4.7	0	0	0	0	0	0	6.3	0	0	5.3	0	0	0	5.8	6.4	0	0	4.7	0	4.7	0	0	0	4.7	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	4.28	3.89	0	0	0	0	0	4.5	0	0	0	0	0	0	0	4.5	0	0	0	5.9	0	0	0	0	5.2	0	5.6	5.9	0	4.5	4.5	5.2	6.2	5.2	4.5	0	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	3.9	1.85	0	0	0	0	0	5.5	5.5	0	0	0	0	0	0	4.8	5.7	0	5.7	0	0	0	0	0	4.8	0	5.9	6.7	4.1	4.1	5.5	0	5.5	0	0	5.9	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.4	0.59	0	0	0	0	0	0	0	0	0	0	5.1	0	0	0	4.4	0	0	0	0	0	4.4	0	0	5.1	0	6.3	4.4	4.4	6	5.1	6.2	4.4	0	5.1	5.1	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	0.78	1.88	0	0	0	0	0	0	4.5	0	0	0	0	0	0	4.5	0	0	0	4.5	0	0	0	0	0	5.1	5.5	6.7	0	0	5.1	5.1	4.5	0	0	5.5	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.45	2.9	0	0	0	0	0	0	0	0	0	0	0	0	4	4	5.3	0	0	4.6	0	0	0	4.6	0	0	4	5.5	4.6	0	5.9	0	4.6	0	0	4	5.3	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	2.86	-0.41	0	4.6	0	0	0	5.9	0	0	0	4.6	4.2	0	0	5.6	4.9	0	0	4.2	0	0	4.6	0	4.2	0	4.2	6.6	4.2	0	5.1	5.9	4.6	0	0	3.5	0	3.5
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-4.95	4.34	0	0	0	0	0	4.9	0	0	0	0	0	0	0	5.9	0	0	0	0	0	0	0	0	0	0	0	7.4	0	0	6.2	5.5	4.9	6.5	0	0	4.9	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-5.43	4.77	0	0	0	0	0	5.2	4.5	0	4.5	5.8	4.5	0	4.5	0	4.5	0	5.2	5.2	0	0	6.1	0	0	4.5	6.5	6.9	0	0	4.5	6.4	0	0	0	0	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.07	7.15	0	3.5	0	0	0	0	4.9	0	0	0	0	0	4.2	6.3	4.2	0	5.5	3.5	0	0	0	0	4.9	0	4.2	7.2	0	0	5.7	4.6	5.3	3.5	4.2	4.2	5.6	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	1.19	-1.32	0	0	0	0	0	4.7	0	0	0	0	0	0	0	5.4	6.3	0	5.4	5.4	0	0	4.7	0	0	0	7.3	5.4	0	5.4	0	5.8	0	0	0	0	4.7	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	4.07	1.9	0	0	0	0	0	4.9	0	0	0	0	0	0	0	6.6	0	0	0	0	0	0	0	0	5.6	0	5.3	7	0	4.9	5.6	5.6	6.1	0	4.2	0	4.2	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-5.02	5.14	0	0	0	0	0	5	6.1	0	0	5	5.4	0	5	5.4	5	0	5	0	0	0	5.4	0	4.3	5	6.2	6.9	0	0	5.7	5.7	5.9	5	0	4.3	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	4.19	1.01	0	0	0	0	0	5.4	0	0	0	0	4	0	0	5.1	0	0	4	5.1	0	0	0	0	4	0	5.4	5.4	4.7	0	4.7	5.1	4.7	0	5.1	0	4	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.73	6.07	3.9	4.6	0	0	0	4.6	5	0	0	0	0	0	5.3	0	0	0	4.6	0	0	0	0	0	5.5	0	6.4	6	4.6	3.9	5.5	0	5.3	0	0	5.5	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.71	5.01	0	4.7	0	0	0	5.4	5.4	0	0	0	0	0	0	5.8	5.4	0	0	5.4	0	0	4.7	0	6.5	0	6.5	6.9	0	0	5.4	5.4	5.8	5.8	0	4.7	5.8	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	1.21	2.96	0	0	0	0	0	0	7.2	0	0	0	4.7	0	0	0	0	0	6.8	0	0	0	0	0	5.4	0	0	7.4	5.4	0	6.6	0	0	0	0	5.4	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	0.17	2.06	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	0	0	0	0	0	0	0	0	0	0	0	6.5	6.3	0	6	6.3	4.9	0	0	6	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-4.64	4.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	0	0	0	0	0	5.5	0	5.5	0	5.8	6	5.1	0	5.8	5.5	5.5	0	0	0	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.58	6.9	0	5	0	0	0	0	5.7	0	0	0	0	0	4.3	5.2	0	0	6.3	0	0	0	0	0	5.4	4.3	5.9	6.5	0	0	6.1	4.3	4.7	5	0	5	4.7	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	4.14	3.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	0	0	0	0	4.5	0	5.5	6.4	0	0	0	5.5	0	6.1	0	0	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-1.07	7.2	0	4.4	0	0	0	5.1	6	0	0	4.4	0	0	5.1	5.8	0	0	0	5.1	0	0	0	0	5.1	0	0	5.5	5.1	0	5.5	5.5	5.1	0	4.4	4.4	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-7.79	6.06	0	0	0	0	0	5.1	4.9	0	4	4.9	3.4	0	4	4.9	5.3	0	0	4.4	0	0	4.7	0	0	0	4.4	5.6	4	0	3.4	3.4	4.4	3.4	0	4.7	4.7	4
