day	Anno	celltype	UMAP_1	UMAP_2	Fli1	Gata1	Gfi1b	Hapln1	Hoxb2	Hoxb4	Lyl1	Runx1
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	0.77	-1.41	2.6	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-0.78	0.73	2.8	0	0	0	0	0	2.8	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.9	3.1	0	3	0	3.7	3.7	3	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.23	-1.32	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-4.65	1.05	2.6	2.6	3.2	3.6	3.9	0	3.6	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.21	-2.44	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-4.75	-0.13	0	2.8	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.72	-1.46	0	0	0	2.4	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.63	0.73	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.26	-0.14	0	0	0	2.7	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.75	-1.79	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-5.99	0.5	3.4	3.1	0	2.7	2.1	0	2.1	3.4
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.51	2.35	3	3.7	3	2	2	2.7	0	3
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.72	1.05	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-5.44	0.93	2.1	3.7	3.4	3.4	0	0	0	2.1
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-5.32	2.5	2.8	2.8	3.9	4	2.2	0	2.2	2.2
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	0.45	-2.99	3.1	0	0	2.4	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.79	-0.4	0	0	2.8	0	0	0	0	2.8
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	0.25	0.56	2.5	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	5.54	-0.31	0	0	0	0	3.2	0	0	2.5
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.35	-3.11	0	0	0	2.4	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-5	0.77	0	3.3	3.6	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.18	2.73	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.73	-2.39	2.6	0	0	2.6	3.9	0	0	3.3
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.17	3.06	0	4.2	0	3	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-4.85	2.34	0	4.1	4.1	3.9	0	0	0	2.3
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.56	-2.14	2.3	0	3	2.3	3	0	0	3.4
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.25	-1.89	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.23	-0.12	0	0	0	0	3.5	0	0	3.5
