day	Anno	celltype	UMAP_1	UMAP_2	down:Trps1	down:Maf	down:Tcf7l2	down:Hivep3	down:Mef2c	down:Zfp608
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.64	-3.32	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	1.39	7.41	4.4	0	0	5.1	5.1	0
E10.5	E105_White_blood_cells	White_blood_cells	-1.31	2.88	5.3	0	0	0	5.3	0
E10.5	E105_White_blood_cells	White_blood_cells	-0.62	4.97	0	4.8	0	0	5.9	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.03	-4.15	0	0	0	0	5	0
E10.5	E105_White_blood_cells	White_blood_cells	-0.09	2.88	0	0	0	0	6.2	0
E10.5	E105_White_blood_cells	White_blood_cells	1.91	4.29	6.3	5.7	0	0	5.7	5.7
E10.5	E105_White_blood_cells	White_blood_cells	-0.46	4.37	0	5.1	0	0	5.1	0
E10.5	E105_White_blood_cells	White_blood_cells	0.74	3.52	5.2	5.9	5.2	0	6.6	0
E10.5	E105_Megakaryocytes	Megakaryocytes	0.31	-5.05	0	0	0	0	4.4	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.62	-3.42	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	2.04	6.4	0	5.4	5	0	5	0
E10.5	E105_White_blood_cells	White_blood_cells	4	1.88	4.2	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	0.9	4.24	6	0	0	4.9	0	0
E10.5	E105_White_blood_cells	White_blood_cells	0.54	-2.56	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	2.36	-1.14	5.4	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-6.39	-6.45	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.15	-4.95	0	0	0	0	4.4	0
E10.5	E105_White_blood_cells	White_blood_cells	0.68	3.3	0	5.6	0	0	5.6	4.9
E10.5	E105_White_blood_cells	White_blood_cells	4.77	-2.48	0	0	0	0	4.8	3.7
E10.5	E105_Megakaryocytes	Megakaryocytes	-6.52	-2.79	4.4	0	0	0	4.4	4.4
E10.5	E105_Megakaryocytes	Megakaryocytes	0.05	-3.56	0	0	0	0	5.1	5.1
E10.5	E105_White_blood_cells	White_blood_cells	-0.36	4.01	0	0	4.9	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	0.08	2.38	0	0	0	0	5.4	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-2.57	-6.71	4.3	0	0	0	5.7	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.37	-6.43	0	0	3.6	0	5.8	0
E10.5	E105_White_blood_cells	White_blood_cells	2.68	3.7	5.7	0	0	0	0	0
