day	Anno	celltype	UMAP_1	UMAP_2	marker:Cer1	marker:Krt18	up:Sox17	up:Hesx1	up:Nr2f6	up:Hmga1	up:Sall4	up:Ovol2	up:Klf6	up:Mbd3	up:Elf3	up:Lin28a	up:Tead2	up:Nfkb1	up:Ybx1	down:Pou5f1	down:Mixl1	down:T	down:Foxj1	down:Sp5	down:Pa2g4	down:Foxa2	down:Trp53	down:Eomes	down:Cebpb	down:Junb	down:Sox11	down:Mycn	down:Lef1	down:Egr1	down:Olig1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.49	-1.24	0	2.5	0	0	0	1.9	2.5	0	0	1.9	0	2.5	3.6	0	6	4.5	4.2	2.5	0	4.2	4.3	3.2	3.4	1.9	0	2.9	0	0	2.5	1.9	2.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.98	2.84	4.8	2.7	3.4	0	0	3.1	2.1	0	0	3.4	0	2.1	2.7	0	6.2	4.3	2.1	0	0	3.4	4.7	3.1	3.6	2.7	0	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-4.89	1.23	4.1	3.7	4.3	0	0	3	3.9	2.6	2.2	3.7	0	2.2	3.7	0	6	4.3	0	0	0	3.4	4	0	3.5	2.2	2.6	0	2.8	1.6	2.2	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.81	0.49	2	2	0	0	2.6	4	0	2	0	3	0	2	3.5	0	6	5	2.6	0	3.3	2.6	4.5	2.6	3.5	3.5	2	0	2	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.83	-0.02	1.9	0	3.8	0	0	3.5	2.9	0	1.9	3.9	0	0	3.1	0	6.2	4	4.1	1.9	0	4.9	4.4	2.5	3.5	3.1	0	1.9	2.5	2.5	0	1.9	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.61	0.78	4	0	4.8	0	0	2.9	3.4	0	0	2.9	0	0	3.8	0	6.1	3.2	2.9	0	0	2.9	4	2.6	3.6	3.2	1.9	0	1.9	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-6.22	2.97	4.9	3.8	4.8	0	0	3.1	2.4	0	0	4	0	2.4	3.5	0	5.8	3.8	2.4	0	0	3.5	4	0	2.4	0	0	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.38	3.31	0	3.5	2.9	0	2.9	3.9	0	0	0	2.9	0	2.9	2.9	0	6.3	5.1	2.9	0	0	3.9	4.6	3.5	2.9	3.5	0	0	0	0	2.9	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.66	-2.57	3.2	1.9	2.5	0	1.9	3.6	2.5	0	1.9	2.5	0	1.9	3.4	0	6	4.5	3.7	0	0	0	4.3	1.9	3.6	1.9	0	0	2.5	0	1.9	1.9	1.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.66	-0.78	0	0	0	0	0	2.7	0	0	2.1	2.7	0	2.1	3.8	0	5.8	4.5	4	2.7	0	3.9	4.3	3.6	3.4	3.1	0	0	0	0	2.1	2.1	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.11	-2.78	0	0	0	0	1.8	2.7	0	0	0	3.5	0	1.8	4	0	6	4.6	4.2	0	0	3.4	4.4	4.2	3	3.2	0	0	1.8	0	1.8	0	2.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.9	-2.89	1.5	0	2.5	0	0	3.1	1.5	0	2.5	3.5	0	2.1	3.5	0	5.7	4.4	3.3	2.1	0	3.4	4.2	2.7	3.6	3.6	0	0	1.5	0	1.5	0	1.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.26	1.99	0	1.7	0	0	0	3.2	2.3	0	0	3.4	1.7	0	3.8	0	6.1	5	2.3	2.3	1.7	2.3	4	3.2	2.7	3	1.7	1.7	2.7	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.39	-6.1	0	1.4	0	0	1.4	3.4	2.3	2	2.6	3.3	0	2.3	3.2	0	6.1	4.7	2.9	1.4	0	1.4	3.9	2.9	3.2	3.1	1.4	1.4	1.4	2	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.54	-2.54	0	2.8	0	0	0	2.4	2.4	0	1.8	3.7	0	0	3	1.8	6.1	4.5	3.4	3	0	3.7	3.9	3.9	3.7	3	0	1.8	0	0	1.8	1.8	3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	5.14	4.64	0	2.2	0	0	0	3.2	2.2	0	0	2.2	0	0	3.7	0	5.9	4.7	0	0	3.5	0	3.9	4	3.7	2.2	0	2.2	0	2.2	0	0	2.2
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.73	-0.51	1.9	0	0	0	1.9	2.9	2.5	1.9	0	2.5	0	0	2.9	0	5.9	4	2.9	0	0	4	4	3.4	2.9	3.4	0	0	1.9	0	1.9	0	1.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.89	2.92	5.3	3.6	4.7	0	2.8	3.8	1.8	1.8	0	2.4	0	0	3.8	0	6	4.2	3.3	0	0	4.3	4.1	3.1	3.3	0	1.8	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.39	2.05	5.2	2.1	4	2.7	2.1	3.6	3.1	0	0	3.1	0	3.1	2.7	0	5.8	3.9	2.1	0	0	2.1	4.6	0	3.3	2.7	0	0	2.1	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.32	3.24	0	2.9	0	0	0	2.2	0	0	0	2.2	0	0	3.5	0	5.6	4.9	3.5	2.9	0	3.7	2.9	3.9	3.2	3.2	0	0	0	0	0	0	2.2
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.76	-4.89	0	1.5	0	0	0	3.2	0	0	2.7	3.4	0	1.5	3.2	0	5.9	4.6	3.5	0	0	3.2	4.4	2.7	3.5	3.4	0	2.1	1.5	1.5	1.5	1.5	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.34	3	4.1	2.1	2.1	0	0	3.3	2.1	0	0	2.1	0	0	3.6	0	5.7	4.6	4	2.1	2.1	3.6	4	2.7	3.1	3.3	2.1	0	2.1	0	2.1	0	2.1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.44	0.38	4	2.9	3.3	0	0	3.8	2.3	0	0	2.3	0	0	3.6	0	6	4.4	4.3	0	2.3	3.8	4	3.3	3.3	3.3	2.3	2.3	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.69	-2.22	2.7	1.5	3.8	0	0	3.3	2.7	0	2.1	2.1	0	0	3.6	0	5.9	4.5	2.9	2.5	0	2.9	4.1	2.9	3.6	2.7	0	2.1	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.22	3.34	0	5.2	0	0	0	0	0	0	0	2.9	0	0	4.3	0	6.3	4	0	0	0	2.9	3.6	2.9	0	0	0	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.61	-0.06	2.8	2.8	0	0	0	2.8	2.8	0	0	0	0	0	2.8	0	5.9	4.1	3.9	0	0	4.4	3.5	2.8	3.5	0	2.8	0	2.8	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.27	-4.02	3.5	2.5	2.5	0	0	0	2.5	0	2.5	4	0	0	3.1	0	6.8	4.2	0	2.5	0	0	3.8	0	2.5	3.5	2.5	0	0	2.5	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.95	-1.91	2.6	2.6	0	0	0	0	2.6	0	0	2.6	0	0	2.6	0	6.2	4.8	2.6	4.2	2.6	4	4.2	3.7	3.7	3.7	0	0	0	2.6	0	0	0
