day	Anno	celltype	UMAP_1	UMAP_2	down:Trp63	down:Sox6	down:Nr2f2	down:Sox5	down:Foxp2	down:Lef1	down:Bnc2	down:Bach2	down:Mbnl2	down:Nr3c1	down:Dach2	down:Rarb	down:Meis2	down:Foxp4	down:Foxp1
E9.5	E95_Epidermis	Epidermis	3.26	4.32	0	0	5.2	0	0	0	0	0	0	0	0	0	5.9	0	0
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	5.05	-1.59	0	0	0	0	0	0	0	0	0	0	4.9	0	5.6	0	5.6
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	0.64	3.52	0	5.5	0	4.8	0	0	4.8	0	0	0	5.9	0	6.4	0	5.5
E9.5	E95_Otic_epithelium	Otic_epithelium	-0.26	-5.62	0	0	0	0	0	0	0	0	5.3	0	0	0	5.3	5.3	0
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	0.76	2.1	0	0	0	0	0	0	0	5.9	0	0	0	0	0	0	0
E9.5	E95_Otic_epithelium	Otic_epithelium	0.9	-6.5	0	0	0	0	4.5	0	0	0	0	0	0	0	5.2	4.5	4.5
E9.5	E95_Epidermis	Epidermis	2.86	3.36	0	0	0	0	0	0	0	5	5	0	0	5	0	0	0
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-2.04	4.06	0	0	0	0	4.8	0	0	4.8	4.8	0	4.8	0	4.8	0	0
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	1.86	-1.28	0	0	5.1	0	5.1	0	0	0	4.4	4.4	0	5.5	5.1	5.1	6
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	3.11	-2.64	0	5.4	0	0	5.4	0	0	0	0	0	0	0	5.4	4.8	0
E9.5	E95_Otic_epithelium	Otic_epithelium	-0.83	-5.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Epidermis	Epidermis	4.83	6.75	4.7	5	0	4.3	0	0	0	3.7	3.7	0	0	0	4.7	0	3.7
E9.5	E95_Epidermis	Epidermis	6.78	6.63	0	0	0	0	0	0	0	0	0	0	0	0	4.9	0	0
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	-0.51	3.5	0	0	0	4.5	0	3.8	3.8	0	4.5	0	3.8	0	5.2	4.5	4.9
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	2.3	0.89	0	0	0	0	0	0	0	0	0	0	5.4	5.4	0	5.4	0
E9.5	E95_Epidermis	Epidermis	6.44	3.86	0	0	0	0	0	0	0	0	4.5	0	0	4.5	6.4	0	0
E9.5	E95_Epidermis	Epidermis	6.13	2.74	5.4	5.1	0	0	0	0	4	0	5.8	0	5.1	4	6.3	0	4
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	1.42	1.01	0	0	5.5	0	0	5.5	0	5.5	0	0	0	0	5.5	5.5	6.2
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	-0.54	1.29	0	0	5.3	5.3	0	0	0	0	0	0	0	0	5.3	6	5.3
E9.5	E95_Epidermis	Epidermis	4.28	1.83	0	0	5.9	0	0	0	0	5.2	5.2	0	0	0	7	0	5.9
E9.5	E95_Epidermis	Epidermis	0.04	2.27	0	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-4.45	4.04	0	5.4	0	4.3	0	0	0	0	4.3	0	4.3	0	0	0	0
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	-0.85	0.99	0	0	0	0	0	0	0	0	5.4	0	0	4.8	5.8	0	5.8
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	1.95	1.04	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0	0
E9.5	E95_Otic_epithelium	Otic_epithelium	1.12	-5.7	0	0	0	0	0	0	0	5	5	0	5	0	5	0	5
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-2.34	5.52	0	4	4	0	0	0	0	0	0	0	4	0	5.1	0	4.7
E9.5	E95_Otic_epithelium	Otic_epithelium	-0.22	-5.95	0	6.1	0	5.1	0	0	0	0	0	0	0	0	5.1	0	0
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-3.91	3.28	0	4.7	0	0	0	0	0	0	0	0	0	0	5.4	0	4.7
E9.5	E95_Otic_epithelium	Otic_epithelium	0.49	-6.04	0	4.9	0	4.9	0	0	0	0	0	0	4.9	0	0	0	4.9
E9.5	E95_Epidermis	Epidermis	6.59	5.95	0	0	0	0	0	0	0	0	0	0	5.5	0	4.8	0	0
E9.5	E95_Epidermis	Epidermis	1.47	2.86	0	0	0	0	0	5.3	0	0	0	0	0	0	5.3	0	0
E9.5	E95_Epidermis	Epidermis	2.24	3.74	0	0	0	0	0	0	0	0	0	0	0	0	5.4	0	0
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	3.48	-1.51	0	0	0	4.6	0	0	0	0	4.6	0	0	0	6	0	4.6
E9.5	E95_Epidermis	Epidermis	5.48	2.26	5.6	5.1	4.7	4	0	4	0	0	4.7	0	0	0	5.6	0	5.8
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-1.07	2.2	0	6.1	0	5.4	0	0	0	0	0	0	0	0	5.4	0	0
E9.5	E95_Epidermis	Epidermis	6.83	4.5	4.5	4.5	0	0	0	4.5	0	0	5.9	0	0	0	5.9	0	0
E9.5	E95_Epidermis	Epidermis	4.06	5.58	5.5	0	0	0	4.8	0	0	0	4.8	0	0	0	6.2	0	4.8
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-1.6	3.47	0	0	0	0	0	0	0	4.1	4.1	0	0	0	6	0	4.1
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	1.66	-0.43	0	0	0	0	0	0	4.7	5.8	0	0	4.7	0	0	0	5.4
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-3.59	5.18	0	5.8	0	4.6	0	0	0	0	0	0	3.9	0	6.1	0	5
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	-0.36	2.93	0	0	0	6.2	0	0	0	0	0	0	0	0	5.8	0	5.1
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	0.31	1.07	0	0	0	0	0	0	0	0	4.8	0	0	0	6.2	0	0
E9.5	E95_Epidermis	Epidermis	5.42	5.66	5.8	4.7	0	0	0	4.7	5.4	0	0	0	0	0	5.8	0	0
E9.5	E95_Epidermis	Epidermis	3.54	5.65	0	5.3	4.6	0	0	4.6	0	4.6	0	0	0	5.7	4.6	0	4.6
E9.5	E95_Epidermis	Epidermis	5.18	5.96	0	5.2	0	0	0	5.2	0	0	0	0	0	0	6.8	0	5.2
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	2.63	0	0	0	0	0	4.9	0	0	0	0	0	0	0	0	0	6.2
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	1.21	-0.73	0	0	0	3.9	0	3.9	0	0	0	0	3.9	0	5.5	0	5.8
E9.5	E95_Epidermis	Epidermis	4.36	4.36	4.8	4.8	0	0	0	0	0	0	4.8	0	0	0	5.5	0	6.4
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	0.03	1.84	0	0	5.4	0	0	0	0	0	0	0	0	0	6	0	5.4
E9.5	E95_Otic_epithelium	Otic_epithelium	-1.1	-6.37	0	4.9	0	0	0	0	0	0	0	0	0	0	4.9	0	5.6
E9.5	E95_Epidermis	Epidermis	5.71	3.16	4.8	5.8	0	4.8	0	0	0	0	0	0	0	0	5.9	4.2	0
E9.5	E95_Epidermis	Epidermis	3.95	3.29	0	5.4	0	0	0	0	0	0	0	0	0	5.4	6.1	0	5.4
E9.5	E95_Epidermis	Epidermis	1.68	2.93	0	0	0	0	0	0	0	0	5.9	0	0	0	5.2	0	0
E9.5	E95_Otic_epithelium	Otic_epithelium	0.72	-6.71	0	0	0	0	0	4.6	0	0	4.6	0	6.3	0	5.3	0	0
E9.5	E95_Otic_epithelium	Otic_epithelium	-0.11	-7.2	0	4.8	4.8	0	0	0	0	0	0	0	4.8	0	0	0	0
E9.5	E95_Epidermis	Epidermis	4.45	2.98	0	5	0	0	0	0	0	0	0	0	0	0	6.1	0	0
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-3.08	5.45	0	0	0	0	0	0	4.3	0	4.3	0	0	0	5.3	0	4.3
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	2.81	0.62	0	0	5.1	0	5.1	0	0	0	0	0	0	0	5.8	0	5.1
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	-0.27	3.49	0	0	4.1	4.8	0	0	4.1	0	0	0	5.5	0	4.8	4.1	6
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	1.09	2.84	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5.3
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-2.27	1.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Epidermis	Epidermis	2.16	4.5	5.4	0	0	0	0	0	0	0	0	0	0	0	6.5	0	0
E9.5	E95_Otic_epithelium	Otic_epithelium	1.35	-7.44	0	0	0	5.4	0	0	0	5.7	0	0	4.3	0	0	0	0
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-2.92	1.62	0	0	0	0	0	0	0	0	0	0	0	0	5.3	0	0
E9.5	E95_Epidermis	Epidermis	3.14	1.25	5.1	4.4	0	0	0	5.1	4.4	0	0	0	0	0	7	0	0
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-3.49	1.8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5.3
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	1.29	-0.6	0	0	5.4	4.7	4.7	0	0	0	4.7	0	0	0	7.1	0	0
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	0.68	-0.08	0	0	0	4.8	0	0	0	0	0	0	0	0	6.2	0	0
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-3.59	4.81	0	0	0	4	0	0	0	0	0	0	4.7	0	0	0	4
