day	Anno	celltype	UMAP_1	UMAP_2	marker:Tdo2	marker:Hsd11b2	marker:Pmp22	marker:Hand1	up:Foxp1	up:Hoxb2	up:Creb3l1	up:Mef2c	up:Gata5	up:Hlx	up:Nr2f2	up:Nkx2-3	down:Pitx1	down:Cdx2	down:Msx1	down:Hoxb6	down:Msx2	down:Hoxd1	down:Hoxd9	down:Lef1	down:Hoxb8	down:Sp5	down:Hoxa1	down:Tcf7	down:Cdx1	down:Hoxa10	down:Nkx1-2	down:Evx1	down:Alx3	down:Hoxb9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	5.68	3.1	0	0	5.5	3.8	2.7	3.8	0	0	0	0	0	0	0	0	4.6	3.8	2.7	0	0	0	0	0	0	2.7	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.9	-1.46	3.4	0	4.4	2.8	2.2	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.9	3.9	0	0	2.9	4.5	2.2	2.2	0	0	0	0	0	0	3.5	0	3.2	0	2.2	2.9	3.5	2.2	0	0	0	0	0	2.9	2.2	2.2	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.37	-2.09	0	0	4.7	3.6	0	0	0	0	0	0	0	0	0	0	3.4	0	3.4	3.4	0	2.1	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.23	4.67	2.4	0	0	3.8	0	0	0	0	0	0	0	0	3.5	4	3.1	0	3.1	0	3.5	0	2.4	0	0	0	0	3.1	0	0	2.4	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.67	5.22	0	0	2.7	4	0	0	0	0	0	0	0	0	2.7	3.3	3.7	0	3.3	2.7	2.7	0	0	0	0	0	0	3.3	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.05	-3.36	4.3	2.3	4.9	4.7	2.3	3	3	0	3	0	0	0	0	0	3	3.6	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.93	3.4	0	0	5.9	4.9	0	0	2.5	0	0	0	0	0	0	0	3.6	2.5	2.5	0	0	0	3.2	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-2.46	4.55	0	1.7	4.3	4.2	0	3.1	0	0	0	0	0	0	1.7	2.3	3.7	2.9	2.6	1.7	1.7	2.3	2.6	1.7	0	0	1.7	0	0	1.7	1.7	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.76	-0.97	0	2	4.4	2.6	0	2	2	0	0	0	2.6	0	3.4	0	2.6	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0
