day	Anno	celltype	UMAP_1	UMAP_2	marker:Foxa2	marker:Shh	marker:Ntn1	marker:Bmp7	up:Nkx6-1	up:Foxa1	up:Nkx2-9	up:Tox2	up:Arx	up:Tsc22d1	up:Peg3	up:Rfx4	up:Barx2	up:En1	up:Hey1	up:Sox4	up:Mxd4	up:Tal2	up:Dmrtb1	up:Sox2	up:Xbp1	up:Hes1	up:Pou6f2	up:Otx2	down:Id2	down:Lyar	down:Irx3	down:Irx5	down:Hes3	down:Hmgb1	down:Irx2	down:Mycn	down:Meis2	down:Cnbp	down:Pax3	down:Id1	down:Gli3	down:Myc
E8.5a	E85a_Hindbrain	Hindbrain	2.25	-3.54	0	0	1.4	0	1.4	0	0	0	0	2.8	0	0	0	0	0	2	0	1.4	0	2.3	1.4	0	0	0	3.5	4.1	2	1.4	2.3	5.5	1.4	2.6	2.3	5	0	3.4	1.4	0
E8.5a	E85a_Hindbrain	Hindbrain	1.13	4.94	0	0	0	0	0	0	0	0	0	2.3	0	1.7	0	0	0	3.2	0	0	0	3	2.7	1.7	0	0	4.8	4.2	2.7	2.3	2.3	5.7	3	2.7	3.8	5	0	3.5	1.7	1.7
E8.5a	E85a_Hindbrain	Hindbrain	2.23	-1.22	0	0	0	0	2.4	0	2.4	0	0	3.4	0	0	0	0	0	3	0	0	0	3.7	0	2.4	0	0	0	4.7	0	0	0	5.4	0	3	0	4.9	0	0	0	0
E8.5a	E85a_Hindbrain	Hindbrain	2.7	5.73	0	0	0	0	0	0	0	0	0	3.2	0	0	0	0	0	2.8	0	0	0	2.8	0	0	0	0	4.8	3.5	3.7	0	0	5.5	2.2	2.2	2.8	5	0	2.2	0	0
E8.5a	E85a_Hindbrain	Hindbrain	5.37	-5.24	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2.7	0	0	0	1.9	1.3	2.2	0	0	4.3	4.1	2.5	0	1.9	5.5	2.5	2.7	1.9	4.9	1.3	3.5	1.3	0
E8.5a	E85a_Hindbrain	Hindbrain	2.88	7.29	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	2.3	3.3	3.3	0	2.3	5.4	0	2.3	2.9	4.8	0	0	0	0
E8.5a	E85a_Anterior_floor_plate	Anterior_floor_plate	-7.87	-2.4	1.7	1.7	0	0	0	2.3	0	0	0	2.6	3.8	0	0	0	0	3.9	2.3	0	0	2.6	2.3	1.7	0	1.7	3.8	3.6	2.3	0	0	5.6	0	0	1.7	4.4	0	4.1	0	0
E8.5a	E85a_Hindbrain	Hindbrain	3.07	4.67	0	0	0	0	0	0	0	0	0	3	2.1	1.6	0	0	0	0	0	0	0	2.5	0	2.1	0	0	4.7	4.2	2.5	1.6	0	5.4	3.1	2.8	2.5	4.8	2.1	4.6	2.5	0
E8.5a	E85a_Hindbrain	Hindbrain	3.65	-3.78	0	0	0	0	0	0	0	0	0	1.9	0	1.9	0	0	0	3.2	0	0	0	1.9	0	0	0	0	4	3.8	1.9	2.9	0	5.7	3.7	2.5	1.9	5.1	0	2.9	2.5	0
E8.5a	E85a_Hindbrain	Hindbrain	-1.76	0.81	0	0	0	0	0	0	0	2	0	2.6	0	2	0	0	0	2	0	0	0	0	2.6	2	2	0	3.8	3.6	3.3	0	0	5.5	2.6	2.6	0	4.9	0	3.8	0	2
E8.5a	E85a_Posterior_floor_plate	Posterior_floor_plate	-6.22	2.64	2.8	0	2.2	0	2.8	0	3.7	0	0	3.2	0	3.2	0	0	2.2	4	0	0	0	2.8	2.2	2.2	0	0	0	2.2	0	0	0	5.5	0	0	2.2	4.2	0	2.2	0	0
E8.5a	E85a_Hindbrain	Hindbrain	4.79	2.05	0	0	0	0	0	0	0	0	0	4.6	0	0	0	0	0	2.1	0	0	0	0	0	2.1	0	0	4.2	3.9	2.7	2.1	0	5.6	0	3.1	2.7	5.1	2.1	3.6	2.7	0
E8.5a	E85a_Hindbrain	Hindbrain	-0.76	5.73	0	0	0	0	1.7	0	0	0	0	3.6	0	0	0	0	0	3	0	0	0	3	2.7	0	0	0	2.3	4.2	3.2	3	0	5.6	0	3.3	3	4.9	0	2.3	0	0
E8.5a	E85a_Hindbrain	Hindbrain	-1.31	-4.07	0	0	0	0	2.1	0	0	0	0	3.1	2.1	0	0	0	0	2.1	0	0	0	2.7	2.1	0	0	0	3.4	3.9	2.1	2.7	0	5.2	0	2.1	2.1	5.3	0	0	0	0
E8.5a	E85a_Hindbrain	Hindbrain	-1.25	-1.09	0	0	0	0	0	0	0	0	0	1.7	2.2	1.7	0	0	0	2.6	2.2	0	0	2.2	1.7	1.7	0	0	4.5	4.4	3.3	2.2	2.9	5.6	2.6	2.2	2.2	4.8	0	3.1	0	0
E8.5a	E85a_Hindbrain	Hindbrain	1.99	8.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	2.6	0	0	4.3	4.1	3.2	2.6	0	5.1	0	2.6	3.6	5	0	3.6	0	0
E8.5a	E85a_Hindbrain	Hindbrain	2.66	-1.02	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	3.4	0	0	0	2.7	0	2.1	0	0	4.2	3.9	2.7	0	2.1	5.8	0	2.7	2.1	4.9	0	3.1	0	0
E8.5a	E85a_Hindbrain	Hindbrain	0.07	-0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4	4.3	2	2.6	0	5.5	2	3.5	0	4.5	3	3.7	2	0
E8.5a	E85a_Hindbrain	Hindbrain	-5.16	-3.01	0	0	0	0	0	0	3.7	2	0	3.5	2	0	0	2.7	2	3.5	0	0	0	2.7	2	2	2	0	0	3.5	2	2.7	0	5.7	0	0	0	5.1	0	0	0	0
E8.5a	E85a_Hindbrain	Hindbrain	-3.26	-1.93	0	0	0	0	1.9	0	0	0	0	2.9	0	0	0	0	0	3.4	0	0	0	0	0	2.9	0	0	4.6	4	2.9	1.9	0	5.5	0	2.5	1.9	4.8	0	3.8	0	1.9
