day	Anno	celltype	UMAP_1	UMAP_2	Gata6	Hand1	Lefty2	Lhx1	Mesp1	Mesp2	Sp5
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.65	-1.84	3	3.4	3.4	3.1	3	0	2.7
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.61	-1.07	0.2	0	3.5	1.3	3.9	1.4	3.7
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.43	-3.17	2.4	4.5	0.2	3.3	4.5	1.1	0.6
E6.5	E65_Primitive_Streak	Primitive_Streak	0.15	-1.61	0	0	0	3.3	3.6	3.3	3
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.09	0.22	3	1	5.1	3.5	4.7	3	3.5
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.3	-2.56	2.9	1.3	2.3	2.1	3.1	0	3
E6.5	E65_Primitive_Streak	Primitive_Streak	0.68	-2.55	2.4	0	2	3.9	4.1	3.3	3.6
E6.5	E65_Primitive_Streak	Primitive_Streak	-6.53	-1.35	2.8	3	3.6	4.6	2.3	1	1.2
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.3	-1.37	2.4	3	3.1	2.4	4.7	0	3.4
E6.5	E65_Primitive_Streak	Primitive_Streak	-1.49	1.78	2.1	0	0	3.6	4.3	1	3.6
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.32	1.5	3	0	4.5	3.9	5	3.6	3
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.67	1.64	2.7	0	3.3	3.9	4.9	3.6	3.4
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.02	-4.06	2	5.2	0	0	0	0	0.7
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.17	-4.04	1.8	5	0	0.4	1	0	1.6
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.86	-0.14	2	2.4	2.3	3	4.3	1.5	3.1
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.66	-2.93	1.7	5.1	1.9	3.4	2.8	0.1	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.55	-3.56	1.7	2	2.8	3.8	3.5	0	3.4
E6.5	E65_Primitive_Streak	Primitive_Streak	-6.52	-4.36	1.3	1.8	0	1.9	0	0.1	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-6.5	-4.42	1	0.1	0	0	0	0	1.3
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.47	-3.31	1.4	3.6	0	1.3	3.8	0	2.5
E6.5	E65_Primitive_Streak	Primitive_Streak	-6.04	-2.8	2.5	1.6	2.6	3.5	1.9	0	2.9
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.83	-3.2	1.7	4.7	1	2	4.3	1.3	1.1
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.31	-3.77	1.2	4.8	1.2	1.2	2.8	0	1.5
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.94	-3.95	2.1	3.3	5.2	2.6	3	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.69	-4.34	1	4.5	1.4	0	0.2	0	1.4
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.03	0.56	2.2	1.6	3.9	3.4	4.5	3.2	2.7
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.59	-1.61	2.3	3.7	1.3	3.3	4.9	2.6	1.4
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.83	-1.7	1.6	2.2	2.5	3.1	4.3	1.3	3.1
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.36	-1.22	1.1	3.5	1.5	2.8	4.4	1.7	2
E6.5	E65_Primitive_Streak	Primitive_Streak	-6.09	-4.19	1.3	1.6	0.8	0.4	1.6	0	2.2
E6.5	E65_Primitive_Streak	Primitive_Streak	5.31	-0.35	0.9	0	1.2	2.4	0	0	1
E6.5	E65_Primitive_Streak	Primitive_Streak	5.7	-1.32	0.3	0	0.7	2.4	0	0	1
E6.5	E65_Primitive_Streak	Primitive_Streak	3.16	3.42	0.1	0	1.2	0.3	0	0	1.4
E6.5	E65_Primitive_Streak	Primitive_Streak	3.51	4.03	0	0	3.6	0.3	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	4.15	3.26	0	0	1.6	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	3.64	3.42	0	0	2.1	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	1.67	3.19	2.2	0.4	0	1	0	0	2.2
E6.5	E65_Primitive_Streak	Primitive_Streak	2.23	1.17	0	0	1.2	0	0	0	0.7
E6.5	E65_Primitive_Streak	Primitive_Streak	4.12	3.72	0	0	0	0.3	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.69	2.76	0.4	0	0	0.8	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	1.08	2.57	0	1.1	0.7	0	0	0.1	2.7
E6.5	E65_Primitive_Streak	Primitive_Streak	3.99	3.88	0	0	0	0.1	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	3.87	3.67	0	0	3.1	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	3.56	4.14	0.8	0	1.2	0	0	0	1.9
E6.5	E65_Primitive_Streak	Primitive_Streak	2.42	3.91	0	0	0	0.3	1.6	1	2.6
E6.5	E65_Primitive_Streak	Primitive_Streak	3.51	-2.35	0	0	0	0.1	0	0	0.1
E6.5	E65_Primitive_Streak	Primitive_Streak	4.21	3.86	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	1.88	3.52	0.6	0	3.2	1.2	0	0	1.5
E6.5	E65_Primitive_Streak	Primitive_Streak	3.68	4.1	0	0	1.2	0	0	0	0.3
E6.5	E65_Primitive_Streak	Primitive_Streak	2.38	3.27	0	0	1.1	0	0	0	0.8
E6.5	E65_Primitive_Streak	Primitive_Streak	3.92	3.12	0	0	0.2	0	0	0	0.7
E6.5	E65_Primitive_Streak	Primitive_Streak	3.43	2.67	0	0	1.9	0.1	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	3.19	1.13	0	0	2	1.1	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.18	-3.18	0	0	0.9	0	0.5	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.07	1.79	2.3	0	5.5	4.3	4.4	3.6	3.4
E6.5	E65_Primitive_Streak	Primitive_Streak	3.17	2.55	0	0.6	4.1	0	0.6	0	2.5
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.63	2.27	2	0	3.1	3.5	4.7	4	2.7
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.15	1.29	2.6	0.9	6.1	3.7	4.5	3.4	3.6
E6.5	E65_Primitive_Streak	Primitive_Streak	4.23	1.47	0	0	1.2	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.34	-3.15	0.8	0	2.2	1	2.2	0	3.1
E6.5	E65_Primitive_Streak	Primitive_Streak	-2.13	0.26	1.3	0	3.8	2.3	3.9	3.2	3.2
E6.5	E65_Primitive_Streak	Primitive_Streak	3.81	-0.5	0	1.4	0.8	0	0	0	2.2
E6.5	E65_Primitive_Streak	Primitive_Streak	2.74	0.29	0.5	0	0	0.3	0.7	0	2.9
E6.5	E65_Primitive_Streak	Primitive_Streak	3.85	0.95	0	0	3	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.56	-3.43	0	2.1	0	0	1.2	0	2.1
E6.5	E65_Primitive_Streak	Primitive_Streak	0.99	-0.59	0	1.2	1.6	0	0	1.1	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.5	-3.25	0	0	0	0	0	0	1.9
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.65	2.33	1.7	0	5.9	3.3	3.8	4	3.6
E6.5	E65_Primitive_Streak	Primitive_Streak	1.2	0.22	0	0.9	1.3	0	0.1	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-1.23	-1.63	0	1.6	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	1.61	-3.66	0	1.1	0.2	0	1.8	0	2.1
E6.5	E65_Primitive_Streak	Primitive_Streak	5.19	-1.65	0	0	1.9	0	0	0	2.2
E6.5	E65_Primitive_Streak	Primitive_Streak	-1.38	-1.87	2.2	0.1	1.6	1.6	4.3	1.8	1.4
E6.5	E65_Primitive_Streak	Primitive_Streak	0.33	-3.08	0	0	2.2	0.9	4.5	2.5	3.5
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.89	1.83	1.7	0.1	5.4	4.2	4	2.3	3.8
E6.5	E65_Primitive_Streak	Primitive_Streak	3.74	0.35	0	0.1	2.2	0	0	0	0
