day	Anno	celltype	UMAP_1	UMAP_2	marker:Osr1	marker:Lhx1	marker:Pax2	marker:Pax8	up:Hmga2	up:Foxp1	up:Meis1	up:Foxc2	up:Tcf7l1	up:Twist1	up:Alx1	up:Irx1	up:Pbx1	down:T	down:Mixl1	down:Evx1	down:Nkx1-2
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-6.71	-1.27	0	0	0	0	2	2	0	0	0	0	0	0	0	3	0	3	3.7
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	2.05	-2.42	1.9	0	0	0	2.5	1.9	0	0	0	0	0	0	1.9	0	0	0	0
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	3.14	-0.66	2.8	0	0	0	4.2	0	2.8	0	0	0	0	0	0	0	0	0	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	0.13	-0.52	0	2.1	0	0	3.4	0	2.7	3.1	0	2.7	0	0	0	0	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.3	-3.7	0	0	0	0	2.7	0	0	0	0	0	0	0	1.7	0	0	2.3	3
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.3	-0.49	0	0	0	0	2.1	0	0	0	0	0	0	0	2.1	2.1	0	2.1	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-0.08	0.34	0	0	0	0	2.4	0	0	3	3	0	0	0	0	2.4	0	0	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.59	0.25	0	0	0	0	2.7	2	0	0	2	2	0	0	2	3.5	0	0	2
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-0.52	-3.02	0	0	0	0	0	0	1.9	0	1.9	0	0	0	0	3.2	1.9	1.9	0
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	2.33	2.54	2.3	1.4	0	0	3.2	0	1.4	2.3	1.4	1.4	0	1.4	1.4	3.3	0	1.4	0
E7.75	E775_Nascent_mesoderm	Nascent_mesoderm	5.39	1.45	1.6	0	0	0	3.4	2.1	0	0	2.5	0	0	0	2.8	1.6	0	2.1	1.6
E7.75	E775_Nascent_mesoderm	Nascent_mesoderm	4.87	3.14	0	2.1	0	0	3.1	2.8	0	3.1	0	0	2.1	3.1	2.8	1.5	0	0	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-7.02	-1.66	0	0	0	0	2.1	0	0	0	0	0	0	0	2.7	2.7	0	3.1	2.1
E7.75	E775_Nascent_mesoderm	Nascent_mesoderm	0.63	2.04	0	0	0	0	3.5	2.6	0	2.6	2	3.3	0	0	2	3	0	0	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.65	-3.64	0	0	0	0	2.1	0	0	0	0	0	0	0	0	4.4	0	0	2.1
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	1.38	-4.8	2.6	0	0	0	2.6	0	0	0	2.6	0	0	0	0	0	3.3	0	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	1.14	1.05	0	0	0	0	3.1	3.1	0	2.4	0	0	0	0	2.4	0	0	0	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-5.76	-2.59	0	0	0	0	2.9	2.6	1.6	0	0	0	0	0	0	0	0	0	2.2
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.09	-6.35	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	2.4
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	3.39	-0.68	2.7	2.7	0	0	4	2.1	3.4	3.8	2.1	0	2.1	0	2.1	0	0	0	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.5	0.53	0	0	0	0	2.5	1.9	0	0	0	0	0	0	2.5	0	0	0	1.9
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.9	1.12	0	0	0	0	2.8	1.6	0	0	0	0	0	0	0	3.7	2.2	0	2.2
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.05	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.66	-5.27	2.8	0	0	0	3.3	0	0	0	0	0	0	0	1.8	0	2.8	3.1	1.8
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.35	1.56	0	0	0	0	2.8	0	0	0	0	0	0	0	2.2	4.7	0	0	2.2
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.72	-0.91	0	0	0	0	3.9	2.1	0	0	0	0	0	0	0	0	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	1.54	0.74	2.6	2.6	0	0	2.6	2.6	2.6	0	0	0	0	0	2.6	2.6	0	0	0
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	3.28	0.26	2	2	0	0	3.6	3.8	2	2.6	2	2	0	0	3.2	0	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-1.86	-3.83	0	0	0	0	2.8	0	0	0	0	0	0	0	2.1	3.6	3.1	3.1	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	0.83	1.3	0	0	0	0	4	3.5	2	3	0	2	0	0	2.6	0	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.53	-3.45	0	0	0	0	3	0	0	0	0	0	0	0	2	2.6	3.5	3	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.35	-4.02	2	0	0	0	3	0	0	0	0	0	0	0	2	2	0	2.6	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.51	-3.49	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	1.9	2.9	1.9
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	2.67	-2.16	0	0	0	0	2.4	0	0	0	0	0	0	0	0	1.8	0	3.2	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.41	-2.67	3.5	0	0	0	3.2	0	0	0	0	0	0	0	3.2	2.2	0	2.2	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-3.83	-0.05	0	2.3	0	0	2.9	0	0	0	0	0	2.3	0	2.3	2.9	2.3	2.3	2.3
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-7.64	-2.17	0	0	0	2.1	0	2.1	0	0	0	0	0	0	0	0	0	0	4.3
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.95	-2.66	2.8	0	0	0	2.1	0	0	0	0	0	0	0	2.8	3.4	0	2.1	0
E7.75	E775_Nascent_mesoderm	Nascent_mesoderm	5.06	2.05	2.1	0	0	0	3.9	1.5	1.5	2.5	2.1	2.7	2.1	2.1	2.5	0	0	1.5	0
E7.75	E775_Nascent_mesoderm	Nascent_mesoderm	1.79	4.03	0	1.9	0	0	2.9	0	0	0	0	0	0	1.9	2.5	4.2	1.9	1.9	0
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	3.46	0.36	1.4	0	0	0	3.8	2.7	1.4	1.4	1.4	2.3	0	1.4	2.3	0	1.4	0	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-3.18	-0.65	1.9	1.9	0	0	3.2	0	0	0	0	0	0	0	0	2.9	1.9	1.9	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	1.47	-0.1	2	0	0	0	3.4	1.4	0	2	0	0	1.4	1.4	1.4	2.8	0	1.4	0
