day	Anno	celltype	UMAP_1	UMAP_2	down:Pou5f1	down:Gbx2	down:Hoxb1	down:Hoxa1	down:Tal2	down:Dlx5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.06	1.48	4.4	3.2	0	3.8	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.21	1.79	3.8	2.3	2.3	4	2.3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.89	2.1	4.6	0	2.6	2	2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.18	-0.12	4.2	2.7	2.1	3.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.47	3.56	4.3	3.7	1.9	4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.02	2.05	4.1	2.7	0	4.3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.46	1.88	3.8	0	2.5	2.5	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	4.05	0.79	4.7	2.2	0	4.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.22	1.02	4.8	2.6	0	4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.09	2.16	3.6	2	0	4.5	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.54	-0.59	4.5	0	0	2.2	2.2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.99	-1.26	5	0	2.9	3.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.4	-0.92	4.1	0	0	2.7	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.87	-0.55	4.4	0	2.9	3.5	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.73	-2.88	4.2	2.3	0	2.3	2.3	2.3
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.24	0.53	4.5	3.8	0	3.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	5.33	-0.42	4.9	0	0	3.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.19	1.4	4.5	0	3	3.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.8	-0.74	4.9	0	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.85	0.7	3.9	0	2.2	3.8	2.2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.86	1.27	3.8	2.9	0	2.3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.98	-1.61	5	0	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.55	5.62	4.5	0	0	4.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.58	-1.03	4.5	2.3	0	3.3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.75	2.85	4	2.5	0	2.8	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.83	0.92	4.3	2.5	2.5	4.1	0	1.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.2	2.82	4.2	2.9	2.9	3.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.46	0.72	3.9	2.2	0	3.7	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.39	2.32	4.7	2.3	0	3.6	1.7	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.1	2.72	3.1	0	3.1	3.7	2.1	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.95	-1.68	4.5	0	1.8	3.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.14	-0.59	4.6	2.5	2.5	3.5	0	3.5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.33	1.97	4.3	0	2.3	2.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.95	2.35	4	3.3	2.7	3.7	3.3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.16	-0.76	4.1	2.8	0	4.8	0	2.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.29	0.69	4.6	2.9	0	2.5	1.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	4.96	-1.27	4.6	0	2.8	3.2	0	2.2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.75	1.05	3.7	0	1.9	3.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.06	-2.87	4.4	0	1.9	1.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.14	-0.46	3.9	0	0	1.7	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.69	1.49	2.7	2.7	0	4.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.13	-1.5	2.6	0	2.9	3.5	0	0
