node_id	best_path	gene_use
E95_Olfactory_epithelium	E95_Olfactory_epithelium,E85_Placodal_area,E825_Surface_ectoderm,E8_Surface_ectoderm,E775_Surface_ectoderm,E75_Surface_ectoderm,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast	Vrtn,Utf1,Pim2,Rbpms2,Dnmt3b,Dlk1,Npnt,Rbms1,Meis2,Igf2,Pax3,Six3
E825_Cardiomyocytes	E825_Cardiomyocytes,E8_Cardiomyocytes,E775_Cardiomyocytes,E75_Splanchnic_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Pou5f1,Emb,Car2,Socs2,Bcl11a,Tnni1,Csrp2,Efhd2,Cap2,Gyg,Tnnt2,Myl4,Myl7
E105_Stromal_cells	E105_Stromal_cells,E95_Stromal_cells,E85_Paraxial_mesoderm_B,E825_Paraxial_mesoderm_B,E8_Paraxial_mesoderm_B,E775_Paraxial_mesoderm_B,E75_Paraxial_mesoderm_B,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Car4,Pmaip1,Tdgf1,Epcam,Emb,Magi1,Lpar1,Ptn,Mllt3,Greb1l,Rab5a,Il23a,Bmpr1a,Prtg
E125_Sensory_neuron	E125_Sensory_neuron,E115_Sensory_neuron,E105_Sensory_neuron,E95_Sensory_neuron,E85_Forebrain_Midbrain,E825_Forebrain_Midbrain,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Epcam,Cldn6,Car14,Slc16a3,Utf1,Eml1,Tmem163,Cacng4,Hip1,Hivep3,Ppp1r1c,Syt13,Shox2,Ptprr,Pcbp3
E115_Neural_crest	E115_Neural_crest,E105_Neural_crest,E95_Neural_crest,E85_Neural_crest,E825_Neural_crest,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Car14,Utf1,Rbpms2,Cldn7,Stx3,Ptn,Ptprz1,Hba-x,Rgcc,Hbb-y,Sox10,Dlx2,Foxd3
E105_Retina_primordium	E105_Retina_primordium,E95_Retina_primordium,E85_Forebrain_Midbrain,E825_Forebrain_Midbrain,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Utf1,Slc7a3,Cldn7,Tdgf1,Dppa5a,Hba-x,Meis2,Chd7,Ptn,Map2k6,Pax2,Nlgn1,Six3
E95_Endothelium	E95_Endothelium,E85_Endothelium,E825_Endothelium,E8_Endothelium,E775_Endothelium,E75_Haematoendothelial_prog,E725_Haematoendothelial_prog,E7_Haematoendothelial_prog,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Pou5f1,Vrtn,Eomes,Ccne1,Car4,Cdh5,St3gal5,Pecam1,Afap1l1,Igf1,Kdr
E125_Connective_tissue_prog	E125_Connective_tissue_prog,E115_Connective_tissue_prog,E105_Chondrocyte_prog,E95_Chondrocyte_prog,E85_Paraxial_mesoderm_A,E825_Paraxial_mesoderm_A,E8_Paraxial_mesoderm_A,E775_Paraxial_mesoderm_A,E75_Paraxial_mesoderm_A,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Tomm20,Emb,Hnrnpf,Ybx1,Anp32b,Tgfb2,Igfbp5,Ptn,Col1a1,Hoxa3,Col6a6,Il1rapl2,Meox2,Adamts9,Postn,Ror1
E105_Intermediate_mesoderm	E105_Intermediate_mesoderm,E95_Intermediate_mesoderm,E85_Splanchnic_mesoderm,E825_Splanchnic_mesoderm,E8_Splanchnic_mesoderm,E775_Splanchnic_mesoderm,E75_Splanchnic_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Pou5f1,Tdgf1,Eomes,Pmaip1,Dppa5a,Hbb-bh1,Igf2,Arg1,Mpped2,Mest,Osr1,Lhx1,Pax2,Pax8
E8_Rostral_neurectoderm	E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Utf1,2010111I01Rik,Rbpms2,Cldn7,Psors1c2,Ptn,Lhx5,H2afy,Hes3,Rbms1,Six3,Hesx1
E75_Surface_ectoderm	E75_Surface_ectoderm,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast	Utf1,Tdgf1,Sgk1,Nefl,Gnpda1,Tacstd2,Cnn2,Tfap2a,Irx3,Tpm1,Foxg1,Trp63,Grhl2,Grhl3
E825_Caudal_neurectoderm	E825_Caudal_neurectoderm,E8_Caudal_neurectoderm,E775_Caudal_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Utf1,Bcl11a,2010111I01Rik,Cldn7,Rbpms2,Hes3,Ptn,Cntfr,Rbp1,Efnb1,Gbx2
E75_Splanchnic_mesoderm	E75_Splanchnic_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Ina,Tmem238,Tcea3,Crip2,Tdgf1,Hand2,Twist1,Smarcd3,Csrp2,Nrp1,Tcf21,Isl1,Gata4
E85_Paraxial_mesoderm_B	E85_Paraxial_mesoderm_B,E825_Paraxial_mesoderm_B,E8_Paraxial_mesoderm_B,E775_Paraxial_mesoderm_B,E75_Paraxial_mesoderm_B,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Pmaip1,Emb,Acer2,Tmem238,Tdgf1,Hoxb4,Tmem132c,Skap2,Smoc1,Ncam1,Tbx6,Dll1
E115_White_blood_cells	E115_White_blood_cells,E105_White_blood_cells,E95_Blood_prog,E85_Blood_prog,E825_Blood_prog,E8_Blood_prog,E775_Blood_prog,E75_Blood_prog,E725_Blood_prog,E7_Haematoendothelial_prog,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Pou5f1,Car4,Tdgf1,Phlda2,Igf1,Fcgr3,Lyz2,Sepp1,Tyrobp,Ms4a4a,Apoe,Selenop,Ptprc,Ly86
